t,a4,a4_prime,a4_second,scale_3space,scale_extratime,volume_ratio,theta,rho_req,p_req_0,p_req_1,p_req_2,p_req_3,p_req_5,p_req_6,p_req_7,p_mean_req,w_req
0.00000000000000000e+00,1.67703186447826447e-04,6.70700260932391239e-04,2.68190136604757766e-03,1.00016771724941322e+00,9.99832310874945507e-01,9.99999999999999889e-01,0.00000000000000000e+00,-2.10000013495165199e+01,1.49999986504834801e+01,1.50026805518495276e+01,1.50026805518495276e+01,1.50026805518495276e+01,1.49973167491174326e+01,1.49973167491174326e+01,1.49973167491174326e+01,1.49999986504834801e+01,-7.14285604121107531e-01
5.00000000000000028e-02,2.04825530262607808e-04,8.19134329971356887e-04,3.27519535778166351e-03,1.00020484650844388e+00,9.99795195445054241e-01,1.00000000000000067e+00,0.00000000000000000e+00,-2.10000020129431491e+01,1.49999979870568492e+01,1.50032731824146310e+01,1.50032731824146310e+01,1.50032731824146310e+01,1.49967227916990673e+01,1.49967227916990673e+01,1.49967227916990673e+01,1.49999979870568492e+01,-7.14285549963840194e-01
1.00000000000000006e-01,2.50163124692844127e-04,1.00040221415805875e-03,3.99960724744792898e-03,1.00025019441809682e+00,9.99749868163492539e-01,1.00000000000000022e+00,0.00000000000000000e+00,-2.10000030024137700e+01,1.49999969975862300e+01,1.50039966048336773e+01,1.50039966048336773e+01,1.50039966048336773e+01,1.49959973903387827e+01,1.49959973903387827e+01,1.49959973903387827e+01,1.49999969975862317e+01,-7.14285469190747757e-01
1.49999999999999994e-01,3.05533011126377031e-04,1.22175871886722018e-03,4.88404948672850527e-03,1.00030557969109068e+00,9.99694513659330819e-01,9.99999999999999667e-01,0.00000000000000000e+00,-2.10000044780831026e+01,1.49999955219168974e+01,1.50048795714036274e+01,1.50048795714036274e+01,1.50048795714036274e+01,1.49951114724301711e+01,1.49951114724301711e+01,1.49951114724301711e+01,1.49999955219168992e+01,-7.14285348727987990e-01
2.00000000000000011e-01,3.73153625913546073e-04,1.49205766767127827e-03,5.96377819850853110e-03,1.00037322325638844e+00,9.99626915987241627e-01,9.99999999999999445e-01,0.00000000000000000e+00,-2.10000066787082496e+01,1.49999933212917504e+01,1.50059570994902565e+01,1.50059570994902565e+01,1.50059570994902565e+01,1.49940295430932409e+01,1.49940295430932409e+01,1.49940295430932409e+01,1.49999933212917451e+01,-7.14285169085214000e-01
2.50000000000000000e-01,4.55733226886694161e-04,1.82210238879778122e-03,7.28176944094697815e-03,1.00045583708905106e+00,9.99544370603726695e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.10000099601713472e+01,1.49999900398286528e+01,1.50072718092696018e+01,1.50072718092696018e+01,1.50072718092696018e+01,1.49927082703877073e+01,1.49927082703877073e+01,1.49927082703877073e+01,1.49999900398286563e+01,-7.14284901210888057e-01
2.99999999999999989e-01,5.56577680231690034e-04,2.22507206571542727e-03,8.89038637144603031e-03,1.00055673259832867e+00,9.99443577180393339e-01,9.99999999999999667e-01,0.00000000000000000e+00,-2.10000148528370936e+01,1.49999851471629064e+01,1.50088755335343524e+01,1.50088755335343524e+01,1.50088755335343524e+01,1.49910947607914604e+01,1.49910947607914604e+01,1.49910947607914604e+01,1.49999851471629047e+01,-7.14284501810074302e-01
3.49999999999999978e-01,6.79721787629093449e-04,2.71703990085041302e-03,1.08533949917254853e-02,1.00067995285083322e+00,9.99320509170893101e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.10000221469174662e+01,1.49999778530825321e+01,1.50108312480742576e+01,1.50108312480742576e+01,1.50108312480742576e+01,1.49891244580908065e+01,1.49891244580908065e+01,1.49891244580908065e+01,1.49999778530825303e+01,-7.14283906375990929e-01
4.00000000000000022e-01,8.30089207021359366e-04,3.31760216033756940e-03,1.32483956731161926e-02,1.00083043382641557e+00,9.99170255221715653e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.10000330194522817e+01,1.49999669805477183e+01,1.50132153762208329e+01,1.50132153762208329e+01,1.50132153762208329e+01,1.49867185848746001e+01,1.49867185848746001e+01,1.49867185848746001e+01,1.49999669805477147e+01,-7.14283018824459992e-01
4.50000000000000011e-01,1.01368706191697078e-03,4.05064077808285801e-03,1.61697477308373819e-02,1.00101420101629501e+00,9.98986826545252504e-01,1.00000000000000022e+00,0.00000000000000000e+00,-2.10000492230721392e+01,1.49999507769278608e+01,1.50161205246586977e+01,1.50161205246586977e+01,1.50161205246586977e+01,1.49837810291970239e+01,1.49837810291970239e+01,1.49837810291970239e+01,1.49999507769278591e+01,-7.14281696085162121e-01
