t,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,S,M_eff,energy_mode,rho,p_0,p_1,p_2,p_3,p_5,p_6,p_7,p_mean,w,KE_L,PE_L,KE_H,PE_H,w_L,norm_hilbert,norm_krein,exact_error
0.00000000000000000e+00,5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.00000000000000000e-01,5.00000000000000000e-01,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00
5.00000000000000028e-02,4.99375130199774753e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.99375130199774753e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.49895846359158742e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.49895846359158742e-02,0.00000000000000000e+00,0.00000000000000000e+00,-2.49895846359158742e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.49895846359158742e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.99375130199774753e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.99375130199774753e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000927036e+00,1.00000000000000000e+00,1.00000000000927036e+00,1.00000000000927036e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.00000000004635181e-01,5.00000000004635181e-01,0.00000000000000000e+00,1.00000000000927036e+00,0.00000000000000000e+00,1.00000000000927036e+00,1.00000000000927036e+00,4.72612975687892489e-12
1.00000000000000006e-01,4.97502082641153198e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.97502082641153198e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.99167083245348753e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.99167083245348753e-02,0.00000000000000000e+00,0.00000000000000000e+00,-4.99167083245348753e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.99167083245348753e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.97502082641153198e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.97502082641153198e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000896616e+00,1.00000000000000000e+00,1.00000000000896616e+00,1.00000000000896616e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.00000000004483081e-01,5.00000000004483081e-01,0.00000000000000000e+00,1.00000000000896616e+00,0.00000000000000000e+00,1.00000000000896616e+00,1.00000000000896616e+00,4.83198527555026251e-12
1.49999999999999994e-01,4.94385538969216776e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.94385538969216776e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-7.47190662381749110e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-7.47190662381749110e-02,0.00000000000000000e+00,0.00000000000000000e+00,-7.47190662381749110e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,7.47190662381749110e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.94385538969216776e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.94385538969216776e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000555089e+00,1.00000000000000000e+00,1.00000000000555089e+00,1.00000000000555089e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.00000000002775447e-01,5.00000000002775447e-01,0.00000000000000000e+00,1.00000000000555089e+00,0.00000000000000000e+00,1.00000000000555089e+00,1.00000000000555089e+00,3.64474828040376173e-12
2.00000000000000011e-01,4.90033288919095089e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.90033288919095089e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-9.93346653987266237e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-9.93346653987266237e-02,0.00000000000000000e+00,0.00000000000000000e+00,-9.93346653987266237e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.93346653987266237e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.90033288919095089e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.90033288919095089e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999994969246e-01,1.00000000000000000e+00,9.99999999994969246e-01,9.99999999994969246e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.99999999997484623e-01,4.99999999997484623e-01,0.00000000000000000e+00,9.99999999994969246e-01,0.00000000000000000e+00,9.99999999994969246e-01,9.99999999994969246e-01,3.87726026773225597e-12
2.50000000000000000e-01,4.84456210851739399e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.84456210851739399e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.23701979627953512e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.23701979627953512e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.23701979627953512e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.23701979627953512e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.84456210851739399e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.84456210851739399e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999986798449e-01,1.00000000000000000e+00,9.99999999986798449e-01,9.99999999986798449e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.99999999993399225e-01,4.99999999993399225e-01,0.00000000000000000e+00,9.99999999986798449e-01,0.00000000000000000e+00,9.99999999986798449e-01,9.99999999986798449e-01,7.29837756359697726e-12
2.99999999999999989e-01,4.77668244557121202e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.77668244557121202e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.47760103330597664e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.47760103330597664e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.47760103330597664e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.47760103330597664e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.77668244557121202e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.77668244557121202e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999978202658e-01,1.00000000000000000e+00,9.99999999978202658e-01,9.99999999978202658e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.99999999989101329e-01,4.99999999989101329e-01,0.00000000000000000e+00,9.99999999978202658e-01,0.00000000000000000e+00,9.99999999978202658e-01,9.99999999978202658e-01,1.13644918624198019e-11
3.49999999999999978e-01,4.69686356416066264e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.69686356416066264e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.71448903726720725e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.71448903726720725e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.71448903726720725e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.71448903726720725e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.69686356416066264e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.69686356416066264e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999969977571e-01,1.00000000000000000e+00,9.99999999969977571e-01,9.99999999969977571e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.99999999984988786e-01,4.99999999984988786e-01,0.00000000000000000e+00,9.99999999969977571e-01,0.00000000000000000e+00,9.99999999969977571e-01,9.99999999969977571e-01,1.53782688197331869e-11
4.00000000000000022e-01,4.60530496991920169e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.60530496991920169e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.94709171152181337e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.94709171152181337e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.94709171152181365e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.94709171152181365e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.60530496991920169e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.60530496991920169e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999961577735e-01,1.00000000000000000e+00,9.99999999961577735e-01,9.99999999961577735e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.99999999980788867e-01,4.99999999980788867e-01,0.00000000000000000e+00,9.99999999961577735e-01,0.00000000000000000e+00,9.99999999961577735e-01,9.99999999961577735e-01,1.95214882686646767e-11
4.50000000000000011e-01,4.50223551164994240e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.50223551164994240e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.17482767052129822e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.17482767052129822e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.17482767052129849e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.17482767052129849e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.50223551164994240e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.50223551164994240e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999953076646e-01,1.00000000000000000e+00,9.99999999953076646e-01,9.99999999953076646e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.99999999976538323e-01,4.99999999976538323e-01,0.00000000000000000e+00,9.99999999953076646e-01,0.00000000000000000e+00,9.99999999953076646e-01,9.99999999953076646e-01,2.37350489307806008e-11
