t,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,S,M_eff,energy_mode,rho,p_0,p_1,p_2,p_3,p_5,p_6,p_7,p_mean,w,KE_L,PE_L,KE_H,PE_H,w_L,norm_hilbert,norm_krein,exact_error
0.00000000000000000e+00,5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.47213595499957928e-01,-2.23606797749978964e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.23606797749978964e-01,4.47213595499957928e-01,0.00000000000000000e+00,0.00000000000000000e+00,-8.94427190999915855e-01,1.00000000000000000e+00,-1.11803398874989490e+00,-1.11803398874989490e+00,-2.23606797749978964e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.19438282499969958e-02,2.85714285714285705e-02,-5.59016994374947451e-01,-5.59016994374947451e-01,-2.23606797749978964e-01,-8.94427190999915855e-01,0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00
5.00000000000000028e-02,4.99218953429094559e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.46515006209503018e-01,-2.23257503104751509e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.69936636368688939e-32,2.79362942591404768e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.24934906005750457e-02,-2.49869812011500915e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.79362942591404768e-02,1.57092670532331382e-32,0.00000000000000000e+00,0.00000000000000000e+00,2.49869812011500915e-02,-1.24934906005750457e-02,0.00000000000000000e+00,0.00000000000000000e+00,-5.67077367647559492e-31,-4.99218953429094559e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.23257503104751509e-01,4.46515006209503018e-01,0.00000000000000000e+00,0.00000000000000000e+00,-8.94427190999106836e-01,1.00000000000000000e+00,-1.11803398874888349e+00,-1.11803398874888349e+00,-2.23606797749776709e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.19438282499681023e-02,2.85714285714285740e-02,-5.59016994374441745e-01,-5.59016994374441745e-01,-2.23606797749776709e-01,-8.94427190999106836e-01,0.00000000000000000e+00,9.99999999999095390e-01,9.99999999999095390e-01,5.51493955298448731e-13
1.00000000000000006e-01,4.96878253851906204e-01,9.00202184232396142e-32,0.00000000000000000e+00,0.00000000000000000e+00,4.44421420861703831e-01,-2.22210710430851915e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.02208890847880680e-31,5.57853103305269993e-02,0.00000000000000000e+00,0.00000000000000000e+00,-2.49479492089959252e-02,-4.98958984179918505e-02,0.00000000000000000e+00,0.00000000000000000e+00,5.57853103305269993e-02,-4.73350561715235984e-33,0.00000000000000000e+00,0.00000000000000000e+00,4.98958984179918505e-02,-2.49479492089959252e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.04265391008042153e-30,-4.96878253851906204e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.22210710430851915e-01,4.44421420861703831e-01,0.00000000000000000e+00,0.00000000000000000e+00,-8.94427190998458688e-01,1.00000000000000000e+00,-1.11803398874807303e+00,-1.11803398874807303e+00,-2.23606797749614672e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.19438282499449541e-02,2.85714285714285809e-02,-5.59016994374036513e-01,-5.59016994374036513e-01,-2.23606797749614672e-01,-8.94427190998458688e-01,0.00000000000000000e+00,9.99999999998370637e-01,9.99999999998370637e-01,8.41966124979746778e-13
1.49999999999999994e-01,4.92985214049198261e-01,3.54121058272777664e-31,0.00000000000000000e+00,0.00000000000000000e+00,4.40939380206516907e-01,-2.20469690103258453e-01,0.00000000000000000e+00,0.00000000000000000e+00,-5.17577110495380871e-30,8.34600427007657908e-02,0.00000000000000000e+00,0.00000000000000000e+00,-3.73244657767894880e-02,-7.46489315535789622e-02,0.00000000000000000e+00,0.00000000000000000e+00,8.34600427007657908e-02,-1.43925580291467912e-30,0.00000000000000000e+00,0.00000000000000000e+00,7.46489315535789760e-02,-3.73244657767894880e-02,0.00000000000000000e+00,0.00000000000000000e+00,5.43007141565252600e-21,-4.92985214049198261e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.20469690103258453e-01,4.40939380206516907e-01,0.00000000000000000e+00,0.00000000000000000e+00,-8.94427190995435217e-01,1.00000000000000000e+00,-1.11803398874429405e+00,-1.11803398874429405e+00,-2.23606797748858804e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.19438282498369711e-02,2.85714285714285705e-02,-5.59016994372147025e-01,-5.59016994372147025e-01,-2.23606797748858804e-01,-8.94427190995435217e-01,0.00000000000000000e+00,9.99999999994990452e-01,9.99999999994990452e-01,2.50946345654996431e-12
2.00000000000000011e-01,4.87551996603300952e-01,1.72886249777483871e-31,0.00000000000000000e+00,0.00000000000000000e+00,4.36079762788291136e-01,-2.18039881394145568e-01,0.00000000000000000e+00,0.00000000000000000e+00,-7.87691872220334506e-30,1.10874030350362363e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.95843737605570004e-02,-9.91687475211139868e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.10874030350362363e-01,-2.12003641997317508e-30,0.00000000000000000e+00,0.00000000000000000e+00,9.91687475211140007e-02,-4.95843737605570004e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.28083525938317338e-19,-4.87551996603300952e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.18039881394145568e-01,4.36079762788291136e-01,0.00000000000000000e+00,0.00000000000000000e+00,-8.94427190992754473e-01,1.00000000000000000e+00,-1.11803398874094317e+00,-1.11803398874094317e+00,-2.23606797748188618e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.19438282497412282e-02,2.85714285714285671e-02,-5.59016994370471587e-01,-5.59016994370471587e-01,-2.23606797748188618e-01,-8.94427190992754473e-01,0.00000000000000000e+00,9.99999999991993294e-01,9.99999999991993294e-01,4.00504918518802990e-12
2.50000000000000000e-01,4.80595575897544702e-01,-5.06570731407614188e-31,0.00000000000000000e+00,0.00000000000000000e+00,4.29857750957027940e-01,-2.14928875478513970e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.19476439538502856e-29,1.37941626875152656e-01,0.00000000000000000e+00,0.00000000000000000e+00,-6.16893709239506316e-02,-1.23378741847901263e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.37941626875152656e-01,-2.34982222954491226e-22,0.00000000000000000e+00,0.00000000000000000e+00,1.23378741847901263e-01,-6.16893709239506316e-02,0.00000000000000000e+00,0.00000000000000000e+00,6.09738528470683020e-19,-4.80595575897544702e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.14928875478513970e-01,4.29857750957027940e-01,0.00000000000000000e+00,0.00000000000000000e+00,-8.94427190990100707e-01,1.00000000000000000e+00,-1.11803398873762583e+00,-1.11803398873762583e+00,-2.23606797747525177e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.19438282496464568e-02,2.85714285714285740e-02,-5.59016994368812914e-01,-5.59016994368812914e-01,-2.23606797747525177e-01,-8.94427190990100707e-01,0.00000000000000000e+00,9.99999999989026334e-01,9.99999999989026334e-01,5.48752351754574927e-12
2.99999999999999989e-01,4.72137685086075232e-01,-1.18062576395676041e-30,0.00000000000000000e+00,0.00000000000000000e+00,4.22292783436741204e-01,-2.11146391718370602e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.67540198577665005e-29,1.64578268061369409e-01,0.00000000000000000e+00,0.00000000000000000e+00,-7.36016390008808891e-02,-1.47203278001761778e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.64578268061369409e-01,3.64547240581685553e-22,0.00000000000000000e+00,0.00000000000000000e+00,1.47203278001761778e-01,-7.36016390008808891e-02,0.00000000000000000e+00,0.00000000000000000e+00,6.14863755349774028e-19,-4.72137685086075232e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.11146391718370602e-01,4.22292783436741204e-01,0.00000000000000000e+00,0.00000000000000000e+00,-8.94427190987458043e-01,1.00000000000000000e+00,-1.11803398873432247e+00,-1.11803398873432247e+00,-2.23606797746864511e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.19438282495520740e-02,2.85714285714285740e-02,-5.59016994367161235e-01,-5.59016994367161235e-01,-2.23606797746864511e-01,-8.94427190987458043e-01,0.00000000000000000e+00,9.99999999986071808e-01,9.99999999986071808e-01,6.96431134630004637e-12
3.49999999999999978e-01,4.62204748195350401e-01,-1.81084145917961525e-30,0.00000000000000000e+00,0.00000000000000000e+00,4.13408494595190745e-01,-2.06704247297595373e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.98374230180150701e-29,1.90700736080003597e-01,0.00000000000000000e+00,0.00000000000000000e+00,-8.52839618468269473e-02,-1.70567923693653895e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.90700736080003624e-01,1.79063862108004603e-22,0.00000000000000000e+00,0.00000000000000000e+00,1.70567923693653895e-01,-8.52839618468269473e-02,0.00000000000000000e+00,0.00000000000000000e+00,6.18163990985000577e-19,-4.62204748195350401e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.06704247297595373e-01,4.13408494595190745e-01,0.00000000000000000e+00,0.00000000000000000e+00,-8.94427190984826703e-01,1.00000000000000000e+00,-1.11803398873103332e+00,-1.11803398873103332e+00,-2.23606797746206676e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.19438282494580936e-02,2.85714285714285705e-02,-5.59016994365516662e-01,-5.59016994365516662e-01,-2.23606797746206676e-01,-8.94427190984826703e-01,0.00000000000000000e+00,9.99999999983129939e-01,9.99999999983129939e-01,8.43499021847714562e-12
4.00000000000000022e-01,4.50827797570555688e-01,-2.86473009913889668e-30,0.00000000000000000e+00,0.00000000000000000e+00,4.03232640605710901e-01,-2.01616320302855451e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.26943648404619097e-29,2.16227419474804061e-01,0.00000000000000000e+00,0.00000000000000000e+00,-9.66998417090047246e-02,-1.93399683418009449e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.16227419474804089e-01,-4.91507350484317650e-22,0.00000000000000000e+00,0.00000000000000000e+00,1.93399683418009449e-01,-9.66998417090047385e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.21717425520567791e-18,-4.50827797570555744e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.01616320302855451e-01,4.03232640605710901e-01,0.00000000000000000e+00,0.00000000000000000e+00,-8.94427190982209241e-01,1.00000000000000000e+00,-1.11803398872776150e+00,-1.11803398872776150e+00,-2.23606797745552310e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.19438282493646128e-02,2.85714285714285705e-02,-5.59016994363880748e-01,-5.59016994363880748e-01,-2.23606797745552310e-01,-8.94427190982209241e-01,0.00000000000000000e+00,9.99999999980203391e-01,9.99999999980203391e-01,9.89826454333846984e-12
4.50000000000000011e-01,4.38042376924774157e-01,-3.51524053888932210e-30,0.00000000000000000e+00,0.00000000000000000e+00,3.91797012731752270e-01,-1.95898506365876135e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.61535406680247184e-29,2.41078568131667587e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.07813613252144599e-01,-2.15627226504289171e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.41078568131667614e-01,6.95458670974933015e-19,0.00000000000000000e+00,0.00000000000000000e+00,2.15627226504289199e-01,-1.07813613252144599e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.90780349671548729e-18,-4.38042376924774157e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.95898506365876107e-01,3.91797012731752270e-01,0.00000000000000000e+00,0.00000000000000000e+00,-8.94427190979598219e-01,1.00000000000000000e+00,-1.11803398872449788e+00,-1.11803398872449788e+00,-2.23606797744899582e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.19438282492713679e-02,2.85714285714285705e-02,-5.59016994362248942e-01,-5.59016994362248942e-01,-2.23606797744899582e-01,-8.94427190979598219e-01,0.00000000000000000e+00,9.99999999977284171e-01,9.99999999977284171e-01,1.13580000445018152e-11
