t,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,S,M_eff,energy_mode,rho,p_0,p_1,p_2,p_3,p_5,p_6,p_7,p_mean,w,KE_L,PE_L,KE_H,PE_H,w_L,norm_hilbert,norm_krein,exact_error
0.00000000000000000e+00,5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.47213595499957928e-01,2.23606797749978964e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.23606797749978964e-01,-4.47213595499957928e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190999915855e-01,1.00000000000000000e+00,1.11803398874989490e+00,1.11803398874989490e+00,2.23606797749978964e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282499969958e-02,2.85714285714285705e-02,5.59016994374947451e-01,5.59016994374947451e-01,2.23606797749978964e-01,8.94427190999915855e-01,0.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00
5.00000000000000028e-02,4.99218953429094559e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.46515006209502907e-01,2.23257503104751454e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.16974811633460629e-32,2.79362942591256797e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.24934906005684278e-02,-2.49869812011368556e-02,0.00000000000000000e+00,0.00000000000000000e+00,-2.79362942591256797e-02,-5.96897416774728869e-33,0.00000000000000000e+00,0.00000000000000000e+00,-2.49869812011368556e-02,-1.24934906005684278e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.40931632421151777e-31,4.99218953429094559e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.23257503104751454e-01,-4.46515006209502907e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190999103616e-01,1.00000000000000000e+00,1.11803398874887949e+00,1.11803398874887949e+00,2.23606797749775904e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282499679843e-02,2.85714285714285705e-02,5.59016994374439746e-01,5.59016994374439746e-01,2.23606797749775904e-01,8.94427190999103616e-01,0.00000000000000000e+00,9.99999999999091838e-01,-9.99999999999091838e-01,5.36644040438441624e-13
1.00000000000000006e-01,4.96878253851901819e-01,1.08006361001144970e-31,0.00000000000000000e+00,0.00000000000000000e+00,4.44421420861699723e-01,2.22210710430849889e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.64878143583703304e-32,5.57853103305387815e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.49479492090011884e-02,-4.98958984180023768e-02,0.00000000000000000e+00,0.00000000000000000e+00,-5.57853103305387815e-02,1.80758054545187261e-32,0.00000000000000000e+00,0.00000000000000000e+00,-4.98958984180023768e-02,-2.49479492090011884e-02,0.00000000000000000e+00,0.00000000000000000e+00,-2.38180609580094425e-31,4.96878253851901819e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.22210710430849862e-01,-4.44421420861699779e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190998447363e-01,1.00000000000000000e+00,1.11803398874805926e+00,1.11803398874805926e+00,2.23606797749611841e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282499445517e-02,2.85714285714285740e-02,5.59016994374029630e-01,5.59016994374029630e-01,2.23606797749611841e-01,8.94427190998447363e-01,0.00000000000000000e+00,9.99999999998358091e-01,-9.99999999998358091e-01,8.42231862676986865e-13
1.49999999999999994e-01,4.92985214049224962e-01,3.49137177757918847e-31,0.00000000000000000e+00,0.00000000000000000e+00,4.40939380206540554e-01,2.20469690103270305e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.07119655321291243e-30,8.34600427007726187e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.73244657767925272e-02,-7.46489315535850545e-02,0.00000000000000000e+00,0.00000000000000000e+00,-8.34600427007726187e-02,-9.44284555826250190e-31,0.00000000000000000e+00,0.00000000000000000e+00,-7.46489315535850545e-02,-3.73244657767925342e-02,0.00000000000000000e+00,0.00000000000000000e+00,5.98270840545453815e-20,4.92985214049224962e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.20469690103270277e-01,-4.40939380206540610e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190995533028e-01,1.00000000000000000e+00,1.11803398874441640e+00,1.11803398874441640e+00,2.23606797748883285e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282498404683e-02,2.85714285714285705e-02,5.59016994372208198e-01,5.59016994372208198e-01,2.23606797748883285e-01,8.94427190995533028e-01,0.00000000000000000e+00,9.99999999995099920e-01,-9.99999999995099920e-01,2.45458657262002405e-12
2.00000000000000011e-01,4.87551996603356297e-01,3.60674523008076622e-31,0.00000000000000000e+00,0.00000000000000000e+00,4.36079762788340375e-01,2.18039881394170215e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.92137456872278542e-30,1.10874030350376337e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.95843737605632454e-02,-9.91687475211264907e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.10874030350376365e-01,-1.49590226937502416e-30,0.00000000000000000e+00,0.00000000000000000e+00,-9.91687475211264907e-02,-4.95843737605632592e-02,0.00000000000000000e+00,0.00000000000000000e+00,6.18574233387155540e-19,4.87551996603356297e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.18039881394170187e-01,-4.36079762788340430e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190992958199e-01,1.00000000000000000e+00,1.11803398874119786e+00,1.11803398874119786e+00,2.23606797748239550e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282497485071e-02,2.85714285714285671e-02,5.59016994370598930e-01,5.59016994370598930e-01,2.23606797748239550e-01,8.94427190992958199e-01,0.00000000000000000e+00,9.99999999992221000e-01,-9.99999999992220889e-01,3.89113960800394833e-12
2.50000000000000000e-01,4.80595575897631300e-01,2.78677374455486213e-31,0.00000000000000000e+00,0.00000000000000000e+00,4.29857750957105045e-01,2.14928875478552550e-01,0.00000000000000000e+00,0.00000000000000000e+00,5.69614334524527879e-30,1.37941626875177942e-01,0.00000000000000000e+00,0.00000000000000000e+00,6.16893709239619489e-02,-1.23378741847923898e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.37941626875177997e-01,-9.77095698348294920e-31,0.00000000000000000e+00,0.00000000000000000e+00,-1.23378741847923898e-01,-6.16893709239619559e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.17992422592286901e-18,4.80595575897631300e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.14928875478552522e-01,-4.29857750957105100e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190990422782e-01,1.00000000000000000e+00,1.11803398873802839e+00,1.11803398873802839e+00,2.23606797747605723e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282496579615e-02,2.85714285714285775e-02,5.59016994369014197e-01,5.59016994369014197e-01,2.23606797747605723e-01,8.94427190990422782e-01,0.00000000000000000e+00,9.99999999989386379e-01,-9.99999999989386490e-01,5.30743750682614203e-12
2.99999999999999989e-01,4.72137685086197079e-01,2.36634036733259735e-31,0.00000000000000000e+00,0.00000000000000000e+00,4.22292783436849894e-01,2.11146391718424975e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.13194364107807684e-22,1.64578268061411154e-01,0.00000000000000000e+00,0.00000000000000000e+00,7.36016390008995824e-02,-1.47203278001799165e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.64578268061411181e-01,7.98314304759033990e-31,0.00000000000000000e+00,0.00000000000000000e+00,-1.47203278001799165e-01,-7.36016390008995963e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.81833324551189310e-18,4.72137685086197079e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.11146391718424947e-01,-4.22292783436849950e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190987918563e-01,1.00000000000000000e+00,1.11803398873489823e+00,1.11803398873489823e+00,2.23606797746979613e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282495685191e-02,2.85714285714285705e-02,5.59016994367449116e-01,5.59016994367449116e-01,2.23606797746979613e-01,8.94427190987918563e-01,0.00000000000000000e+00,9.99999999986586396e-01,-9.99999999986586396e-01,6.70698734997813986e-12
3.49999999999999978e-01,4.62204748195493842e-01,1.05702098927245810e-30,0.00000000000000000e+00,0.00000000000000000e+00,4.13408494595318809e-01,2.06704247297659433e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.40221906854127754e-19,1.90700736080061217e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.52839618468527322e-02,-1.70567923693705464e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.90700736080061245e-01,1.53898002866177877e-30,0.00000000000000000e+00,0.00000000000000000e+00,-1.70567923693705464e-01,-8.52839618468527461e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.51346639792276544e-18,4.62204748195493842e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.06704247297659405e-01,-4.13408494595318809e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190985379483e-01,1.00000000000000000e+00,1.11803398873172433e+00,1.11803398873172433e+00,2.23606797746344871e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282494778417e-02,2.85714285714285740e-02,5.59016994365862163e-01,5.59016994365862163e-01,2.23606797746344871e-01,8.94427190985379483e-01,0.00000000000000000e+00,9.99999999983747667e-01,-9.99999999983747667e-01,8.12606684161798955e-12
4.00000000000000022e-01,4.50827797570710287e-01,1.06557667591046006e-30,0.00000000000000000e+00,0.00000000000000000e+00,4.03232640605848791e-01,2.01616320302924423e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.53919679312505403e-18,2.16227419474875782e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.66998417090368656e-02,-1.93399683418073731e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.16227419474875809e-01,3.02419284336299714e-30,0.00000000000000000e+00,0.00000000000000000e+00,-1.93399683418073731e-01,-9.66998417090368656e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.69663698750234901e-18,4.50827797570710231e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.01616320302924396e-01,-4.03232640605848791e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190982818310e-01,1.00000000000000000e+00,1.11803398872852267e+00,1.11803398872852267e+00,2.23606797745704577e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282493863662e-02,2.85714285714285740e-02,5.59016994364261333e-01,5.59016994364261333e-01,2.23606797745704577e-01,8.94427190982818310e-01,0.00000000000000000e+00,9.99999999980884291e-01,-9.99999999980884402e-01,9.55780843664669125e-12
4.50000000000000011e-01,4.38042376924936805e-01,1.40447200705044588e-30,0.00000000000000000e+00,0.00000000000000000e+00,3.91797012731897321e-01,1.95898506365948688e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.93622022899044273e-18,2.41078568131753990e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.07813613252183332e-01,-2.15627226504366665e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.41078568131754045e-01,4.60418170934888394e-30,0.00000000000000000e+00,0.00000000000000000e+00,-2.15627226504366665e-01,-1.07813613252183332e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.70199788038645784e-18,4.38042376924936749e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.95898506365948660e-01,-3.91797012731897321e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190980256581e-01,1.00000000000000000e+00,1.11803398872532056e+00,1.11803398872532056e+00,2.23606797745064118e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282492948769e-02,2.85714285714285740e-02,5.59016994362660280e-01,5.59016994362660280e-01,2.23606797745064118e-01,8.94427190980256581e-01,0.00000000000000000e+00,9.99999999978020138e-01,-9.99999999978020138e-01,1.09899929561285551e-11
