t,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,S,M_eff,energy_mode,rho,p_0,p_1,p_2,p_3,p_5,p_6,p_7,p_mean,w,KE_L,PE_L,KE_H,PE_H,w_L,norm_hilbert,norm_krein,exact_error
0.00000000000000000e+00,5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.47213595499957928e-01,2.23606797749978964e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.23606797749978964e-01,-4.47213595499957928e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190999915855e-01,1.00000000000000000e+00,1.11803398874989490e+00,1.11803398874989490e+00,2.23606797749978964e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282499969958e-02,2.85714285714285705e-02,5.59016994374947451e-01,5.59016994374947451e-01,2.23606797749978964e-01,8.94427190999915855e-01,0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00
5.00000000000000028e-02,4.99218953429094725e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.46515006209503296e-01,2.23257503104751648e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.61887619680304423e-32,-2.79362942591096126e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.24934906005612373e-02,-2.49869812011224747e-02,0.00000000000000000e+00,0.00000000000000000e+00,-2.79362942591096126e-02,-2.66428632966861800e-33,0.00000000000000000e+00,0.00000000000000000e+00,2.49869812011224747e-02,-1.24934906005612373e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.29509815992729429e-31,-4.99218953429094725e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.23257503104751648e-01,-4.46515006209503296e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190999101507e-01,1.00000000000000000e+00,1.11803398874887683e+00,1.11803398874887683e+00,2.23606797749775377e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282499679080e-02,2.85714285714285705e-02,5.59016994374438414e-01,5.59016994374438414e-01,2.23606797749775377e-01,8.94427190999101507e-01,0.00000000000000000e+00,9.99999999999089506e-01,9.99999999999089506e-01,5.21277591762712009e-13
1.00000000000000006e-01,4.96878253851945451e-01,1.62702849241969363e-34,0.00000000000000000e+00,0.00000000000000000e+00,-4.44421420861738914e-01,2.22210710430869457e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.68236360374587676e-31,-5.57853103310521001e-02,0.00000000000000000e+00,0.00000000000000000e+00,-2.49479492092307444e-02,-4.98958984184614887e-02,0.00000000000000000e+00,0.00000000000000000e+00,-5.57853103310521001e-02,-1.26145265806530555e-31,0.00000000000000000e+00,0.00000000000000000e+00,4.98958984184614887e-02,-2.49479492092307444e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.80322010922513495e-31,-4.96878253851945451e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.22210710430869457e-01,-4.44421420861738914e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190998807631e-01,1.00000000000000000e+00,1.11803398874850957e+00,1.11803398874850957e+00,2.23606797749701908e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282499574164e-02,2.85714285714285705e-02,5.59016994374254783e-01,5.59016994374254783e-01,2.23606797749701908e-01,8.94427190998807631e-01,0.00000000000000000e+00,9.99999999998760991e-01,9.99999999998760991e-01,1.02922075135457082e-12
1.49999999999999994e-01,4.92985214048249132e-01,2.78890516748223735e-31,0.00000000000000000e+00,0.00000000000000000e+00,-4.40939380205667975e-01,2.20469690102833987e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.40998741696481279e-30,-8.34600427015652069e-02,0.00000000000000000e+00,0.00000000000000000e+00,-3.73244657771469729e-02,-7.46489315542939458e-02,0.00000000000000000e+00,0.00000000000000000e+00,-8.34600427015652069e-02,-4.28959541333772340e-30,0.00000000000000000e+00,0.00000000000000000e+00,7.46489315542939458e-02,-3.73244657771469729e-02,0.00000000000000000e+00,0.00000000000000000e+00,8.43995245638736312e-32,-4.92985214048249132e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.20469690102833987e-01,-4.40939380205667975e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190992564514e-01,1.00000000000000000e+00,1.11803398874070559e+00,1.11803398874070559e+00,2.23606797748141128e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282497344489e-02,2.85714285714285740e-02,5.59016994370352793e-01,5.59016994370352793e-01,2.23606797748141128e-01,8.94427190992564514e-01,0.00000000000000000e+00,9.99999999991780797e-01,9.99999999991780797e-01,4.46254967864872440e-12
2.00000000000000011e-01,4.87551996601009729e-01,-1.71928979044665702e-30,0.00000000000000000e+00,0.00000000000000000e+00,-4.36079762786241942e-01,2.18039881393120971e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.57591829984183092e-30,-1.10874030350855468e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.95843737607775045e-02,-9.91687475215550091e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.10874030350855468e-01,-1.44310577781643497e-29,0.00000000000000000e+00,0.00000000000000000e+00,9.91687475215550091e-02,-4.95843737607775045e-02,0.00000000000000000e+00,0.00000000000000000e+00,6.84862219623729561e-31,-4.87551996601009729e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.18039881393120971e-01,-4.36079762786241942e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190985152776e-01,1.00000000000000000e+00,1.11803398873144100e+00,1.11803398873144100e+00,2.23606797746288194e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282494697440e-02,2.85714285714285740e-02,5.59016994365720499e-01,5.59016994365720499e-01,2.23606797746288194e-01,8.94427190985152776e-01,0.00000000000000000e+00,9.99999999983494314e-01,9.99999999983494314e-01,8.45958517882916562e-12
2.50000000000000000e-01,4.80595575893975557e-01,-3.19776062569227352e-30,0.00000000000000000e+00,0.00000000000000000e+00,-4.29857750953835771e-01,2.14928875476917886e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.33382294235323110e-30,-1.37941626875199397e-01,0.00000000000000000e+00,0.00000000000000000e+00,-6.16893709239715177e-02,-1.23378741847943035e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.37941626875199397e-01,-2.28292810542601231e-29,0.00000000000000000e+00,0.00000000000000000e+00,1.23378741847943035e-01,-6.16893709239715177e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.00878903928542105e-30,-4.80595575893975557e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.14928875476917886e-01,-4.29857750953835771e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190977873376e-01,1.00000000000000000e+00,1.11803398872234183e+00,1.11803398872234183e+00,2.23606797744468344e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282492097644e-02,2.85714285714285705e-02,5.59016994361170916e-01,5.59016994361170916e-01,2.23606797744468344e-01,8.94427190977873376e-01,0.00000000000000000e+00,9.99999999975355602e-01,9.99999999975355602e-01,1.24795177833540173e-11
2.99999999999999989e-01,4.72137685081300829e-01,-3.78543766825429196e-30,0.00000000000000000e+00,0.00000000000000000e+00,-4.22292783432471064e-01,2.11146391716235532e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.73211566430295475e-30,-1.64578268060840693e-01,0.00000000000000000e+00,0.00000000000000000e+00,-7.36016390006443977e-02,-1.47203278001288795e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.64578268060840693e-01,3.79822716395889863e-22,0.00000000000000000e+00,0.00000000000000000e+00,1.47203278001288795e-01,-7.36016390006443977e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.75022296151698387e-30,-4.72137685081300829e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.11146391716235532e-01,-4.22292783432471064e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190970706221e-01,1.00000000000000000e+00,1.11803398871338278e+00,1.11803398871338278e+00,2.23606797742676555e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282489537956e-02,2.85714285714285740e-02,5.59016994356691388e-01,5.59016994356691388e-01,2.23606797742676555e-01,8.94427190970706221e-01,0.00000000000000000e+00,9.99999999967342568e-01,9.99999999967342568e-01,1.64626375035053761e-11
3.49999999999999978e-01,4.62204748189467052e-01,-6.37317617079418988e-30,0.00000000000000000e+00,0.00000000000000000e+00,-4.13408494589928732e-01,2.06704247294964366e-01,0.00000000000000000e+00,0.00000000000000000e+00,-9.15800972980398129e-22,-1.90700736078779215e-01,0.00000000000000000e+00,0.00000000000000000e+00,-8.52839618462793297e-02,-1.70567923692558659e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.90700736078779215e-01,-1.47924890482685049e-21,0.00000000000000000e+00,0.00000000000000000e+00,1.70567923692558659e-01,-8.52839618462793297e-02,0.00000000000000000e+00,0.00000000000000000e+00,5.99365826754245872e-30,-4.62204748189467052e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.06704247294964366e-01,-4.13408494589928732e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190963698604e-01,1.00000000000000000e+00,1.11803398870462312e+00,1.11803398870462312e+00,2.23606797740924651e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282487035236e-02,2.85714285714285775e-02,5.59016994352311558e-01,5.59016994352311558e-01,2.23606797740924651e-01,8.94427190963698604e-01,0.00000000000000000e+00,9.99999999959507946e-01,9.99999999959507946e-01,2.03662719105706377e-11
4.00000000000000022e-01,4.50827797563577715e-01,-6.25828080056385324e-30,0.00000000000000000e+00,0.00000000000000000e+00,-4.03232640599469838e-01,2.01616320299734919e-01,0.00000000000000000e+00,0.00000000000000000e+00,-8.01496036425707870e-21,-2.16227419472735383e-01,0.00000000000000000e+00,0.00000000000000000e+00,-9.66998417080795203e-02,-1.93399683416159041e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.16227419472735383e-01,2.53674134355855517e-21,0.00000000000000000e+00,0.00000000000000000e+00,1.93399683416159041e-01,-9.66998417080795203e-02,0.00000000000000000e+00,0.00000000000000000e+00,-4.66198023923280198e-23,-4.50827797563577715e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.01616320299734919e-01,-4.03232640599469838e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190956498919e-01,1.00000000000000000e+00,1.11803398869562365e+00,1.11803398869562365e+00,2.23606797739124730e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282484463890e-02,2.85714285714285705e-02,5.59016994347811824e-01,5.59016994347811824e-01,2.23606797739124730e-01,8.94427190956498919e-01,0.00000000000000000e+00,9.99999999951458274e-01,9.99999999951458274e-01,2.43819145259033265e-11
4.50000000000000011e-01,4.38042376916765230e-01,-8.73877741466072992e-30,0.00000000000000000e+00,0.00000000000000000e+00,-3.91797012724589166e-01,1.95898506362294583e-01,0.00000000000000000e+00,0.00000000000000000e+00,-7.84385752406771099e-21,-2.41078568128622023e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.07813613250782508e-01,-2.15627226501565017e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.41078568128621995e-01,1.34695292669546978e-21,0.00000000000000000e+00,0.00000000000000000e+00,2.15627226501565017e-01,-1.07813613250782508e-01,0.00000000000000000e+00,0.00000000000000000e+00,-5.59031405629391199e-23,-4.38042376916765230e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.95898506362294583e-01,-3.91797012724589166e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190949242057e-01,1.00000000000000000e+00,1.11803398868655246e+00,1.11803398868655246e+00,2.23606797737310486e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282481872143e-02,2.85714285714285740e-02,5.59016994343276230e-01,5.59016994343276230e-01,2.23606797737310486e-01,8.94427190949242057e-01,0.00000000000000000e+00,9.99999999943344875e-01,9.99999999943344875e-01,2.84325501312289189e-11
5.00000000000000000e-01,4.23888430284861062e-01,-1.78535171528070526e-29,0.00000000000000000e+00,0.00000000000000000e+00,-3.79137337997052348e-01,1.89568668998526174e-01,0.00000000000000000e+00,0.00000000000000000e+00,-6.48602352920062008e-21,-2.65176542428711803e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.18590554981791205e-01,-2.37181109963582409e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.65176542428711803e-01,2.56721028268278566e-21,0.00000000000000000e+00,0.00000000000000000e+00,2.37181109963582409e-01,-1.18590554981791205e-01,0.00000000000000000e+00,0.00000000000000000e+00,-6.72323653140159746e-23,-4.23888430284861062e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.89568668998526174e-01,-3.79137337997052348e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190941992745e-01,1.00000000000000000e+00,1.11803398867749104e+00,1.11803398867749104e+00,2.23606797735498186e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282479283103e-02,2.85714285714285671e-02,5.59016994338745521e-01,5.59016994338745521e-01,2.23606797735498186e-01,8.94427190941992745e-01,0.00000000000000000e+00,9.99999999935240025e-01,9.99999999935240025e-01,3.24808542842431780e-11
5.50000000000000044e-01,4.08410177233797023e-01,-2.04678060091284745e-29,0.00000000000000000e+00,0.00000000000000000e+00,-3.65293167599003210e-01,1.82646583799501605e-01,0.00000000000000000e+00,0.00000000000000000e+00,-9.93728669956114183e-21,-2.88446055812267677e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.28996997727585605e-01,-2.57993995455171210e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.88446055812267677e-01,2.40940011799115704e-21,0.00000000000000000e+00,0.00000000000000000e+00,2.57993995455171210e-01,-1.28996997727585605e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.95608667175531155e-22,-4.08410177233797023e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.82646583799501605e-01,-3.65293167599003210e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.94427190934785066e-01,1.00000000000000000e+00,1.11803398866848136e+00,1.11803398866848136e+00,2.23606797733696266e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.19438282476708982e-02,2.85714285714285740e-02,5.59016994334240680e-01,5.59016994334240680e-01,2.23606797733696266e-01,8.94427190934785066e-01,0.00000000000000000e+00,9.99999999927181582e-01,9.99999999927181582e-01,3.65071776807557927e-11
