t,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,S,M_eff,energy_mode,rho,p_0,p_1,p_2,p_3,p_5,p_6,p_7,p_mean,w,KE_L,PE_L,KE_H,PE_H,w_L,norm_hilbert,norm_krein,exact_error
0.00000000000000000e+00,6.84490671014631347e-01,3.42245335507315673e-01,2.28163557004877116e-01,1.71122667753657837e-01,1.36898134202926264e-01,1.14081778502438558e-01,9.77843815735187638e-02,8.55613338768289183e-02,7.60545190016257006e-02,6.84490671014631319e-02,6.22264246376937613e-02,5.70408892512192789e-02,5.26531285395870283e-02,4.88921907867593819e-02,4.56327114009754259e-02,4.27806669384144592e-02,-2.05347201304389410e-01,-1.36898134202926264e-01,6.84490671014631596e-02,-6.84490671014631180e-02,-6.84490671014631180e-02,6.84490671014631596e-02,-1.36898134202926264e-01,-2.05347201304389410e-01,-1.36898134202926264e-01,6.84490671014631596e-02,-6.84490671014631180e-02,-6.84490671014631180e-02,6.84490671014631596e-02,-1.36898134202926264e-01,-2.05347201304389410e-01,-1.36898134202926264e-01,3.05675694970118594e-01,1.00000000000000000e+00,3.05675694970118594e-01,3.05675694970118594e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.52837847485059297e-01,1.52837847485059297e-01,0.00000000000000000e+00,3.05675694970118594e-01,0.00000000000000000e+00,9.99999999999999445e-01,-2.59372526867658437e-01,0.00000000000000000e+00
5.00000000000000028e-02,6.86078826990027202e-01,3.39186058331389650e-01,2.25740269775768665e-01,1.73189493985077075e-01,1.33306019671011494e-01,1.17740347664131245e-01,1.00513032817931558e-01,8.23443794787230010e-02,7.02577581382065330e-02,7.52055786133051796e-02,6.64249421989593081e-02,5.20824208338120792e-02,6.96924633948803052e-02,1.46208131681343674e-02,3.70231136162441354e-02,5.41306272814819703e-02,-2.11932625795436119e-01,-1.40148074693250940e-01,7.52055786133052073e-02,-7.86266061244249720e-02,-7.17845511021853872e-02,6.15214685688259752e-02,-1.40148074693250940e-01,-2.01669543262076839e-01,-1.40148074693250940e-01,6.49424960799457746e-02,-7.86266061244249720e-02,-6.15214685688259336e-02,6.15214685688259752e-02,-1.26463964648771632e-01,-2.01669543262076839e-01,-1.33306019671011494e-01,3.05675694967340095e-01,1.00000000000000000e+00,3.05675694967340095e-01,3.05675694967340095e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.52837847483670047e-01,1.52837847483670047e-01,0.00000000000000000e+00,3.05675694967340095e-01,0.00000000000000000e+00,9.99999999990910937e-01,-2.59372526865300879e-01,4.60610258336221015e-12
1.00000000000000006e-01,6.85952143202574138e-01,3.35278992655185404e-01,2.22752749436060549e-01,1.74823436677287392e-01,1.29380709514714226e-01,1.21104627274908616e-01,1.02990453826698386e-01,7.89216070162771233e-02,6.42853894692017175e-02,8.17741153450459446e-02,7.04574319982942260e-02,4.69937734884949415e-02,8.65576033868353661e-02,-1.96871088686878248e-02,2.83209773289076518e-02,6.53452892470610669e-02,-2.17988329094835370e-01,-1.43047717984865264e-01,8.17741153450459446e-02,-8.86076195801214495e-02,-7.49406111099703981e-02,5.44400984047437864e-02,-1.43047717984865264e-01,-1.97487816389608911e-01,-1.43047717984865264e-01,6.12736026398193120e-02,-8.86076195801214495e-02,-5.44400984047437447e-02,5.44400984047437864e-02,-1.15713701044562994e-01,-1.97487816389608911e-01,-1.29380709514714226e-01,3.05675694966108913e-01,1.00000000000000000e+00,3.05675694966108913e-01,3.05675694966108913e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.52837847483054456e-01,1.52837847483054456e-01,0.00000000000000000e+00,3.05675694966108913e-01,0.00000000000000000e+00,9.99999999986882604e-01,-2.59372526864256159e-01,6.70021265731189786e-12
1.49999999999999994e-01,6.84110936294376693e-01,3.30533904107445431e-01,2.19208463230273626e-01,1.76020411824149292e-01,1.25132014964892346e-01,1.24166208387589599e-01,1.05210452337310717e-01,7.53015716379340228e-02,5.81523408057899732e-02,8.81382593755340310e-02,7.43138149111472468e-02,4.17876661834076304e-02,1.03206394448532593e-01,-5.39458233858777156e-02,1.95480533476211776e-02,7.63966220206153401e-02,-2.23499175097661151e-01,-1.45589816479362560e-01,8.81382593755340310e-02,-9.83671601327691658e-02,-7.79093586182988546e-02,4.72226563465934016e-02,-1.45589816479362560e-01,-1.92812472825955927e-01,-1.45589816479362560e-01,5.74515571038285502e-02,-9.83671601327691658e-02,-4.72226563465933669e-02,4.72226563465934016e-02,-1.04674213450421869e-01,-1.92812472825955927e-01,-1.25132014964892346e-01,3.05675694965159006e-01,1.00000000000000000e+00,3.05675694965159006e-01,3.05675694965159006e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.52837847482579503e-01,1.52837847482579503e-01,0.00000000000000000e+00,3.05675694965159006e-01,0.00000000000000000e+00,9.99999999983775312e-01,-2.59372526863450248e-01,8.28950930085170107e-12
2.00000000000000011e-01,6.80559808323735527e-01,3.24962652938297347e-01,2.15116270028062051e-01,1.76777427611147592e-01,1.20570555545222141e-01,1.26917438643821268e-01,1.07167479509634372e-01,7.14933215468477601e-02,5.18739415755851488e-02,9.42821036590719974e-02,7.79844519885969922e-02,3.64771114755131007e-02,1.19597223272847622e-01,-8.80697014387703814e-02,1.07262694134744423e-02,8.72570030256374918e-02,-2.28451389558878171e-01,-1.47768016254390872e-01,9.42821036590719974e-02,-1.07880834013656376e-01,-8.06833733044875906e-02,3.98871822407344465e-02,-1.47768016254390872e-01,-1.87655198495125242e-01,-1.47768016254390872e-01,5.34859125953188394e-02,-1.07880834013656376e-01,-3.98871822407344118e-02,3.98871822407344465e-02,-9.33730948360532165e-02,-1.87655198495125242e-01,-1.20570555545222127e-01,3.05675694964383127e-01,1.00000000000000000e+00,3.05675694964383127e-01,3.05675694964383127e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.52837847482191563e-01,1.52837847482191563e-01,0.00000000000000000e+00,3.05675694964383127e-01,0.00000000000000000e+00,9.99999999981237342e-01,-2.59372526862791941e-01,9.54489287455330286e-12
2.50000000000000000e-01,6.75307635261083283e-01,3.18579164374141965e-01,2.10486398181209122e-01,1.77092591893043910e-01,1.15707732528650201e-01,1.29351441400776396e-01,1.08856643794936814e-01,6.75063753849174802e-02,4.54658845068937056e-02,1.00190291784626864e-01,8.14601685495921213e-02,3.10753829858630322e-02,1.35689121323977063e-01,-1.21973451103789224e-01,1.87767539195509326e-03,9.78992869656432618e-02,-2.32832594521397346e-01,-1.49576872944891581e-01,1.00190291784626864e-01,-1.17124861992747548e-01,-8.32557215765061115e-02,3.24520109521439920e-02,-1.49576872944891581e-01,-1.82028883897035504e-01,-1.49576872944891581e-01,4.93865811602646962e-02,-1.17124861992747548e-01,-3.24520109521439504e-02,3.24520109521439920e-02,-8.18385921124086396e-02,-1.82028883897035504e-01,-1.15707732528650201e-01,3.05675694963689348e-01,1.00000000000000000e+00,3.05675694963689348e-01,3.05675694963689348e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.52837847481844674e-01,1.52837847481844674e-01,0.00000000000000000e+00,3.05675694963689348e-01,0.00000000000000000e+00,9.99999999978967158e-01,-2.59372526862203190e-01,1.06664201634094413e-11
2.99999999999999989e-01,6.68367544803674996e-01,3.11399393811871261e-01,2.05330419958100391e-01,1.76965116923237159e-01,1.10555700440184104e-01,1.31462132919146213e-01,1.10273723162186935e-01,6.33506984411712493e-02,3.89441864051221429e-02,1.05848056358797210e-01,8.47322771128371510e-02,2.55959822225055554e-02,1.51441867237282091e-01,-1.55572330663511615e-01,-6.97561184014987290e-03,1.08296873673169244e-01,-2.36631839254462961e-01,-1.51011865351148161e-01,1.05848056358797210e-01,-1.26076138814279259e-01,-8.56199739033151053e-02,2.49357265368689018e-02,-1.51011865351148161e-01,-1.75947591888017035e-01,-1.51011865351148161e-01,4.51638089923509720e-02,-1.26076138814279259e-01,-2.49357265368688706e-02,2.49357265368689018e-02,-7.00995355292198252e-02,-1.75947591888017035e-01,-1.10555700440184104e-01,3.05675694962965316e-01,1.00000000000000000e+00,3.05675694962965316e-01,3.05675694962965316e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.52837847481482658e-01,1.52837847481482658e-01,0.00000000000000000e+00,3.05675694962965316e-01,0.00000000000000000e+00,9.99999999976598608e-01,-2.59372526861588848e-01,1.18399068795835419e-11
3.49999999999999978e-01,6.59756883563388574e-01,3.03441286938769317e-01,1.99661222619132217e-01,1.76395321322780962e-01,1.05127336676929778e-01,1.33244237569373675e-01,1.11415175650977430e-01,5.90366777437403220e-02,3.23251481190948778e-02,1.11241255916663520e-01,8.77925991110125453e-02,2.00526048337355857e-02,1.66816087351862513e-01,-1.88782360417005801e-01,-1.58114636754622916e-02,1.18423774596413567e-01,-2.39839627624872320e-01,-1.52069406739488655e-01,1.11241255916663520e-01,-1.34712290947942986e-01,-8.77702208853840399e-02,1.73571157915456756e-02,-1.52069406739488655e-01,-1.69426522531034268e-01,-1.52069406739488655e-01,4.08281508228251419e-02,-1.34712290947942986e-01,-1.73571157915456444e-02,1.73571157915456756e-02,-5.81852666143707967e-02,-1.69426522531034268e-01,-1.05127336676929792e-01,3.05675694962265210e-01,1.00000000000000000e+00,3.05675694962265210e-01,3.05675694962265210e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.52837847481132605e-01,1.52837847481132605e-01,0.00000000000000000e+00,3.05675694962265210e-01,0.00000000000000000e+00,9.99999999974308329e-01,-2.59372526860994712e-01,1.29765525713094735e-11
4.00000000000000022e-01,6.49497173708965758e-01,2.94724734877510441e-01,1.93492976205186629e-01,1.75384629283929144e-01,9.94362093212556031e-02,1.34693301017933004e-01,1.12278148224541269e-01,5.45750960976681618e-02,2.56253137973971590e-02,1.16356410268053614e-01,9.06334853329064660e-02,1.44591063760889302e-02,1.81773354124169451e-01,-2.21520532585337132e-01,-2.46077950860172263e-02,1.28254677757055013e-01,-2.42447941832279135e-01,-1.52746853807196270e-01,1.16356410268053614e-01,-1.43011732511023920e-01,-8.97010880250832532e-02,9.73512129617228744e-03,-1.52746853807196270e-01,-1.62481975103368426e-01,-1.52746853807196270e-01,3.63904435391426279e-02,-1.43011732511023920e-01,-9.73512129617225622e-03,9.73512129617228744e-03,-4.61255648353149084e-02,-1.62481975103368426e-01,-9.94362093212556170e-02,3.05675694961573763e-01,1.00000000000000000e+00,3.05675694961573763e-01,3.05675694961573763e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.52837847480786881e-01,1.52837847480786881e-01,0.00000000000000000e+00,3.05675694961573763e-01,0.00000000000000000e+00,9.99999999972046361e-01,-2.59372526860408015e-01,1.41005269064762463e-11
4.50000000000000011e-01,6.37614059171855097e-01,2.85271524468739823e-01,1.86841098119927912e-01,1.73935567010411490e-01,9.34965432276638059e-02,1.35805701360853570e-01,1.12860483900866213e-01,4.99771051335203206e-02,1.88614295366256318e-02,1.21180734191003947e-01,9.32478350424644220e-02,8.82946768267127598e-03,1.96276282176856776e-01,-2.53705018787783843e-01,-3.33426198243278668e-02,1.37765011017020822e-01,-2.44450262449536132e-01,-1.53042513289401438e-01,1.21180734191003947e-01,-1.50953719221872729e-01,-9.14077491601350822e-02,2.08879406752866771e-03,-1.53042513289401411e-01,-1.55131307356929982e-01,-1.53042513289401438e-01,3.18617790983974844e-02,-1.50953719221872729e-01,-2.08879406752863605e-03,2.08879406752866771e-03,-3.39505731659261803e-02,-1.55131307356929982e-01,-9.34965432276638198e-02,3.05675694960855782e-01,1.00000000000000000e+00,3.05675694960855782e-01,3.05675694960855782e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.52837847480427891e-01,1.52837847480427891e-01,0.00000000000000000e+00,3.05675694960855782e-01,0.00000000000000000e+00,9.99999999969697795e-01,-2.59372526859798835e-01,1.52686251809340012e-11
