t,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,S,M_eff,energy_mode,rho,p_0,p_1,p_2,p_3,p_5,p_6,p_7,p_mean,w,KE_L,PE_L,KE_H,PE_H,w_L,norm_hilbert,norm_krein,exact_error
0.00000000000000000e+00,6.84490671014631347e-01,3.42245335507315673e-01,2.28163557004877116e-01,1.71122667753657837e-01,1.36898134202926264e-01,1.14081778502438558e-01,9.77843815735187638e-02,8.55613338768289183e-02,7.60545190016257006e-02,6.84490671014631319e-02,6.22264246376937613e-02,5.70408892512192789e-02,5.26531285395870283e-02,4.88921907867593819e-02,4.56327114009754259e-02,4.27806669384144592e-02,-2.05347201304389410e-01,-1.36898134202926264e-01,6.84490671014631596e-02,-6.84490671014631180e-02,-6.84490671014631180e-02,6.84490671014631596e-02,-1.36898134202926264e-01,-2.05347201304389410e-01,-1.36898134202926264e-01,6.84490671014631596e-02,-6.84490671014631180e-02,-6.84490671014631180e-02,6.84490671014631596e-02,-1.36898134202926264e-01,-2.05347201304389410e-01,-1.36898134202926264e-01,3.05675694970118594e-01,1.00000000000000000e+00,3.15325650014252945e-01,3.15325650014252945e-01,9.64995504413434894e-03,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.37856500630490690e-03,4.37187715697278257e-03,1.57662825007126473e-01,1.57662825007126473e-01,9.64995504413434894e-03,3.05675694970118594e-01,0.00000000000000000e+00,9.99999999999999445e-01,-2.59372526867658437e-01,0.00000000000000000e+00
5.00000000000000028e-02,6.87575104890013833e-01,3.40789766503376168e-01,2.30800231495237457e-01,1.69715134506302684e-01,1.36684286566591734e-01,1.12573311153233255e-01,9.87718569637882210e-02,8.06076425459315848e-02,7.36552673553435983e-02,7.68938210478233297e-02,6.29843889430853759e-02,5.71961197198282700e-02,7.13845705306496436e-02,1.80297766786265377e-02,3.87200866439084967e-02,5.24057410185244169e-02,-2.14718331316351957e-01,-1.36684286566591734e-01,7.73214049360497896e-02,-8.10474931048795616e-02,-6.32111366245793477e-02,4.43974455426188255e-02,-1.44380796554666402e-01,-1.95904640234391386e-01,-1.38883289420327460e-01,6.36058294444805938e-02,-7.96731163212947013e-02,-6.03605773697368161e-02,5.97904655187683418e-02,-1.24521900412596767e-01,-2.00180479116655291e-01,-1.34818465963421980e-01,2.87253866093535759e-01,1.00000000000000000e+00,3.15325650015033043e-01,3.15325650015033043e-01,2.80717839214973085e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.01025484592818730e-03,1.27178199608468257e-02,1.57662825007516522e-01,1.57662825007516522e-01,2.80717839214973085e-02,2.87253866093535759e-01,0.00000000000000000e+00,1.00000000000247402e+00,-2.59372526868300424e-01,1.29535226706793855e-12
1.00000000000000006e-01,6.88511426053401987e-01,3.38269506785202623e-01,2.32715843067967720e-01,1.67777379563546741e-01,1.36043411756923555e-01,1.10713143809393996e-01,9.94507506732673630e-02,7.54021179238720113e-02,7.10259029330754660e-02,8.50983443730194272e-02,6.35455782844210337e-02,5.71726588557055007e-02,8.98929938253051342e-02,-1.28889658100777155e-02,3.16864931233283159e-02,6.18670898012039436e-02,-2.23418641262550566e-01,-1.36043411756923555e-01,8.59521762977473319e-02,-9.33927116418045572e-02,-5.77757227817271776e-02,2.02071180937003596e-02,-1.51412386402025367e-01,-1.85850036574523647e-01,-1.40434547369809898e-01,5.85638753276298135e-02,-9.06482518837505719e-02,-5.20835099502079402e-02,5.09450673839041135e-02,-1.11756637009107956e-01,-1.94388355821802639e-01,-1.32317599721747253e-01,2.68395075843092301e-01,1.00000000000000000e+00,3.15325650014933401e-01,3.15325650014933401e-01,4.69305741718410441e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.70436773883443474e-03,2.12617265310225297e-02,1.57662825007466700e-01,1.57662825007466700e-01,4.69305741718410441e-02,2.68395075843092301e-01,0.00000000000000000e+00,1.00000000000215805e+00,-2.59372526868218545e-01,1.08193895605758573e-12
1.49999999999999994e-01,6.87296709263378491e-01,3.34692430113696704e-01,2.33904406995827902e-01,1.65315456832810209e-01,1.34977511986247745e-01,1.08507087980207154e-01,9.98189417116048944e-02,6.99610230391346927e-02,6.81746403590276911e-02,9.30370046181192845e-02,6.39082394017030792e-02,5.69705799549840367e-02,1.08120574662008279e-01,-4.37674407691807307e-02,2.45539050954194996e-02,7.11351542706972068e-02,-2.31420949754366334e-01,-1.34977511986247745e-01,9.43144170493690759e-02,-1.05446153950259899e-01,-5.21598068181266111e-02,-4.04634015686328868e-03,-1.57970935748743546e-01,-1.75214802779376316e-01,-1.41547061632675220e-01,5.33389567546648305e-02,-1.01340185421242721e-01,-4.36437239431281127e-02,4.19405073681284324e-02,-9.86422250529206401e-02,-1.87988927091874175e-01,-1.29403348649884953e-01,2.49334813641756137e-01,1.00000000000000000e+00,3.15325650014233794e-01,3.15325650014233794e-01,6.59908363724777125e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.42726233892538824e-03,2.98969092381157139e-02,1.57662825007116897e-01,1.57662825007116897e-01,6.59908363724777125e-02,2.49334813641756137e-01,0.00000000000000000e+00,9.99999999999939826e-01,-2.59372526867643061e-01,6.08604939112778410e-13
2.00000000000000011e-01,6.83934749522147167e-01,3.30069711943155153e-01,2.34362209983873027e-01,1.62337057819552072e-01,1.33489917324166263e-01,1.05962035795206938e-01,9.98752797814886489e-02,6.43013568859687051e-02,6.51103875087810091e-02,1.00684999929500404e-01,6.40712392740900583e-02,5.65905143498526067e-02,1.26010366682228092e-01,-7.45091780897856742e-02,1.73446060941215043e-02,8.01809792668748411e-02,-2.38700256089322105e-01,-1.33489917324166263e-01,1.02382001992871299e-01,-1.17170162830817340e-01,-4.63809339016327399e-02,-2.82871568866852607e-02,-1.64035954464841732e-01,-1.64032165301004063e-01,-1.42217356507216508e-01,4.79473973447442636e-02,-1.11715513341410916e-01,-3.50675868124936188e-02,3.28049173946658029e-02,-8.52196364105057974e-02,-1.81002185934712817e-01,-1.26084817411275002e-01,2.30311084691076973e-01,1.00000000000000000e+00,3.15325650013537351e-01,3.15325650013537351e-01,8.50145653224603642e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.21449379032086240e-02,3.85155406884508944e-02,1.57662825006768675e-01,1.57662825006768675e-01,8.50145653224603642e-02,2.30311084691076973e-01,0.00000000000000000e+00,9.99999999997731259e-01,-2.59372526867070241e-01,1.31138134991842333e-12
2.50000000000000000e-01,6.78436050218249598e-01,3.24415794506259292e-01,2.34087821770317284e-01,1.58851487597098356e-01,1.31585275293514214e-01,1.03085938471501715e-01,9.96195888723045153e-02,5.84408013156792819e-02,6.18427176790302055e-02,1.08018436545214924e-01,6.40340686596250486e-02,5.60336494360630447e-02,1.43506478843343360e-01,-1.05018134858192835e-01,1.00811193124051100e-02,8.89763039474753270e-02,-2.45233818358523342e-01,-1.31585275293514214e-01,1.10129726490137816e-01,-1.28528110295894366e-01,-4.04571583076824420e-02,-5.24395992689246429e-02,-1.69588494302126219e-01,-1.52337060781916195e-01,-1.42443337867403486e-01,4.24060413337650696e-02,-1.21741821187213564e-01,-2.63818920081964961e-02,2.35668387482993111e-02,-7.15308057490406657e-02,-1.73449960231145228e-01,-1.22372373715668711e-01,2.11561438001124258e-01,1.00000000000000000e+00,3.15325650012871050e-01,3.15325650012871050e-01,1.03764212011746737e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.48234588588209617e-02,4.70100001640078868e-02,1.57662825006435525e-01,1.57662825006435525e-01,1.03764212011746737e-01,2.11561438001124258e-01,0.00000000000000000e+00,9.99999999995617950e-01,-2.59372526866522235e-01,2.29553366562582032e-12
2.99999999999999989e-01,6.70817790312563278e-01,3.17748341694278624e-01,2.33082099595033176e-01,1.54869635736110262e-01,1.29269536350785225e-01,9.98877814728879182e-02,9.90526678100749486e-02,5.23976657955806113e-02,5.83818396790270686e-02,1.15014403443176830e-01,6.37968436862263594e-02,5.53017249633352900e-02,1.60554250031734874e-01,-1.35198995410171025e-01,2.78613723603433460e-03,9.74936500797757705e-02,-2.51001224496333109e-01,-1.29269536350785225e-01,1.17533385206566046e-01,-1.39484512001814775e-01,-3.44069870147221124e-02,-7.64282105744030354e-02,-1.74611208091790981e-01,-1.40166026907207891e-01,-1.42224299705358437e-01,3.67322009501582711e-02,-1.31387784905206528e-01,-1.76137752587940365e-02,1.42551329076084209e-02,-5.76184995254919521e-02,-1.65355844541100139e-01,-1.18277615928723073e-01,1.93320000121141200e-01,1.00000000000000000e+00,3.15325650012175107e-01,3.15325650012175107e-01,1.22005649891033921e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.74293785558619872e-02,5.52742174802113850e-02,1.57662825006087554e-01,1.57662825006087554e-01,1.22005649891033921e-01,1.93320000121141200e-01,0.00000000000000000e+00,9.99999999993410826e-01,-2.59372526865949748e-01,3.37017743684575609e-12
3.49999999999999978e-01,6.61103770668236002e-01,3.10088183871853829e-01,2.31348185521463190e-01,1.50403942283563852e-01,1.26549935295828586e-01,9.63775564375983218e-02,9.81762877618136687e-02,4.61908302067733367e-02,5.47385659363499380e-02,1.21651043919578025e-01,6.33603054889067263e-02,5.43970276000713335e-02,1.77100419834517242e-01,-1.64957469115193184e-01,-4.51754925205482410e-03,1.05706407887831921e-01,-2.55984456051628284e-01,-1.26549935295828586e-01,1.24569847733161168e-01,-1.50005138108671748e-01,-2.82493218849160822e-02,-1.00178045912743999e-01,-1.79088403940325935e-01,-1.27557088253968109e-01,-1.41560926337113674e-01,3.09436023282235947e-02,-1.40623268707868510e-01,-8.79062979436149965e-03,4.89889137625057914e-03,-4.35261823761288885e-02,-1.56745126389800066e-01,-1.13813336836556339e-01,1.75814551604869140e-01,1.00000000000000000e+00,3.15325650011494041e-01,3.15325650011494041e-01,1.39511098406624984e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.99301569152321410e-02,6.32049974827790240e-02,1.57662825005747020e-01,1.57662825005747020e-01,1.39511098406624984e-01,1.75814551604869140e-01,0.00000000000000000e+00,9.99999999991251332e-01,-2.59372526865389641e-01,4.43535199767268698e-12
4.00000000000000022e-01,6.49324339692180619e-01,3.01459252798972455e-01,2.28891496620168250e-01,1.45468358897683975e-01,1.23434968668952705e-01,9.25662299625358703e-02,9.69931867020444732e-02,3.98396858598619175e-02,5.09242787168488406e-02,1.27907623873277754e-01,6.27258178943132932e-02,5.33223837893627081e-02,1.93093294934960247e-01,-1.94200584957915978e-01,-1.18071220747236125e-02,1.13588919186355955e-01,-2.60167944480737101e-01,-1.23434968668952719e-01,1.31217130850217828e-01,-1.60057120220695542e-01,-2.20034006111955172e-02,-1.23614906374167485e-01,-1.83006094253873985e-01,-1.14549637495374071e-01,-1.40455290264644650e-01,2.50583301283709252e-02,-1.49419419223388056e-01,5.99792350716324505e-05,-4.47265520432506801e-03,-2.92978813248793921e-02,-1.47644707264774910e-01,-1.08993483678668582e-01,1.59263682718166405e-01,1.00000000000000000e+00,3.15325650010815250e-01,3.15325650010815250e-01,1.56061967292648845e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.22945667560926937e-02,7.07033086440256864e-02,1.57662825005407625e-01,1.57662825005407625e-01,1.56061967292648845e-01,1.59263682718166405e-01,0.00000000000000000e+00,9.99999999989098609e-01,-2.59372526864831310e-01,5.50294347335852143e-12
4.50000000000000011e-01,6.35516298521060286e-01,2.91888506863721697e-01,2.25719708044910872e-01,1.40078305260379510e-01,1.19934368206162337e-01,8.84657093415913559e-02,9.55070608588678288e-02,3.33640749128937403e-02,4.69508945643323655e-02,1.33764596583006129e-01,6.18953631598845727e-02,5.20811509186607374e-02,2.08482910612051237e-01,-2.22836981996957451e-01,-1.90598072485525932e-02,1.21116557541674025e-01,-2.63538619786491679e-01,-1.19934368206162364e-01,1.37454467207002357e-01,-1.69609054073255355e-01,-1.56887366151261844e-02,-1.46665570840708720e-01,-1.86352039438094835e-01,-1.01184312330656750e-01,-1.38910845701000291e-01,1.90947710372765256e-02,-1.57748755638981580e-01,8.91040087818215781e-03,-1.38302283768438339e-02,-1.49780482347132773e-02,-1.38083018570619304e-01,-1.03833114574178542e-01,1.43874063905767569e-01,1.00000000000000000e+00,3.15325650010124414e-01,3.15325650010124414e-01,1.71451586104356873e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.44930837291938396e-02,7.76755196680238985e-02,1.57662825005062207e-01,1.57662825005062207e-01,1.71451586104356873e-01,1.43874063905767569e-01,0.00000000000000000e+00,9.99999999986907695e-01,-2.59372526864262931e-01,6.59252310799254142e-12
