t,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,S,M_eff,energy_mode,rho,p_0,p_1,p_2,p_3,p_5,p_6,p_7,p_mean,w,KE_L,PE_L,KE_H,PE_H,w_L,norm_hilbert,norm_krein,exact_error
0.00000000000000000e+00,5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.73482664064202308e-01,1.60667877407606824e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.60667877407606824e-01,-4.73482664064202308e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.46965328128404615e-01,1.47348266406420225e+00,1.55600487187468017e+00,1.33181903870534590e+00,3.84853710576941066e-01,2.24185833169334242e-01,2.24185833169334242e-01,2.24185833169334242e-01,2.24185833169334242e-01,2.24185833169334242e-01,2.24185833169334242e-01,2.47138387084706646e-01,1.85564539852913157e-01,7.78002435937340087e-01,5.53816602768005817e-01,1.60667877407606824e-01,1.17115116129773877e+00,1.68330551414300339e-01,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00
5.00000000000000028e-02,4.98487543653722887e-01,7.58996760926498693e-16,0.00000000000000000e+00,0.00000000000000000e+00,-4.72050420343970101e-01,1.60181871105951529e-01,0.00000000000000000e+00,0.00000000000000000e+00,-7.95626091329985860e-14,-3.88608907244402599e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.24873936536541892e-02,-3.67999161362572019e-02,0.00000000000000000e+00,0.00000000000000000e+00,-3.88608907244402599e-02,7.95626102954208873e-14,0.00000000000000000e+00,0.00000000000000000e+00,3.67999161362572019e-02,-1.24873936536541892e-02,0.00000000000000000e+00,0.00000000000000000e+00,7.58996113647535268e-16,-4.98487543653722887e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.60181871105951529e-01,-4.72050420343970101e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.46965328150454311e-01,1.47348266407522721e+00,1.55600487192133952e+00,1.33181903874156515e+00,3.84853710591110731e-01,2.24185833179774391e-01,2.24185833179774391e-01,2.24185833179774391e-01,2.24185833179774391e-01,2.24185833179774391e-01,2.24185833179774391e-01,2.47138387095679563e-01,1.85564539856105715e-01,7.78002435960669758e-01,5.53816602780895395e-01,1.60667877411336368e-01,1.17115116133022878e+00,1.68330551417561508e-01,1.00000000002327738e+00,1.00000000002327738e+00,1.16429051054961609e-11
1.00000000000000006e-01,4.93959324692087864e-01,4.29435706997118958e-15,0.00000000000000000e+00,0.00000000000000000e+00,-4.67762353989127022e-01,1.58726792447949350e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.57344594290151227e-13,-7.74866798455866729e-02,0.00000000000000000e+00,0.00000000000000000e+00,-2.48992407561573689e-02,-7.33771992056070771e-02,0.00000000000000000e+00,0.00000000000000000e+00,-7.74866798455866590e-02,1.57344515465472984e-13,0.00000000000000000e+00,0.00000000000000000e+00,7.33771992056070910e-02,-2.48992407561573689e-02,0.00000000000000000e+00,0.00000000000000000e+00,4.29438962064216514e-15,-4.93959324692087864e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.58726792447949350e-01,-4.67762353989127022e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.46965328142657770e-01,1.47348266407132877e+00,1.55600487190480630e+00,1.33181903872872343e+00,3.84853710586065378e-01,2.24185833176082872e-01,2.24185833176082872e-01,2.24185833176082872e-01,2.24185833176082872e-01,2.24185833176082872e-01,2.24185833176082872e-01,2.47138387091794670e-01,1.85564539854977978e-01,7.78002435952403149e-01,5.53816602776320277e-01,1.60667877409982507e-01,1.17115116131874064e+00,1.68330551416412816e-01,1.00000000001502420e+00,1.00000000001502420e+00,8.02897278928736995e-12
1.49999999999999994e-01,4.86442738056046764e-01,7.01663213837568747e-15,0.00000000000000000e+00,0.00000000000000000e+00,-4.60644407058921845e-01,1.56311444407625733e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.89048882242752871e-13,-1.15643688080470014e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.71604517987738983e-02,-1.09510563029161803e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.15643688080470000e-01,1.89048807889859720e-13,0.00000000000000000e+00,0.00000000000000000e+00,1.09510563029161803e-01,-3.71604517987738983e-02,0.00000000000000000e+00,0.00000000000000000e+00,7.01680736631043543e-15,-4.86442738056046764e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.56311444407625733e-01,-4.60644407058921845e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.46965328129652395e-01,1.47348266406482620e+00,1.55600487187724301e+00,1.33181903870731788e+00,3.84853710577665598e-01,2.24185833169925047e-01,2.24185833169925047e-01,2.24185833169925047e-01,2.24185833169925047e-01,2.24185833169925047e-01,2.24185833169925047e-01,2.47138387085316574e-01,1.85564539853096372e-01,7.78002435938621506e-01,5.53816602768696375e-01,1.60667877407740550e-01,1.17115116129957753e+00,1.68330551414494739e-01,1.00000000000126743e+00,1.00000000000126743e+00,3.25500791768044102e-12
2.00000000000000011e-01,4.75983257783853642e-01,1.89790154021689144e-15,0.00000000000000000e+00,0.00000000000000000e+00,-4.50739641890913534e-01,1.52950439419380857e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.70199052608198041e-13,-1.53101072192277782e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.91968485957628779e-02,-1.44981407065425422e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.53101072192277726e-01,1.70198981508537829e-13,0.00000000000000000e+00,0.00000000000000000e+00,1.44981407065425449e-01,-4.91968485957628779e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.89829247397823331e-15,-4.75983257783853642e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.52950439419380857e-01,-4.50739641890913534e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.46965328116937455e-01,1.47348266405846884e+00,1.55600487185030190e+00,1.33181903868639706e+00,3.84853710569459717e-01,2.24185833163904752e-01,2.24185833163904752e-01,2.24185833163904752e-01,2.24185833163904752e-01,2.24185833163904752e-01,2.24185833163904752e-01,2.47138387078984056e-01,1.85564539851256510e-01,7.78002435925150948e-01,5.53816602761246113e-01,1.60667877405554965e-01,1.17115116128084229e+00,1.68330551412618601e-01,9.99999999987822408e-01,9.99999999987822408e-01,6.92289393219309358e-12
2.50000000000000000e-01,4.62644161904946838e-01,-1.94953381833733733e-14,0.00000000000000000e+00,0.00000000000000000e+00,-4.38107980585015211e-01,1.48664110976559627e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.02126427840796348e-13,-1.89632221546836649e-01,0.00000000000000000e+00,0.00000000000000000e+00,-6.09356130479418237e-02,-1.79575138900851111e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.89632221546836621e-01,1.02126362651632191e-13,0.00000000000000000e+00,0.00000000000000000e+00,1.79575138900851167e-01,-6.09356130479418306e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.94937084305464791e-14,-4.62644161904946838e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.48664110976559627e-01,-4.38107980585015211e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.46965328103929416e-01,1.47348266405196471e+00,1.55600487182275504e+00,1.33181903866500928e+00,3.84853710561079976e-01,2.24185833157745679e-01,2.24185833157745679e-01,2.24185833157745679e-01,2.24185833157745679e-01,2.24185833157745679e-01,2.24185833157745679e-01,2.47138387072507737e-01,1.85564539849373739e-01,7.78002435911377521e-01,5.53816602753631759e-01,1.60667877403334325e-01,1.17115116126167518e+00,1.68330551410697277e-01,9.99999999974077181e-01,9.99999999974077181e-01,1.33251320876095697e-11
2.99999999999999989e-01,4.46506149620697845e-01,-7.23859929099816339e-14,0.00000000000000000e+00,0.00000000000000000e+00,-4.22825842486938108e-01,1.43478390617933216e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.42243102197669375e-14,-2.25016129068641352e-01,0.00000000000000000e+00,0.00000000000000000e+00,-7.23057276798828585e-02,-2.13082472497664682e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.25016129068641324e-01,-1.42243777249256087e-14,0.00000000000000000e+00,0.00000000000000000e+00,2.13082472497664710e-01,-7.23057276798828585e-02,0.00000000000000000e+00,0.00000000000000000e+00,-7.23832262443471692e-14,-4.46506149620697845e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.43478390617933216e-01,-4.22825842486938108e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.46965328091117997e-01,1.47348266404555894e+00,1.55600487179563518e+00,1.33181903864395546e+00,3.84853710552837291e-01,2.24185833151679698e-01,2.24185833151679698e-01,2.24185833151679698e-01,2.24185833151679698e-01,2.24185833151679698e-01,2.24185833151679698e-01,2.47138387066130782e-01,1.85564539847519056e-01,7.78002435897817590e-01,5.53816602746137865e-01,1.60667877401157594e-01,1.17115116124279761e+00,1.68330551408803597e-01,9.99999999960546115e-01,9.99999999960546115e-01,1.98930177025108315e-11
3.49999999999999978e-01,4.27666853087920684e-01,-1.43638993874423844e-13,0.00000000000000000e+00,0.00000000000000000e+00,-4.04985681864091396e-01,1.37424651046318125e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.77900427959510486e-13,-2.59038728294982368e-01,0.00000000000000000e+00,0.00000000000000000e+00,-8.32384052832096238e-02,-2.45300694337765329e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.59038728294982368e-01,-1.77900495622692136e-13,0.00000000000000000e+00,0.00000000000000000e+00,2.45300694337765385e-01,-8.32384052832096377e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.43635105096199932e-13,-4.27666853087920684e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.37424651046318125e-01,-4.04985681864091396e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.46965328078470447e-01,1.47348266403923533e+00,1.55600487176892277e+00,1.33181903862323159e+00,3.84853710544761141e-01,2.24185833145691293e-01,2.24185833145691293e-01,2.24185833145691293e-01,2.24185833145691293e-01,2.24185833145691293e-01,2.24185833145691293e-01,2.47138387059844200e-01,1.85564539845686244e-01,7.78002435884461385e-01,5.53816602738770203e-01,1.60667877399069847e-01,1.17115116122416163e+00,1.68330551406926404e-01,9.99999999947227658e-01,9.99999999947227658e-01,2.64470977835176199e-11
4.00000000000000022e-01,4.06240246761339685e-01,-2.36734200535954061e-13,0.00000000000000000e+00,0.00000000000000000e+00,-3.84695428573392229e-01,1.30539516329149591e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.85937222673303438e-13,-2.91494188440540369e-01,0.00000000000000000e+00,0.00000000000000000e+00,-9.36675050671546133e-02,-2.76034889803995209e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.91494188440540369e-01,-3.85937291696561815e-13,0.00000000000000000e+00,0.00000000000000000e+00,2.76034889803995265e-01,-9.36675050671546272e-02,0.00000000000000000e+00,0.00000000000000000e+00,-2.36727762897724850e-13,-4.06240246761339741e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.30539516329149591e-01,-3.84695428573392229e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.46965328065194178e-01,1.47348266403259709e+00,1.55600487174095559e+00,1.33181903860155026e+00,3.84853710536356364e-01,2.24185833139405211e-01,2.24185833139405211e-01,2.24185833139405211e-01,2.24185833139405211e-01,2.24185833139405211e-01,2.24185833139405211e-01,2.47138387053255443e-01,1.85564539843759951e-01,7.78002435870477793e-01,5.53816602731072471e-01,1.60667877396951153e-01,1.17115116120459950e+00,1.68330551404946988e-01,9.99999999933293804e-01,9.99999999933293804e-01,3.33710719382676032e-11
4.50000000000000011e-01,3.82355957868622087e-01,-3.57133855970005086e-13,0.00000000000000000e+00,0.00000000000000000e+00,-3.62077835105024948e-01,1.22864640329469560e-01,0.00000000000000000e+00,0.00000000000000000e+00,6.33782659781843990e-13,-3.22186159638082337e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.03529932798918270e-01,-3.05099122379903442e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.22186159638082337e-01,-6.33782724765964745e-13,0.00000000000000000e+00,0.00000000000000000e+00,3.05099122379903498e-01,-1.03529932798918284e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.57124904191270191e-13,-3.82355957868622143e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.22864640329469560e-01,-3.62077835105025003e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.46965328052349897e-01,1.47348266402617489e+00,1.55600487171398605e+00,1.33181903858066231e+00,3.84853710528312409e-01,2.24185833133323659e-01,2.24185833133323659e-01,2.24185833133323659e-01,2.24185833133323659e-01,2.24185833133323659e-01,2.24185833133323659e-01,2.47138387046893504e-01,1.85564539841893417e-01,7.78002435856993024e-01,5.53816602723669282e-01,1.60667877394988723e-01,1.17115116118567353e+00,1.68330551403020667e-01,9.99999999919869653e-01,9.99999999919869764e-01,4.00997768661269988e-11
