t,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,S,M_eff,energy_mode,rho,p_0,p_1,p_2,p_3,p_5,p_6,p_7,p_mean,w,KE_L,PE_L,KE_H,PE_H,w_L,norm_hilbert,norm_krein,exact_error
0.00000000000000000e+00,5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.23606797749978964e-01,-4.47213595499957928e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.47213595499957928e-01,2.23606797749978964e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.47213595499957928e-01,1.00000000000000000e+00,-2.23606797749978981e+00,-2.23606797749978981e+00,-1.78885438199983171e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.55550625999975967e-01,1.14285714285714282e-01,-1.11803398874989490e+00,-1.11803398874989490e+00,-1.78885438199983171e+00,-4.47213595499957928e-01,0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00
5.00000000000000028e-02,4.96878253857955143e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.22210710433556724e-01,-4.44421420867113448e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.85231427909255864e-31,5.57853103315959359e-02,0.00000000000000000e+00,0.00000000000000000e+00,-4.98958984189479884e-02,-2.49479492094739942e-02,0.00000000000000000e+00,0.00000000000000000e+00,5.57853103315959359e-02,-2.79219910052322716e-31,0.00000000000000000e+00,0.00000000000000000e+00,2.49479492094739942e-02,-4.98958984189479884e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.03204405083272990e-30,-4.96878253857955143e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.44421420867113448e-01,2.22210710433556724e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.47213595510195072e-01,1.00000000000000000e+00,-2.23606797755097508e+00,-2.23606797755097508e+00,-1.78885438204078029e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.55550626005825732e-01,1.14285714285714296e-01,-1.11803398877548754e+00,-1.11803398877548754e+00,-1.78885438204078029e+00,-4.47213595510195072e-01,0.00000000000000000e+00,1.00000000002289080e+00,1.00000000002289080e+00,1.14592678803538020e-11
1.00000000000000006e-01,4.87551996609411786e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.18039881396878049e-01,-4.36079762793756098e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.92090403878579126e-30,1.10874030352113448e-01,0.00000000000000000e+00,0.00000000000000000e+00,-9.91687475226803727e-02,-4.95843737613401794e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.10874030352113434e-01,-8.06810974538978495e-31,0.00000000000000000e+00,0.00000000000000000e+00,4.95843737613401864e-02,-9.91687475226803589e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.64827824996132963e-30,-4.87551996609411786e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.36079762793756098e-01,2.18039881396878049e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.47213595507730433e-01,1.00000000000000000e+00,-2.23606797753865205e+00,-2.23606797753865205e+00,-1.78885438203092173e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.55550626004417414e-01,1.14285714285714296e-01,-1.11803398876932603e+00,-1.11803398876932603e+00,-1.78885438203092173e+00,-4.47213595507730433e-01,0.00000000000000000e+00,1.00000000001737988e+00,1.00000000001737988e+00,8.70970770213260969e-12
1.49999999999999994e-01,4.72137685092048009e-01,9.59602844822868644e-32,0.00000000000000000e+00,0.00000000000000000e+00,2.11146391721041438e-01,-4.22292783442082875e-01,0.00000000000000000e+00,0.00000000000000000e+00,7.16841550319277465e-30,1.64578268063819672e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.47203278003953553e-01,-7.36016390019767763e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.64578268063819672e-01,-1.16425004757688893e-30,0.00000000000000000e+00,0.00000000000000000e+00,7.36016390019767763e-02,-1.47203278003953553e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.56637918008819830e-30,-4.72137685092048009e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.22292783442082875e-01,2.11146391721041438e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.47213595505260408e-01,1.00000000000000000e+00,-2.23606797752630193e+00,-2.23606797752630193e+00,-1.78885438202104163e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.55550626003005932e-01,1.14285714285714282e-01,-1.11803398876315097e+00,-1.11803398876315097e+00,-1.78885438202104163e+00,-4.47213595505260408e-01,0.00000000000000000e+00,1.00000000001185652e+00,1.00000000001185652e+00,5.96351000829227390e-12
2.00000000000000011e-01,4.50827797576317524e-01,1.12976232423485021e-35,0.00000000000000000e+00,0.00000000000000000e+00,2.01616320305431973e-01,-4.03232640610863946e-01,0.00000000000000000e+00,0.00000000000000000e+00,7.86459112105336247e-30,2.16227419477949434e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.93399683420823060e-01,-9.66998417104115299e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.16227419477949434e-01,-2.75202878946536708e-30,0.00000000000000000e+00,0.00000000000000000e+00,9.66998417104115299e-02,-1.93399683420823060e-01,0.00000000000000000e+00,0.00000000000000000e+00,7.36754694367037410e-30,-4.50827797576317524e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.03232640610863946e-01,2.01616320305431973e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.47213595502831018e-01,1.00000000000000000e+00,-2.23606797751415520e+00,-2.23606797751415520e+00,-1.78885438201132407e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.55550626001617709e-01,1.14285714285714268e-01,-1.11803398875707760e+00,-1.11803398875707760e+00,-1.78885438201132407e+00,-4.47213595502831018e-01,0.00000000000000000e+00,1.00000000000642442e+00,1.00000000000642442e+00,3.28969850215180772e-12
2.50000000000000000e-01,4.23888430299246499e-01,7.33819192449050105e-31,0.00000000000000000e+00,0.00000000000000000e+00,1.89568669004959056e-01,-3.79137338009918112e-01,0.00000000000000000e+00,0.00000000000000000e+00,6.47064281534360734e-30,2.65176542436658169e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.37181109970690557e-01,-1.18590554985345278e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.65176542436658280e-01,-4.16306411774555509e-30,0.00000000000000000e+00,0.00000000000000000e+00,1.18590554985345278e-01,-2.37181109970690557e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.24202723389265400e-29,-4.23888430299246499e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.79137338009918112e-01,1.89568669004959056e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.47213595500351113e-01,1.00000000000000000e+00,-2.23606797750175534e+00,-2.23606797750175534e+00,-1.78885438200140445e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.55550626000200620e-01,1.14285714285714296e-01,-1.11803398875087767e+00,-1.11803398875087767e+00,-1.78885438200140445e+00,-4.47213595500351113e-01,0.00000000000000000e+00,1.00000000000087930e+00,1.00000000000087907e+00,8.89943779718411183e-13
2.99999999999999989e-01,3.91655974724973155e-01,5.82873797033950456e-31,0.00000000000000000e+00,0.00000000000000000e+00,1.75153876655795709e-01,-3.50307753311591419e-01,0.00000000000000000e+00,0.00000000000000000e+00,6.07999107477906801e-30,3.10814409995856744e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.78000859654890797e-01,-1.39000429827445399e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.10814409995856855e-01,-5.16601150842052448e-30,0.00000000000000000e+00,0.00000000000000000e+00,1.39000429827445399e-01,-2.78000859654890797e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.86039564914060489e-29,-3.91655974724973155e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.50307753311591419e-01,1.75153876655795709e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.47213595497885308e-01,1.00000000000000000e+00,-2.23606797748942654e+00,-2.23606797748942654e+00,-1.78885438199154123e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.55550625998791581e-01,1.14285714285714268e-01,-1.11803398874471327e+00,-1.11803398874471327e+00,-1.78885438199154123e+00,-4.47213595497885308e-01,0.00000000000000000e+00,9.99999999995365485e-01,9.99999999995365485e-01,2.46398048909423679e-12
3.49999999999999978e-01,3.54532917029612593e-01,2.49946031146434868e-30,0.00000000000000000e+00,0.00000000000000000e+00,1.58551940547901143e-01,-3.17103881095802287e-01,0.00000000000000000e+00,0.00000000000000000e+00,7.10865016208641953e-30,3.52571142806605065e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.15349216888142603e-01,-1.57674608444071301e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.52571142806605176e-01,-7.05157076899975112e-30,0.00000000000000000e+00,0.00000000000000000e+00,1.57674608444071301e-01,-3.15349216888142603e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.62660957579340743e-29,-3.54532917029612593e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.17103881095802287e-01,1.58551940547901143e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.47213595495453253e-01,1.00000000000000000e+00,-2.23606797747726604e+00,-2.23606797747726604e+00,-1.78885438198181301e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.55550625997401859e-01,1.14285714285714296e-01,-1.11803398873863302e+00,-1.11803398873863302e+00,-1.78885438198181301e+00,-4.47213595495453253e-01,0.00000000000000000e+00,9.99999999989927280e-01,9.99999999989927058e-01,5.11618510084650367e-12
4.00000000000000022e-01,3.12982812262562693e-01,2.33390447208543433e-30,0.00000000000000000e+00,0.00000000000000000e+00,1.39970168801628714e-01,-2.79940337603257483e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.25882824995590225e-30,3.89925325189725114e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.48759813309175215e-01,-1.74379906654587608e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.89925325189725225e-01,-8.91948159361615828e-30,0.00000000000000000e+00,0.00000000000000000e+00,1.74379906654587608e-01,-3.48759813309175215e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.47496611544816324e-29,-3.12982812262562693e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.79940337603257428e-01,1.39970168801628742e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.47213595492973459e-01,1.00000000000000000e+00,-2.23606797746486707e+00,-2.23606797746486707e+00,-1.78885438197189406e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.55550625995984881e-01,1.14285714285714324e-01,-1.11803398873243354e+00,-1.11803398873243354e+00,-1.78885438197189406e+00,-4.47213595492973459e-01,0.00000000000000000e+00,9.99999999984382271e-01,9.99999999984382271e-01,7.86810615026794824e-12
4.50000000000000011e-01,2.67524495941845852e-01,-3.46895846706865580e-31,0.00000000000000000e+00,0.00000000000000000e+00,1.19640591714466560e-01,-2.39281183428933147e-01,0.00000000000000000e+00,0.00000000000000000e+00,6.99726907482990889e-30,4.22410516045445938e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.77815451315353878e-01,-1.88907725657676939e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.22410516045446049e-01,-1.06631690477565028e-29,0.00000000000000000e+00,0.00000000000000000e+00,1.88907725657676939e-01,-3.77815451315353878e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.27992270532598533e-29,-2.67524495941845852e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.39281183428933120e-01,1.19640591714466574e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.47213595490510762e-01,1.00000000000000000e+00,-2.23606797745255426e+00,-2.23606797745255426e+00,-1.78885438196204305e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.55550625994577563e-01,1.14285714285714254e-01,-1.11803398872627713e+00,-1.11803398872627713e+00,-1.78885438196204305e+00,-4.47213595490510762e-01,0.00000000000000000e+00,9.99999999978875564e-01,9.99999999978875564e-01,1.06119911069663698e-11
