t,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,S,M_eff,energy_mode,rho,p_0,p_1,p_2,p_3,p_5,p_6,p_7,p_mean,w,KE_L,PE_L,KE_H,PE_H,w_L,norm_hilbert,norm_krein,exact_error
0.00000000000000000e+00,5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.23606797749978964e-01,4.47213595499957928e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.47213595499957928e-01,-2.23606797749978964e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.47213595499957928e-01,1.00000000000000000e+00,2.23606797749978981e+00,2.23606797749978981e+00,1.78885438199983171e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.55550625999975967e-01,1.14285714285714282e-01,1.11803398874989490e+00,1.11803398874989490e+00,1.78885438199983171e+00,4.47213595499957928e-01,0.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00
5.00000000000000028e-02,4.96878253857954533e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.22210710433556557e-01,4.44421420867113115e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.04814353538150113e-33,5.57853103315950824e-02,0.00000000000000000e+00,0.00000000000000000e+00,4.98958984189471905e-02,-2.49479492094735952e-02,0.00000000000000000e+00,0.00000000000000000e+00,-5.57853103315950824e-02,6.67841897713182053e-31,0.00000000000000000e+00,0.00000000000000000e+00,-2.49479492094735952e-02,-4.98958984189471905e-02,0.00000000000000000e+00,0.00000000000000000e+00,5.10537424401467213e-31,4.96878253857954533e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.44421420867113115e-01,-2.22210710433556557e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.47213595510194017e-01,1.00000000000000000e+00,2.23606797755097020e+00,2.23606797755097020e+00,1.78885438204077607e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.55550626005825177e-01,1.14285714285714296e-01,1.11803398877548510e+00,1.11803398877548510e+00,1.78885438204077607e+00,4.47213595510194017e-01,0.00000000000000000e+00,1.00000000002288858e+00,-1.00000000002288858e+00,1.14580180645375989e-11
1.00000000000000006e-01,4.87551996609411842e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.18039881396878216e-01,4.36079762793756431e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.82436205000440872e-30,1.10874030352112671e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.91687475226795817e-02,-4.95843737613397909e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.10874030352112671e-01,-1.23158491702572374e-30,0.00000000000000000e+00,0.00000000000000000e+00,-4.95843737613397909e-02,-9.91687475226795817e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.23265534173788192e-31,4.87551996609411842e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.36079762793756431e-01,-2.18039881396878216e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.47213595507730488e-01,1.00000000000000000e+00,2.23606797753865205e+00,2.23606797753865205e+00,1.78885438203092195e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.55550626004417414e-01,1.14285714285714296e-01,1.11803398876932603e+00,1.11803398876932603e+00,1.78885438203092195e+00,4.47213595507730488e-01,0.00000000000000000e+00,1.00000000001737988e+00,-1.00000000001737988e+00,8.70964527790655864e-12
1.49999999999999994e-01,4.72137685092049120e-01,1.45601363516602947e-31,0.00000000000000000e+00,0.00000000000000000e+00,2.11146391721042076e-01,4.22292783442084152e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.00384358501455058e-29,1.64578268063819116e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.47203278003953025e-01,-7.36016390019765127e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.64578268063819116e-01,-1.79590903765819491e-30,0.00000000000000000e+00,0.00000000000000000e+00,-7.36016390019765127e-02,-1.47203278003953025e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.47545953898535960e-30,4.72137685092049120e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.22292783442084152e-01,-2.11146391721042076e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.47213595505262185e-01,1.00000000000000000e+00,2.23606797752631081e+00,2.23606797752631081e+00,1.78885438202104874e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.55550626003006986e-01,1.14285714285714296e-01,1.11803398876315541e+00,1.11803398876315541e+00,1.78885438202104874e+00,4.47213595505262185e-01,0.00000000000000000e+00,1.00000000001186073e+00,-1.00000000001186073e+00,5.96530996657204025e-12
2.00000000000000011e-01,4.50827797576319023e-01,9.94089125237435458e-31,0.00000000000000000e+00,0.00000000000000000e+00,2.01616320305432861e-01,4.03232640610865722e-01,0.00000000000000000e+00,0.00000000000000000e+00,-8.15145713628474958e-30,2.16227419477949379e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.93399683420822865e-01,-9.66998417104114327e-02,0.00000000000000000e+00,0.00000000000000000e+00,-2.16227419477949406e-01,7.67098654205221864e-31,0.00000000000000000e+00,0.00000000000000000e+00,-9.66998417104114327e-02,-1.93399683420822865e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.86030987528844165e-31,4.50827797576319023e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.03232640610865722e-01,-2.01616320305432861e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.47213595502833683e-01,1.00000000000000000e+00,2.23606797751416853e+00,2.23606797751416853e+00,1.78885438201133473e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.55550626001619263e-01,1.14285714285714282e-01,1.11803398875708426e+00,1.11803398875708426e+00,1.78885438201133473e+00,4.47213595502833683e-01,0.00000000000000000e+00,1.00000000000643041e+00,-1.00000000000643041e+00,3.29228259029211833e-12
2.50000000000000000e-01,4.23888430299248664e-01,1.75724161313486322e-30,0.00000000000000000e+00,0.00000000000000000e+00,1.89568669004960250e-01,3.79137338009920499e-01,0.00000000000000000e+00,0.00000000000000000e+00,-5.23481014949859947e-30,2.65176542436658780e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.37181109970690890e-01,-1.18590554985345445e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.65176542436658835e-01,1.52023554814829450e-30,0.00000000000000000e+00,0.00000000000000000e+00,-1.18590554985345445e-01,-2.37181109970690890e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.18467400789690132e-30,4.23888430299248664e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.79137338009920499e-01,-1.89568669004960250e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.47213595500355221e-01,1.00000000000000000e+00,2.23606797750177622e+00,2.23606797750177622e+00,1.78885438200142088e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.55550626000203007e-01,1.14285714285714296e-01,1.11803398875088811e+00,1.11803398875088811e+00,1.78885438200142088e+00,4.47213595500355221e-01,0.00000000000000000e+00,1.00000000000088840e+00,-1.00000000000088840e+00,8.90706324414427664e-13
2.99999999999999989e-01,3.91655974724975875e-01,2.50702340487587985e-30,0.00000000000000000e+00,0.00000000000000000e+00,1.75153876655797097e-01,3.50307753311594194e-01,0.00000000000000000e+00,0.00000000000000000e+00,-5.22077988638809643e-30,3.10814409995858520e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.78000859654892185e-01,-1.39000429827446093e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.10814409995858576e-01,2.13700204024716005e-30,0.00000000000000000e+00,0.00000000000000000e+00,-1.39000429827446093e-01,-2.78000859654892185e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.85845994159638784e-30,3.91655974724975875e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.50307753311594194e-01,-1.75153876655797097e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.47213595497891192e-01,1.00000000000000000e+00,2.23606797748945585e+00,2.23606797748945585e+00,1.78885438199156477e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.55550625998794967e-01,1.14285714285714296e-01,1.11803398874472792e+00,1.11803398874472792e+00,1.78885438199156477e+00,4.47213595497891192e-01,0.00000000000000000e+00,9.99999999995378808e-01,-9.99999999995378586e-01,2.45740986256832242e-12
3.49999999999999978e-01,3.54532917029615147e-01,3.19428237864961059e-30,0.00000000000000000e+00,0.00000000000000000e+00,1.58551940547902392e-01,3.17103881095804785e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.38166921976297481e-30,3.52571142806607840e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.15349216888144657e-01,-1.57674608444072328e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.52571142806607840e-01,4.75626434123678036e-30,0.00000000000000000e+00,0.00000000000000000e+00,-1.57674608444072328e-01,-3.15349216888144657e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.57568330505363827e-30,3.54532917029615147e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.17103881095804785e-01,-1.58551940547902392e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.47213595495459804e-01,1.00000000000000000e+00,2.23606797747729891e+00,2.23606797747729891e+00,1.78885438198183921e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.55550625997405578e-01,1.14285714285714282e-01,1.11803398873864945e+00,1.11803398873864945e+00,1.78885438198183921e+00,4.47213595495459804e-01,0.00000000000000000e+00,9.99999999989941823e-01,-9.99999999989941823e-01,5.10893383175557832e-12
4.00000000000000022e-01,3.12982812262565024e-01,7.23977881243876386e-30,0.00000000000000000e+00,0.00000000000000000e+00,1.39970168801629963e-01,2.79940337603259926e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.46744809438123106e-31,3.89925325189728889e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.48759813309178268e-01,-1.74379906654589106e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.89925325189728889e-01,6.34302664654131223e-30,0.00000000000000000e+00,0.00000000000000000e+00,-1.74379906654589134e-01,-3.48759813309178213e-01,0.00000000000000000e+00,0.00000000000000000e+00,-6.22655369851146404e-30,3.12982812262565024e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.79940337603259926e-01,-1.39970168801629963e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.47213595492981231e-01,1.00000000000000000e+00,2.23606797746490615e+00,2.23606797746490615e+00,1.78885438197192492e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.55550625995989267e-01,1.14285714285714282e-01,1.11803398873245308e+00,1.11803398873245308e+00,1.78885438197192492e+00,4.47213595492981231e-01,0.00000000000000000e+00,9.99999999984399701e-01,-9.99999999984399701e-01,7.85950351812880068e-12
4.50000000000000011e-01,2.67524495941848239e-01,7.47006982495787591e-30,0.00000000000000000e+00,0.00000000000000000e+00,1.19640591714467837e-01,2.39281183428935645e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.67812217180038472e-30,4.22410516045451323e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.77815451315358375e-01,-1.88907725657679132e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.22410516045451379e-01,-6.26831767473297571e-22,0.00000000000000000e+00,0.00000000000000000e+00,-1.88907725657679187e-01,-3.77815451315358264e-01,0.00000000000000000e+00,0.00000000000000000e+00,-5.82144021734805213e-30,2.67524495941848239e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.39281183428935673e-01,-1.19640591714467823e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.47213595490521088e-01,1.00000000000000000e+00,2.23606797745260533e+00,2.23606797745260533e+00,1.78885438196208457e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.55550625994583502e-01,1.14285714285714296e-01,1.11803398872630266e+00,1.11803398872630266e+00,1.78885438196208457e+00,4.47213595490521088e-01,0.00000000000000000e+00,9.99999999978898657e-01,-9.99999999978898546e-01,1.06006456727686573e-11
