t,ln_b,ln_a,ln_c,H_b,H_a,H_c,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,V,Theta,s_u,S,M_eff,energy_mode,rho,p,w,KE_L,PE_L,KE_H,PE_H,constraint_residual,constraint_relative,bound,w_eff,norm_hilbert,norm_krein
-4.94851856221109887e-01,3.78405655517966566e-01,-3.64194419716394835e+00,1.18247562605434919e+00,-1.19387616866477856e+02,9.77245605641767611e+02,-3.38714261368126358e+02,4.40019536581853554e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40019536581853554e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.37450642084393565e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.37450642084393565e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.37450642084393565e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.37450642084393565e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40019536581853554e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40019536581853554e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.11881912837862935e-04,1.79620641595444567e+03,9.99999999999999778e-01,1.44755585280997047e+03,1.00000000000000000e+00,9.99999999999999778e-01,1.44755585280997047e+03,0.00000000000000000e+00,0.00000000000000000e+00,7.23777926404985237e+02,7.23777926404985237e+02,0.00000000000000000e+00,1.44755585280997047e+03,7.41686176297662314e-05,1.11346774879419153e-11,3.58435455771859619e+05,-3.87323444046986265e-01,9.99999999999999778e-01,9.99999999999999778e-01
-4.94823312502002455e-01,3.75082467840620160e-01,-3.61474141959477757e+00,1.17304724532769922e+00,-1.13558463177919705e+02,9.29591322979863662e+02,-3.22188420409475839e+02,4.40026314127030582e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40026314127030582e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.37438082193610539e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.37438082193610539e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.37438082193610539e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.37438082193610539e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40026314127030582e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40026314127030582e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.58635101006843947e-04,1.70865024453324395e+03,9.99999999999999778e-01,1.37695771687644060e+03,1.00000000000000000e+00,9.99999999999999778e-01,1.37695771687644060e+03,0.00000000000000000e+00,0.00000000000000000e+00,6.88478858438220300e+02,6.88478858438220300e+02,0.00000000000000000e+00,1.37695771687644060e+03,6.71052514462644467e-05,1.11337434584840189e-11,3.24311659431401582e+05,-3.87311319037109247e-01,9.99999999999999778e-01,9.99999999999999778e-01
-4.94793306141028288e-01,3.71759568176080246e-01,-3.58753919410820954e+00,1.16361932063293771e+00,-1.08013600880652064e+02,8.84261167180948519e+02,-3.06468554492971634e+02,4.40033438581737046e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40033438581737046e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.37424878498300213e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.37424878498300213e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.37424878498300213e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.37424878498300213e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40033438581737046e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40033438581737046e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.00778537639199003e-03,1.62536423718327842e+03,9.99999999999999889e-01,1.30980269303547652e+03,1.00000000000000000e+00,9.99999999999999889e-01,1.30980269303547652e+03,0.00000000000000000e+00,0.00000000000000000e+00,6.54901346517738261e+02,6.54901346517738261e+02,0.00000000000000000e+00,1.30980269303547652e+03,6.07156896421656711e-05,1.11330142659766135e-11,2.93435862775669375e+05,-3.87298572899757998e-01,9.99999999999999889e-01,9.99999999999999889e-01
-4.94761762233719260e-01,3.68436971264477220e-01,-3.56033754895311239e+00,1.15419187530799494e+00,-1.02739164925770936e+02,8.41141789203609619e+02,-2.91515355751646553e+02,4.40040927671175419e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40040927671175419e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.37410998006181984e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.37410998006181984e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.37410998006181984e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.37410998006181984e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40040927671175419e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40040927671175419e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.05945564028352059e-03,1.54614013543011788e+03,1.00000000000000000e+00,1.24592285869255966e+03,1.00000000000000000e+00,1.00000000000000000e+00,1.24592285869255966e+03,0.00000000000000000e+00,0.00000000000000000e+00,6.22961429346279829e+02,6.22961429346279829e+02,0.00000000000000000e+00,1.24592285869255966e+03,5.49290857634332497e-05,1.11311802635462724e-11,2.65498944036529225e+05,-3.87285173845264730e-01,1.00000000000000000e+00,1.00000000000000000e+00
-4.94728602044287646e-01,3.65114692599110335e-01,-3.53313651382251592e+00,1.14476493388343581e+00,-9.77219664724147918e+01,8.00125368113400782e+02,-2.77291433389577435e+02,4.40048800022906972e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40048800022906972e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.37396406035137092e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.37396406035137092e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.37396406035137092e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.37396406035137092e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40048800022906972e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40048800022906972e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.11377509525442502e-03,1.47077983769905518e+03,1.00000000000000022e+00,1.18515848093951718e+03,1.00000000000000000e+00,1.00000000000000022e+00,1.18515848093951718e+03,0.00000000000000000e+00,0.00000000000000000e+00,5.92579240469758588e+02,5.92579240469758588e+02,0.00000000000000000e+00,1.18515848093951718e+03,4.96950779051985592e-05,1.11295885162940278e-11,2.40221199924364802e+05,-3.87271088459976043e-01,1.00000000000000022e+00,1.00000000000000022e+00
-4.94693742810147052e-01,3.61792748464684955e-01,-3.50593611992632370e+00,1.13533852214288689e+00,-9.29494599075206338e+01,7.61109341463946862e+02,-2.63761220181813712e+02,4.40057075212441196e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40057075212441196e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.37381066126748863e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.37381066126748863e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.37381066126748863e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.37381066126748863e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40057075212441196e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40057075212441196e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.17087956823551105e-03,1.39909490393887904e+03,1.00000000000000022e+00,1.12735761713667125e+03,1.00000000000000000e+00,1.00000000000000022e+00,1.12735761713667125e+03,0.00000000000000000e+00,0.00000000000000000e+00,5.63678808568335626e+02,5.63678808568335626e+02,0.00000000000000000e+00,1.12735761713667125e+03,4.49604140158044174e-05,1.11281453387793517e-11,2.17349546002419200e+05,-3.87256281623607368e-01,1.00000000000000022e+00,1.00000000000000022e+00
-4.94657097536510493e-01,3.58471155977566847e-01,-3.47873640006841134e+00,1.12591266718676253e+00,-8.84097114753334949e+01,7.23996148838036561e+02,-2.50890883538007103e+02,4.40065773811092575e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40065773811092575e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.37364939955428955e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.37364939955428955e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.37364939955428955e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.37364939955428955e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40065773811092575e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40065773811092575e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.23091185015369755e-03,1.33090608442475468e+03,1.00000000000000044e+00,1.07237573497661833e+03,1.00000000000000000e+00,1.00000000000000044e+00,1.07237573497661833e+03,0.00000000000000000e+00,0.00000000000000000e+00,5.36187867488309166e+02,5.36187867488309166e+02,0.00000000000000000e+00,1.07237573497661833e+03,4.06781819037860259e-05,1.11270653400280892e-11,1.96654983491954132e+05,-3.87240716422425524e-01,1.00000000000000044e+00,1.00000000000000044e+00
-4.94618574780568310e-01,3.55149933128074469e-01,-3.45153738872766436e+00,1.11648739749922199e+00,-8.40913694368749702e+01,6.88692987896367754e+02,-2.38648240903523117e+02,4.40074917436212076e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40074917436212076e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.37347987232905011e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.37347987232905011e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.37347987232905011e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.37347987232905011e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40074917436212076e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40074917436212076e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.29402205298386982e-03,1.26604287154165877e+03,1.00000000000000044e+00,1.02007535107784952e+03,1.00000000000000000e+00,1.00000000000000044e+00,1.02007535107784952e+03,0.00000000000000000e+00,0.00000000000000000e+00,5.10037675538924759e+02,5.10037675538924759e+02,0.00000000000000000e+00,1.02007535107784952e+03,3.68035207429784350e-05,1.11258946259155021e-11,1.77930307146413688e+05,-3.87224354058052889e-01,1.00000000000000044e+00,1.00000000000000044e+00
-4.94578078424723844e-01,3.51829098824957720e-01,-3.42433912214354175e+00,1.10706274301865748e+00,-7.99836356846416408e+01,6.55111582323027619e+02,-2.27002679286175123e+02,4.40084528803907860e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40084528803907860e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.37330165607835181e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.37330165607835181e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.37330165607835181e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.37330165607835181e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40084528803907860e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40084528803907860e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.36036798510612072e-03,1.20434307342591592e+03,1.00000000000000022e+00,9.70325687205163604e+02,1.00000000000000000e+00,1.00000000000000022e+00,9.70325687205163604e+02,0.00000000000000000e+00,0.00000000000000000e+00,4.85162843602581802e+02,4.85162843602581802e+02,0.00000000000000000e+00,9.70325687205163604e+02,3.32938732299226103e-05,1.11233657065383963e-11,1.60988031253227789e+05,-3.87207153751675026e-01,1.00000000000000022e+00,1.00000000000000022e+00
-4.94535507438336575e-01,3.48508672942125342e-01,-3.39714163840602756e+00,1.09763873521175537e+00,-7.60762387427527926e+01,6.23167961097230886e+02,-2.15925078710749204e+02,4.40094631784374024e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40094631784374024e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.37311430560300435e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.37311430560300435e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.37311430560300435e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.37311430560300435e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40094631784374024e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.40094631784374024e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.43011554590745230e-03,1.14565240841669220e+03,1.00000000000000022e+00,9.23002343256411336e+02,1.00000000000000000e+00,1.00000000000000022e+00,9.23002343256411336e+02,0.00000000000000000e+00,0.00000000000000000e+00,4.61501171628205668e+02,4.61501171628205668e+02,0.00000000000000000e+00,9.23002343256411336e+02,3.01204498782681185e-05,1.11214011578074142e-11,1.45658513010214956e+05,-3.87189072643429277e-01,1.00000000000000022e+00,1.00000000000000022e+00
