t,ln_b,ln_a,ln_c,H_b,H_a,H_c,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,V,Theta,s_u,S,M_eff,energy_mode,rho,p,w,KE_L,PE_L,KE_H,PE_H,constraint_residual,constraint_relative,bound,w_eff,norm_hilbert,norm_krein
-4.61925242461523278e-01,2.05214900840892112e-01,-3.30999525254133342e+00,9.08256931517338217e-01,-7.42958435137626054e+01,1.02233738378790861e+03,-2.93622488974097735e+02,-3.35387625850189386e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.35387625850189386e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.70830339105096607e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.70830339105096607e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.70830339105096607e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.70830339105096607e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.35387625850189386e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.35387625850189386e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.11881908807106413e-04,2.11184884092767015e+03,9.99999999896910241e-01,9.65037239372878616e+02,1.09763322656008950e+03,1.09763322644693471e+03,5.30110988021433586e+05,5.29145950782060623e+05,9.98179556241656440e-01,5.29628469401747105e+05,4.82518619686481543e+02,0.00000000000000000e+00,5.30110988021433470e+05,7.78153305873274803e-04,1.12462625909634042e-10,2.64162372013759799e+05,3.75884075952545471e-01,9.99999999896910241e-01,9.99999999896910241e-01
-4.61900964792211155e-01,2.03455934154750134e-01,-3.28579056511635681e+00,9.01305234008972556e-01,-7.06686778821540287e+01,9.72481112611199364e+02,-2.79298635980825566e+02,-3.44910405229468975e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.44910405229468975e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.61990072155160769e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.61990072155160769e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.61990072155160769e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.61990072155160769e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.44910405229468975e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.44910405229468975e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.58635096974070375e-04,2.00887875200896724e+03,9.99999999897819958e-01,9.17971815018873940e+02,1.04414978979417492e+03,1.04414978968748369e+03,4.79709024751976598e+05,4.78791052936957800e+05,9.98086398696598542e-01,4.79250038844467199e+05,4.58985907509399112e+02,0.00000000000000000e+00,4.79709024751976656e+05,6.98371324688196182e-04,1.11546847360099678e-10,2.39017247612603940e+05,3.75832482834206782e-01,9.99999999897819958e-01,9.99999999897819958e-01
-4.61875442718971907e-01,2.01697085616101085e-01,-3.26158610420309625e+00,8.94353723579941584e-01,-6.72184112758479984e+01,9.25056360707406384e+02,-2.65673365672499699e+02,-3.54200572207138853e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.54200572207138853e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.52905022099122723e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.52905022099122723e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.52905022099122723e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.52905022099122723e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.54200572207138853e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.54200572207138853e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.00778537235719258e-03,1.91093057382887173e+03,9.99999999898587566e-01,8.73201798764405794e+02,9.93274771323188475e+02,9.93274771222457957e+02,4.34101259392738109e+05,4.33228057593973819e+05,9.97988483608672761e-01,4.33664658493355964e+05,4.36600899382145144e+02,0.00000000000000000e+00,4.34101259392738226e+05,6.27530971542000771e-04,1.10772978428138419e-10,2.16265327752771322e+05,3.75778255848142839e-01,9.99999999898587566e-01,9.99999999898587566e-01
-4.61848612475468101e-01,1.99938361276899929e-01,-3.23738188139813277e+00,8.87402409811907433e-01,-6.39364162281397626e+01,8.79944541452766430e+02,-2.52712607764321803e+02,-3.63251843705726662e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.63251843705726662e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.43581282987288905e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.43581282987288905e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.43581282987288905e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.43581282987288905e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.63251843705726662e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.63251843705726662e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.05945563624603822e-03,1.81775938483719392e+03,9.99999999899204628e-01,8.30615242210044698e+02,9.44880957056869079e+02,9.44880956961629636e+02,3.92831570123830286e+05,3.92000954881620070e+05,9.97885569018934993e-01,3.92416262502725178e+05,4.15307621105108410e+02,0.00000000000000000e+00,3.92831570123830112e+05,5.64623682294040918e-04,1.10150237486584048e-10,1.95678852818474756e+05,3.75721261144920771e-01,9.99999999899204628e-01,9.99999999899204628e-01
-4.61820407029735536e-01,1.98179767498865733e-01,-3.21317790889168942e+00,8.80451302776977807e-01,-6.08144860389346107e+01,8.37032851760786798e+02,-2.40383953598879685e+02,-3.72058095962943980e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.72058095962943980e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.34025108642276636e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.34025108642276636e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.34025108642276636e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.34025108642276636e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.72058095962943980e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.72058095962943980e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.11377509121460727e-03,1.72913220844678654e+03,9.99999999900223813e-01,7.90105656746667592e+02,8.98847337212122397e+02,8.98847337122438717e+02,3.55487235669861897e+05,3.54697130013115355e+05,9.97777400768672607e-01,3.55092182841488626e+05,3.95052828373271041e+02,0.00000000000000000e+00,3.55487235669862013e+05,5.06143900565803051e-04,1.09125926610758967e-10,1.77051738167951582e+05,3.75661358137248991e-01,9.99999999900223813e-01,9.99999999900223813e-01
-4.61790755917144302e-01,1.96421310969355917e-01,-3.18897419949862426e+00,8.73500413062952896e-01,-5.78448142542477655e+01,7.96213990022985172e+02,-2.28656575109695154e+02,-3.80613368536541929e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.80613368536541929e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.24242908429205279e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.24242908429205279e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.24242908429205279e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.24242908429205279e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.80613368536541929e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.80613368536541929e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.17087956419359668e-03,1.64482743048562224e+03,9.99999999901453940e-01,7.51571747278166413e+02,8.55058803725189136e+02,8.55058803640926499e+02,3.21694805444298720e+05,3.20943233697020507e+05,9.97663711895377947e-01,3.21319019570659613e+05,3.75785873639106285e+02,0.00000000000000000e+00,3.21694805444298661e+05,4.52787673566490412e-04,1.07888716256704385e-10,1.60197511464369833e+05,3.75598399167536012e-01,9.99999999901453940e-01,9.99999999901453940e-01
-4.61759585064836775e-01,1.94662998717958086e-01,-3.16477076668975821e+00,8.66549751799502221e-01,-5.50199751457276918e+01,7.57385887795191252e+02,-2.17501147733912234e+02,-3.88911868192813148e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.88911868192813148e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.14241242923905484e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.14241242923905484e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.14241242923905484e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.14241242923905484e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.88911868192813148e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.88911868192813148e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.23091184610962085e-03,1.56463424503810961e+03,9.99999999902340120e-01,7.14917158930071309e+02,8.13405862420535641e+02,8.13405862341098555e+02,2.91116362688841939e+05,2.90401445529911842e+05,9.97544222000004033e-01,2.90758904109376890e+05,3.57458579465048388e+02,0.00000000000000000e+00,2.91116362688841939e+05,4.06308390665799379e-04,1.06995278665252440e-10,1.44947446274361224e+05,3.75532229159770914e-01,9.99999999902340120e-01,9.99999999902340120e-01
-4.61726816607210322e-01,1.92904838133973078e-01,-3.14056762462544325e+00,8.59599330685857144e-01,-5.23329051421351608e+01,7.20451454568706595e+02,-2.06889777084304228e+02,-3.96947972675326666e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.96947972675326666e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.04026819482579425e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.04026819482579425e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.04026819482579425e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.04026819482579425e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.96947972675326666e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.96947972675326666e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.29402204893677318e-03,1.48835212731107185e+03,9.99999999902979386e-01,6.80050236112800121e+02,7.73784359219091129e+02,7.73784359144018026e+02,2.63446143211723596e+05,2.62766092975610925e+05,9.97418636584229135e-01,2.63106118093667261e+05,3.40025118056335486e+02,0.00000000000000000e+00,2.63446143211723713e+05,3.65427869837731123e-04,1.06350069202353226e-10,1.31148873277450330e+05,3.75462685255040007e-01,9.99999999902979386e-01,9.99999999902979386e-01
-4.61692368691989319e-01,1.91146836984772583e-01,-3.11636478819064022e+00,8.52649162019856299e-01,-4.97768851669107875e+01,6.85318334995864006e+02,-1.96795929199466400e+02,-4.04716234351015114e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.04716234351015114e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.93606487715485642e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.93606487715485642e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.93606487715485642e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.93606487715485642e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.04716234351015114e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.04716234351015114e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.36036798105510425e-03,1.41579033222228213e+03,9.99999999903557590e-01,6.46883793334066013e+02,7.36095219697802349e+02,7.36095219626811513e+02,2.38407475883260573e+05,2.37760592089926504e+05,9.97286646356464024e-01,2.38084033986593538e+05,3.23441896667034598e+02,0.00000000000000000e+00,2.38407475883260573e+05,3.28842579619958997e-04,1.05767279377865823e-10,1.18663652203048870e+05,3.75389596430011130e-01,9.99999999903557590e-01,9.99999999903557590e-01
-4.61656155276410629e-01,1.89389003435103509e-01,-3.09216227303195623e+00,8.45699258728516590e-01,-4.73455238368496580e+01,6.51898677951708919e+02,-1.87194364194562013e+02,-4.12211383731040604e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.12211383731040604e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.82987234868910198e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.82987234868910198e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.82987234868910198e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.82987234868910198e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.12211383731040604e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.12211383731040604e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.43011554185375330e-03,1.34676741743459093e+03,9.99999999904843784e-01,6.15334897189903586e+02,7.00244201352163259e+02,7.00244201285530721e+02,2.15750014272024739e+05,2.15134679374834814e+05,9.97147926505283611e-01,2.15442346823429776e+05,3.07667448594962480e+02,0.00000000000000000e+00,2.15750014272024709e+05,2.93913180939853191e-04,1.04474285477625034e-10,1.07366789173830533e+05,3.75312783097669911e-01,9.99999999904843784e-01,9.99999999904843784e-01
