t,ln_b,ln_a,ln_c,H_b,H_a,H_c,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,V,Theta,s_u,S,M_eff,energy_mode,rho,p,w,KE_L,PE_L,KE_H,PE_H,constraint_residual,constraint_relative,bound,w_eff,norm_hilbert,norm_krein
-6.25490693657532626e-01,1.42609885370052858e+00,-5.65002281666653161e+00,2.84132318777394088e+00,-2.51509081208901307e+02,8.45124113825807513e+02,-4.70835720215842400e+02,1.58714797059851143e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.58714797059851143e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.74140921201874954e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.74140921201874954e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.74140921201874954e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.74140921201874954e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.58714797059851143e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.58714797059851143e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.11881935483162633e-04,8.71356099620993973e+02,9.99999999855649246e-01,2.41259302775501692e+03,-8.76306555547278890e+02,-8.76306555420783411e+02,-1.05587924653081247e+06,-1.05829183955856715e+06,1.00228491376801032e+00,-1.05708554304468981e+06,1.20629651387734339e+03,0.00000000000000000e+00,-1.05587924653081223e+06,-1.06264580972492695e-03,1.25938706724218517e-10,7.28315642098766752e+05,-3.11855247354252185e-01,9.99999999855649246e-01,9.99999999855649246e-01
-6.25431858668594964e-01,1.41166883697032497e+00,-5.60153195058831077e+00,2.81430899448205141e+00,-2.39220334493604526e+02,8.03929426808277981e+02,-4.47850286753980413e+02,1.34685480667082830e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.34685480667082830e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.81518246031717501e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.81518246031717501e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.81518246031717501e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.81518246031717501e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.34685480667082830e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.34685480667082830e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.58635123642290741e-04,8.29017085669288008e+02,9.99999999855939015e-01,2.29492947360854623e+03,-8.33519808584925954e+02,-8.33519808464848325e+02,-9.55287123042246210e+05,-9.57582052515854477e+05,1.00240234524076888e+00,-9.56434587779050344e+05,1.14746473680413328e+03,0.00000000000000000e+00,-9.55287123042245978e+05,-9.60433506406843662e-04,1.25799811067475108e-10,6.58936004551233025e+05,-3.11703365480970884e-01,9.99999999855939015e-01,9.99999999855939015e-01
-6.25370019196878735e-01,1.39724302281324486e+00,-5.55304913947494860e+00,2.78730145527088347e+00,-2.27530921449694745e+02,7.64743824123790773e+02,-4.25985870564391291e+02,1.10322016770575237e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.10322016770575237e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.87677201209688160e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.87677201209688160e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.87677201209688160e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.87677201209688160e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.10322016770575237e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.10322016770575237e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.00778539901756419e-03,7.88742939228503928e+02,9.99999999856167054e-01,2.18300443906830697e+03,-7.92819796024838865e+02,-7.92819795910805169e+02,-8.64273064832192147e+05,-8.66456069271260640e+05,1.00252582722740802e+00,-8.65364567051726393e+05,1.09150221953424625e+03,0.00000000000000000e+00,-8.64273064832192380e+05,-8.68243863806128502e-04,1.25688933731577332e-10,5.96162204240765190e+05,-3.11543701727816313e-01,9.99999999856167054e-01,9.99999999856167054e-01
-6.25305022458753412e-01,1.38282162404993469e+00,-5.50457479123116045e+00,2.76030090710615328e+00,-2.16411612447672837e+02,7.27469321339483713e+02,-4.05187799205103659e+02,8.56865049455690503e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-8.56865049455690503e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.92603108835390158e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.92603108835390158e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.92603108835390158e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.92603108835390158e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-8.56865049455690503e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-8.56865049455690503e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.05945566289843661e-03,7.50432953955467156e+02,9.99999999856313049e-01,2.07653805319721914e+03,-7.54104746617170576e+02,-7.54104746508815651e+02,-7.81925332197002368e+05,-7.84001870250199456e+05,1.00265567307732906e+00,-7.82963601223600912e+05,1.03826902659854386e+03,0.00000000000000000e+00,-7.81925332197002252e+05,-7.85141251981258392e-04,1.25616423371800145e-10,5.39365442305946141e+05,-3.11375857639425102e-01,9.99999999856313049e-01,9.99999999856313049e-01
-6.25236707968383487e-01,1.36840486413713891e+00,-5.45610933414744714e+00,2.73330770379405630e+00,-2.05834603415234255e+02,6.92012712769400082e+02,-3.85404066652160679e+02,6.08416794264938290e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-6.08416794264938290e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96284484956625582e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96284484956625582e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.96284484956625582e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.96284484956625582e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-6.08416794264938290e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-6.08416794264938290e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.11377511785860006e-03,7.13991334936484236e+02,9.99999999856397537e-01,1.97526409452736311e+03,-7.17277852555404820e+02,-7.17277852452401930e+02,-7.07418961928927922e+05,-7.09394226023455267e+05,1.00279221253716666e+00,-7.08406593976191594e+05,9.87632047263672575e+02,0.00000000000000000e+00,-7.07418961928927922e+05,-7.10165244527161121e-04,1.25574674085727353e-10,4.87976766318845912e+05,-3.11199414383052098e-01,9.99999999856397537e-01,9.99999999856397537e-01
-6.25164907156419702e-01,1.35399297768469751e+00,-5.40765321789124087e+00,2.70632221679988572e+00,-1.95773446312667431e+02,6.58285338412059104e+02,-3.66585203257612193e+02,3.58507435881786074e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.58507435881786074e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.98713067954201783e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.98713067954201783e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.98713067954201783e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.98713067954201783e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.58507435881786074e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.58507435881786074e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.17087959082910428e-03,6.79326959150673474e+02,9.99999999856470478e-01,1.87892932536846683e+03,-6.82247027406715233e+02,-6.82247027308792667e+02,-6.40007508807286387e+05,-6.41886438132654876e+05,1.00293579262666777e+00,-6.40946973469970631e+05,9.39464662684244104e+02,0.00000000000000000e+00,-6.40007508807286387e+05,-6.42388826236128807e-04,1.25540943326166332e-10,4.41481374738635845e+05,-3.11013931708639002e-01,9.99999999856470478e-01,9.99999999856470478e-01
-6.25089442970535258e-01,1.33958621099587472e+00,-5.35920691454241194e+00,2.67934483610353213e+00,-1.86202982998837342e+02,6.26202862253943408e+02,-3.48684152049393049e+02,1.07772030209918913e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.07772030209918913e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.99883838365650091e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.99883838365650091e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.99883838365650091e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.99883838365650091e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.07772030209918913e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.07772030209918913e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.23091187273676448e-03,6.46353147614813906e+02,9.99999999856524213e-01,1.78729285858048797e+03,-6.48924675847450203e+02,-6.48924675754345230e+02,-5.79015573020112584e+05,-5.80802865878693177e+05,1.00308677856324002e+00,-5.79909219449402881e+05,8.93646429290296510e+02,0.00000000000000000e+00,-5.79015573020112701e+05,-5.81084634177386761e-04,1.25508271612282403e-10,3.99413463386708754e+05,-3.10818946855953016e-01,9.99999999856524213e-01,9.99999999856524213e-01
-6.25010129457020058e-01,1.32518482263224757e+00,-5.31077091967593162e+00,2.65237597109388323e+00,-1.77099282322549243e+02,5.95685061385092695e+02,-3.31656151064077221e+02,-1.43153023648605084e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.43153023648605084e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.99795030069717872e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.99795030069717872e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.99795030069717872e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.99795030069717872e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.43153023648605084e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.43153023648605084e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.29402207555595291e-03,6.14987448640497178e+02,9.99999999856750255e-01,1.70012555523031642e+03,-6.17227474629205972e+02,-6.17227474540788307e+02,-5.23832038726077299e+05,-5.25532164281307603e+05,1.00324555473805099e+00,-5.24682101503692451e+05,8.50062777615152299e+02,0.00000000000000000e+00,-5.23832038726077299e+05,-5.24829258210957050e-04,1.25284506863325855e-10,3.61351562365417834e+05,-3.10613973406136945e-01,9.99999999856750255e-01,9.99999999856750255e-01
-6.24926771322616759e-01,1.31078908400413430e+00,-5.26234575349368150e+00,2.62541605150369728e+00,-1.68439580282256856e+02,5.66655625400387294e+02,-3.15458621418785356e+02,-3.93631667665768140e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.93631667665768140e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.98448132774587438e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.98448132774587438e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.98448132774587438e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.98448132774587438e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.93631667665768140e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.93631667665768140e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.36036800766629797e-03,5.85151431662549044e+02,9.99999999857464350e-01,1.61720945162515750e+03,-5.87076164227329969e+02,-5.87076164143650544e+02,-4.73903956080327800e+05,-4.75521165531953156e+05,1.00341252574678075e+00,-4.74712560806140478e+05,8.08604725812678225e+02,0.00000000000000000e+00,-4.73903956080327975e+05,-4.72154875751584768e-04,1.24569306660146496e-10,3.26914316743674106e+05,-3.10398500074838823e-01,9.99999999857464350e-01,9.99999999857464350e-01
-6.24839163475756409e-01,1.29639927998722593e+00,-5.21393196200620945e+00,2.59846552838591283e+00,-1.60202223104349770e+02,5.39041965584476998e+02,-3.00051060842114794e+02,-6.43029870051022301e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.43029870051022301e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.95847885774310437e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.95847885774310437e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.95847885774310437e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.95847885774310437e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.43029870051022301e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.43029870051022301e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.43011556845612270e-03,5.56770491122736757e+02,9.99999999858527833e-01,1.53833721428804893e+03,-5.58395350650199589e+02,-5.58395350571202243e+02,-4.28731005488169205e+05,-4.30269342702457157e+05,1.00358811747831567e+00,-4.29500174095313181e+05,7.69168607143976260e+02,0.00000000000000000e+00,-4.28731005488169088e+05,-4.23574412707239389e-04,1.23510657889250882e-10,2.95756668777862447e+05,-3.10171989443953855e-01,9.99999999858527833e-01,9.99999999858527833e-01
