x0,z_max_restricted,cpl_w0,cpl_wa,cpl_rms_mag,wconst,wconst_rms_mag,requested_defined,requested_cpl_w0,requested_cpl_wa,requested_wconst
-4.89999999999999991e-01,3.56814108150993903e-01,2.39713723150438751e+00,-5.77513316665703229e+01,8.28283379232967881e-02,-3.06049270844086907e+00,1.25499756283438541e-01,0.00000000000000000e+00,nan,nan,nan
-4.79999999999999982e-01,3.67803766485820249e-01,2.23897315205152392e+00,-5.34612968806782760e+01,7.97038512104963348e-02,-2.93573130135424343e+00,1.21618169633591358e-01,0.00000000000000000e+00,nan,nan,nan
-4.69999999999999973e-01,3.79076127395943097e-01,2.08472717189931700e+00,-4.94315768025166733e+01,7.66049606097546076e-02,-2.81334563493728584e+00,1.17668529465510874e-01,0.00000000000000000e+00,nan,nan,nan
-4.60000000000000020e-01,3.90645399609263810e-01,2.20404691004585418e+00,-4.87935223263294517e+01,8.28206073933492187e-02,-2.77047299965284566e+00,1.24908869846163076e-01,0.00000000000000000e+00,nan,nan,nan
-4.50000000000000011e-01,4.02526831868214696e-01,2.00651021433013765e+00,-4.45952684622852757e+01,7.71850444063370000e-02,-2.64271497728303073e+00,1.18317030330373024e-01,0.00000000000000000e+00,nan,nan,nan
-4.40000000000000002e-01,4.14736814395433084e-01,1.83474990489441470e+00,-4.08780740829862665e+01,7.28669789200383083e-02,-2.52117679119109939e+00,1.12878138597430122e-01,0.00000000000000000e+00,nan,nan,nan
-4.29999999999999993e-01,4.27292992832673191e-01,1.87132618650543403e+00,-3.96166434253526916e+01,7.56248497868065583e-02,-2.46466631930321389e+00,1.16253229133701133e-01,0.00000000000000000e+00,nan,nan,nan
-4.19999999999999984e-01,4.40214396517693896e-01,1.91483815035725824e+00,-3.84894415143272113e+01,8.00469110208588824e-02,-2.40977440233342355e+00,1.20876350455355747e-01,0.00000000000000000e+00,nan,nan,nan
-4.09999999999999976e-01,4.53521583294550945e-01,1.69027887103288865e+00,-3.46329809994646283e+01,7.17441621407893526e-02,-2.28066485078306780e+00,1.11410394645924421e-01,0.00000000000000000e+00,nan,nan,nan
-4.00000000000000022e-01,4.67236803451734461e-01,1.67805221369501978e+00,-3.31166471777981712e+01,7.27917833703159572e-02,-2.21535792499780593e+00,1.12572156463440959e-01,0.00000000000000000e+00,nan,nan,nan
-3.90000000000000013e-01,4.81384185866116532e-01,1.65160504257500551e+00,-3.15309056156053131e+01,7.33985438630731651e-02,-2.14725296348333305e+00,1.13107567532035533e-01,0.00000000000000000e+00,nan,nan,nan
-3.80000000000000004e-01,4.95989950019294579e-01,1.60870922901879210e+00,-2.98596631728678688e+01,7.32406083639310507e-02,-2.07585562765598208e+00,1.12733187727602935e-01,0.00000000000000000e+00,nan,nan,nan
-3.69999999999999996e-01,5.11082648272905171e-01,1.54808270921942981e+00,-2.80969586652788195e+01,7.20207150153315684e-02,-2.00081181835848820e+00,1.11197687891485722e-01,0.00000000000000000e+00,nan,nan,nan
-3.59999999999999987e-01,5.26693443674586925e-01,1.47303032872527329e+00,-2.62798756742987507e+01,6.98672634448336549e-02,-1.92277336618513806e+00,1.08631176714166264e-01,0.00000000000000000e+00,nan,nan,nan
