x0,w0_tangent,wa_tangent,a_zero,z_zero,a_cross,z_cross,a_bounce,z_bounce,q0,cs2_today,wfit_requested_defined,wfit_requested_w0,wfit_requested_wa,wfit_restricted_a_lo,wfit_restricted_w0,wfit_restricted_wa
-4.89999999999999991e-01,-9.60784313725490113e-01,-5.65167243367935423e+00,7.88373516310524325e-01,2.68434288203715177e-01,9.93288388379268694e-01,6.75696172355588764e-03,7.37020638267651629e-01,3.56814108150993903e-01,-5.01442941176470480e-01,-4.89999999999999574e+01,0.00000000000000000e+00,nan,nan,8.67717331937530867e-01,-7.27408647967428879e-01,-1.39963012586562581e+01
-4.88999999999999990e-01,-9.56947162426614484e-01,-5.61808510230889180e+00,7.87836842546093652e-01,2.69298344525558786e-01,9.92612221806536077e-01,7.44276368068308436e-03,7.36430854272698499e-01,3.57900737317155437e-01,-4.97443228962817896e-01,-4.44545454545454177e+01,0.00000000000000000e+00,nan,nan,8.67126646028684056e-01,-7.22699840638881819e-01,-1.39514689594065384e+01
-4.87999999999999989e-01,-9.53125000000000000e-01,-5.58471679687500000e+00,7.87299436620434667e-01,2.70164760046831542e-01,9.91935132768460126e-01,8.13043813563796292e-03,7.35840547941312373e-01,3.58990073050113878e-01,-4.93459140624999959e-01,-4.06666666666666288e+01,0.00000000000000000e+00,nan,nan,8.66535154272133790e-01,-7.18008393256319710e-01,-1.39067959458096517e+01
-4.86999999999999988e-01,-9.49317738791423005e-01,-5.55156572392645042e+00,7.86761296031284418e-01,2.71033546063298436e-01,9.91257118112387037e-01,8.81999405387534630e-03,7.35249717059076602e-01,3.60082128286832059e-01,-4.89490584795321593e-01,-3.74615384615384244e+01,0.00000000000000000e+00,nan,nan,8.65942853913783339e-01,-7.13334222053049971e-01,-1.38622813317172664e+01
-4.85999999999999988e-01,-9.45525291828793746e-01,-5.51863010795015807e+00,7.86222418262669032e-01,2.71904713948146526e-01,9.90578174668388045e-01,9.51144046229979168e-03,7.34658359399783745e-01,3.61176916052518004e-01,-4.85537470817120509e-01,-3.47142857142856798e+01,0.00000000000000000e+00,nan,nan,8.65349742184445048e-01,-7.08677243852652183e-01,-1.38179242371807831e+01
-4.84999999999999987e-01,-9.41747572815533895e-01,-5.48590819115845107e+00,7.85682800784799684e-01,2.72778275152674832e-01,9.89898299249129310e-01,1.02047864498131524e-02,7.34066472725343422e-01,3.62274449461414960e-01,-4.81599708737863952e-01,-3.23333333333333073e+01,0.00000000000000000e+00,nan,nan,8.64755816299726199e-01,-7.04037376064039155e-01,-1.37737237883948787e+01
-4.83999999999999986e-01,-9.37984496124031009e-01,-5.45339823327925011e+00,7.85142441053969020e-01,2.73654241206993998e-01,9.89217488649740129e-01,1.09000411678707998e-02,7.33474054785692609e-01,3.63374741717593874e-01,-4.77677209302325489e-01,-3.02499999999999716e+01,0.00000000000000000e+00,nan,nan,8.64161073459914442e-01,-6.99414536676584930e-01,-1.37296791176415010e+01
-4.82999999999999985e-01,-9.34235976789168254e-01,-5.42109851134913878e+00,7.84601336512444569e-01,2.74532623720733282e-01,9.88535739647679823e-01,1.15972138310407313e-02,7.32881103318702598e-01,3.64477806115758751e-01,-4.73769883945841297e-01,-2.84117647058823266e+01,0.00000000000000000e+00,nan,nan,8.63565510849861107e-01,-6.94808644255279551e-01,-1.36857893632345728e+01
-4.81999999999999984e-01,-9.30501930501930419e-01,-5.38900731950924961e+00,7.84059484588362943e-01,2.75413434383753986e-01,9.87853049002603401e-01,1.22963137175726711e-02,7.32287616050086410e-01,3.65583656042058225e-01,-4.69877644787644710e-01,-2.67777777777777537e+01,0.00000000000000000e+00,nan,nan,8.62969125638864076e-01,-6.90219617935953544e-01,-1.36420536694652661e+01
-4.80999999999999983e-01,-9.26782273603082740e-01,-5.35712296880394678e+00,7.83516882695622141e-01,2.76296684966871986e-01,9.87169413456226441e-01,1.29973501699691685e-02,7.31693590693305085e-01,3.66692304974908012e-01,-4.66000404624277387e-01,-2.53157894736841875e+01,0.00000000000000000e+00,nan,nan,8.62371914980549881e-01,-6.85647377420563364e-01,-1.35984711865476573e+01
