N,a,z,branch,H0t,D_C,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,ln_sigma,E,q,rho_psi,p_psi,w,KE_L,PE_L,KE_H,PE_H,Omega_psi,Omega_m,cs2,M_eff_over_H0,s_u,sigma_spinor,sigma_state,sigma_analytic,norm_hilbert,norm_krein,eigen_leak,rho_closed,p_closed,w_closed,d_L,mu_H0free
-1.25276296849536806e+00,2.85714285714285698e-01,2.50000000000000000e+00,-1.00000000000000000e+00,-5.64836386975820171e-01,9.30918554224473893e-01,-6.16987537419138865e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.16987537419138865e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96178661157803014e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96178661157803014e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.96178661157803014e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.96178661157803014e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.16987537419138865e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.16987537419138865e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.75828890548609129e+00,6.54863702423620886e+00,5.00157464570470944e-01,2.97942662501972677e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.48971331250986356e+01,1.48971331250986321e+01,0.00000000000000000e+00,2.97942662501972677e+01,6.94753680423309206e-01,3.04931390435748961e-01,0.00000000000000000e+00,3.00000000000000000e+00,1.00000000000662093e+00,4.28750000002838760e+01,4.28749999999994529e+01,4.28750000000000071e+01,1.00000000000662093e+00,1.00000000000662093e+00,0.00000000000000000e+00,2.97942662500000068e+01,0.00000000000000000e+00,0.00000000000000000e+00,3.25821493978565879e+00,2.56489865352082580e+00
-1.24884808421882010e+00,2.86835016413119925e-01,2.48632469112393784e+00,-1.00000000000000000e+00,-5.64236811408510563e-01,9.28824146117266380e-01,-6.08061646058301389e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.08061646058301389e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96288837621383427e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96288837621383427e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.96288837621383427e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.96288837621383427e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.08061646058301389e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.08061646058301389e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.74654425265644742e+00,6.51028997621163974e+00,5.00156849513006319e-01,2.94463897797016152e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.47231948898508058e+01,1.47231948898508094e+01,0.00000000000000000e+00,2.94463897797016152e+01,6.94754535319415334e-01,3.04931765654572084e-01,0.00000000000000000e+00,3.00000000000000000e+00,1.00000000000662070e+00,4.23743934893750449e+01,4.23743934890939471e+01,4.23743934890944942e+01,1.00000000000662070e+00,1.00000000000662070e+00,0.00000000000000000e+00,2.94463897795066565e+01,0.00000000000000000e+00,0.00000000000000000e+00,3.23818255432073387e+00,2.55150664348780509e+00
-1.24493319994227192e+00,2.87960143242501798e-01,2.47270281484011933e+00,-1.00000000000000000e+00,-5.63633704209210218e-01,9.26725633023722239e-01,-5.99081194541900772e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.99081194541900772e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96398043131837496e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96398043131837496e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.96398043131837496e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.96398043131837496e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.99081194541900772e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.99081194541900772e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.73479959982680310e+00,6.47216749368712563e+00,5.00156236857208669e-01,2.91025750987364376e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.45512875493682206e+01,1.45512875493682170e+01,0.00000000000000000e+00,2.91025750987364376e+01,6.94755386877336178e-01,3.04932139408246650e-01,0.00000000000000000e+00,3.00000000000000000e+00,1.00000000000662048e+00,4.18796320368629580e+01,4.18796320365851784e+01,4.18796320365856971e+01,1.00000000000662048e+00,1.00000000000662048e+00,0.00000000000000000e+00,2.91025750985437668e+01,0.00000000000000000e+00,0.00000000000000000e+00,3.21824271438597176e+00,2.53809397374280810e+00
-1.24101831566572396e+00,2.89089683446505818e-01,2.45913416237505933e+00,-1.00000000000000000e+00,-5.63027044577285141e-01,9.24623006903216527e-01,-5.90045867730308732e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.90045867730308732e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96506252469592679e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96506252469592679e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.96506252469592679e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.96506252469592679e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.90045867730308732e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.90045867730308732e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.72305494699715922e+00,6.43426826142527997e+00,5.00155626593705604e-01,2.87627747820356916e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.43813873910178476e+01,1.43813873910178440e+01,0.00000000000000000e+00,2.87627747820356916e+01,6.94756235110098874e-01,3.04932511702490028e-01,0.00000000000000000e+00,3.00000000000000000e+00,1.00000000000662026e+00,4.13906473961170391e+01,4.13906473958425067e+01,4.13906473958430254e+01,1.00000000000662026e+00,1.00000000000662026e+00,0.00000000000000000e+00,2.87627747818452768e+01,0.00000000000000000e+00,0.00000000000000000e+00,3.19839503049686646e+00,2.52466050994970903e+00
-1.23710343138917578e+00,2.90223654336847603e-01,2.44561852577099614e+00,-1.00000000000000000e+00,-5.62416811589591781e-01,9.22516259699364571e-01,-5.80955349235017168e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.80955349235017168e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96613440035212073e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96613440035212073e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.96613440035212073e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.96613440035212073e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.80955349235017168e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.80955349235017168e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.71131029416751446e+00,6.39659097189327408e+00,5.00155018713161703e-01,2.84269419580684222e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.42134709790342093e+01,1.42134709790342129e+01,0.00000000000000000e+00,2.84269419580684222e+01,6.94757080030679264e-01,3.04932882542997441e-01,0.00000000000000000e+00,3.00000000000000000e+00,1.00000000000662004e+00,4.09073721173510521e+01,4.09073721170797171e+01,4.09073721170802429e+01,1.00000000000662004e+00,1.00000000000662004e+00,0.00000000000000000e+00,2.84269419578802314e+01,0.00000000000000000e+00,0.00000000000000000e+00,3.17863911474509786e+00,2.51120611649801218e+00
-1.23318854711262782e+00,2.91362073293148671e-01,2.43215569788271013e+00,-1.00000000000000000e+00,-5.61802984199756827e-01,9.20405383339991778e-01,-5.71809321428012884e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.71809321428012884e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96719579844538961e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96719579844538961e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.96719579844538961e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.96719579844538961e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.71809321428012884e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.71809321428012884e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.69956564133787058e+00,6.35913432521770972e+00,5.00154413206277737e-01,2.80950303025735515e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.40475151512867757e+01,1.40475151512867757e+01,0.00000000000000000e+00,2.80950303025735515e+01,6.94757921652002675e-01,3.04933251935442073e-01,0.00000000000000000e+00,3.00000000000000000e+00,1.00000000000661982e+00,4.04297395383194242e+01,4.04297395380512654e+01,4.04297395380517841e+01,1.00000000000661982e+00,1.00000000000661982e+00,0.00000000000000000e+00,2.80950303023875669e+01,0.00000000000000000e+00,0.00000000000000000e+00,3.15897458079227267e+00,2.49773065648670434e+00
-1.22927366283607986e+00,2.92504957763203344e-01,2.41874547237434356e+00,-1.00000000000000000e+00,-5.61185541237450347e-01,9.18290369737101986e-01,-5.62607465451544983e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.62607465451544983e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96824645523787189e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96824645523787189e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.96824645523787189e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.96824645523787189e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.62607465451544983e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.62607465451544983e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.68782098850822670e+00,6.32189702913972340e+00,5.00153810063790560e-01,2.77669940321699080e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.38834970160849522e+01,1.38834970160849558e+01,0.00000000000000000e+00,2.77669940321699080e+01,6.94758759986944141e-01,3.04933619885474738e-01,0.00000000000000000e+00,3.00000000000000000e+00,1.00000000000661959e+00,3.99576837751218221e+01,3.99576837748568039e+01,3.99576837748573155e+01,1.00000000000661959e+00,1.00000000000661959e+00,0.00000000000000000e+00,2.77669940319860977e+01,0.00000000000000000e+00,0.00000000000000000e+00,3.13940104386367924e+00,2.48423399170783776e+00
-1.22535877855953190e+00,2.93652325263245861e-01,2.40538764371624136e+00,-1.00000000000000000e+00,-5.60564461407656478e-01,9.16171210786847268e-01,-5.53349461228349188e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.53349461228349188e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96928610304576635e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96928610304576635e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.96928610304576635e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.96928610304576635e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.53349461228349188e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.53349461228349188e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.67607633567858283e+00,6.28487779897037235e+00,5.00153209276473443e-01,2.74427878980409474e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.37213939490204719e+01,1.37213939490204755e+01,0.00000000000000000e+00,2.74427878980409474e+01,6.94759595048328737e-01,3.04933986398724377e-01,0.00000000000000000e+00,3.00000000000000000e+00,1.00000000000661937e+00,3.94911397131152881e+01,3.94911397128533750e+01,3.94911397128538795e+01,1.00000000000661937e+00,1.00000000000661937e+00,0.00000000000000000e+00,2.74427878978592901e+01,0.00000000000000000e+00,0.00000000000000000e+00,3.11991812074207786e+00,2.47071598262985948e+00
-1.22144389428298394e+00,2.94804193378218837e-01,2.39208200718179942e+00,-1.00000000000000000e+00,-5.59939723289938351e-01,9.14047898369496070e-01,-5.44034987472296408e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.44034987472296408e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.97031447018913441e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.97031447018913441e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.97031447018913441e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.97031447018913441e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.44034987472296408e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.44034987472296408e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.66433168284893940e+00,6.24807535754628152e+00,5.00152610835135514e-01,2.71223671796932244e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.35611835898466104e+01,1.35611835898466140e+01,0.00000000000000000e+00,2.71223671796932244e+01,6.94760426848931023e-01,3.04934351480797949e-01,0.00000000000000000e+00,3.00000000000000000e+00,1.00000000000661915e+00,3.90300429979324264e+01,3.90300429976735899e+01,3.90300429976740801e+01,1.00000000000661915e+00,1.00000000000661915e+00,0.00000000000000000e+00,2.71223671795136951e+01,0.00000000000000000e+00,0.00000000000000000e+00,3.10052542976150569e+00,2.45717648838067193e+00
-1.21752901000643599e+00,2.95960579762042986e-01,2.37882835884432975e+00,-1.00000000000000000e+00,-5.59311305337700237e-01,9.11920424349402792e-01,-5.34663721699491015e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.34663721699491015e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.97133128094114418e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.97133128094114418e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.97133128094114418e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.97133128094114418e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.34663721699491015e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.34663721699491015e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.65258703001929552e+00,6.21148843518553484e+00,5.00152014730621652e-01,2.68056876787876845e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.34028438393938423e+01,1.34028438393938423e+01,0.00000000000000000e+00,2.68056876787876845e+01,6.94761255401476263e-01,3.04934715137280654e-01,0.00000000000000000e+00,3.00000000000000000e+00,1.00000000000661871e+00,3.85743300266044287e+01,3.85743300263486333e+01,3.85743300263491165e+01,1.00000000000661871e+00,1.00000000000661871e+00,0.00000000000000000e+00,2.68056876786102656e+01,0.00000000000000000e+00,0.00000000000000000e+00,3.08122259080111727e+00,2.44361536673042412e+00
