N,a,z,branch,H0t,D_C,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,ln_sigma,E,q,rho_psi,p_psi,w,KE_L,PE_L,KE_H,PE_H,Omega_psi,Omega_m,cs2,M_eff_over_H0,s_u,sigma_spinor,sigma_state,sigma_analytic,norm_hilbert,norm_krein,eigen_leak,rho_closed,p_closed,w_closed,d_L,mu_H0free
-3.40594932059678168e-01,7.11346993716967524e-01,4.05783687613196609e-01,-1.00000000000000000e+00,-3.73650307558298700e-01,4.52633531864984284e-01,1.06478539055850210e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.06478539055850210e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.88530777914556069e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.88530777914556069e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.88530777914556069e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.88530777914556069e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.06478539055850210e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.06478539055850210e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.02178479617903339e+00,3.94416580850717347e-01,-3.90095589295573788e+01,-6.92122428769489928e-01,-4.09763875088022544e+00,5.92039584407823938e+00,-2.39488058982485752e+00,1.70275816105536748e+00,0.00000000000000000e+00,-6.92122428769490483e-01,-4.44910438469389113e+00,5.44684491677269378e+00,1.71099919064436246e+00,-3.15385323262815831e+01,1.00000000099707820e+00,2.77814877378411706e+00,2.77814877101408220e+00,2.77814877101408531e+00,1.00000000099707820e+00,1.00000000099707820e+00,0.00000000000000000e+00,-6.92122423993723812e-01,-4.09763874270889161e+00,5.92039587312381244e+00,6.36304835562542914e-01,-9.81673881774641210e-01
-3.36680047783130154e-01,7.14137293163804698e-01,4.00290965858613568e-01,-1.00000000000000000e+00,-3.64363525877902050e-01,4.39603303110004118e-01,-3.76752839902905062e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.76752839902905062e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.98578552728797808e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.98578552728797808e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.98578552728797808e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.98578552728797808e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.76752839902905062e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.76752839902905062e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.01004014334939018e+00,4.48365850566602830e-01,-2.93638696216794379e+01,-6.36756022192278115e-01,-4.00250969392805800e+00,6.28578223751677356e+00,-2.31963285806016817e+00,1.68287683586789005e+00,0.00000000000000000e+00,-6.36756022192277560e-01,-3.16743714957303135e+00,4.16571587322114567e+00,1.72549275633007904e+00,-3.09084698123368007e+01,1.00000000105956666e+00,2.74571123775929493e+00,2.74571123485003010e+00,2.74571123485003099e+00,1.00000000105956666e+00,1.00000000105956666e+00,0.00000000000000000e+00,-6.36756017276666864e-01,-4.00250968544620633e+00,6.28578227272116941e+00,6.15572533906544539e-01,-1.05360383048396633e+00
-3.32765163506582140e-01,7.16938537720513525e-01,3.94819705437334578e-01,-1.00000000000000000e+00,-3.56064830164664781e-01,4.28005058641010183e-01,-1.61726124077947064e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.61726124077947064e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.73122247498174608e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.73122247498174608e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.73122247498174608e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.73122247498174608e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.61726124077947064e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.61726124077947064e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.98295490519746198e-01,4.94844241703269183e-01,-2.34481913669632753e+01,-5.83133825028852026e-01,-3.90958911333459636e+00,6.70444578161995608e+00,-2.24636146918172441e+00,1.66322764415287239e+00,0.00000000000000000e+00,-5.83133825028853137e-01,-2.38139365312014784e+00,3.38000249093297045e+00,1.74040962105654828e+00,-3.02857638804029783e+01,1.00000000114799814e+00,2.71365244096862579e+00,2.71365243785335686e+00,2.71365243785335775e+00,1.00000000114799814e+00,1.00000000114799814e+00,0.00000000000000000e+00,-5.83133819871215597e-01,-3.90958910435819407e+00,6.70444582552530122e+00,5.96989889819342978e-01,-1.12016511849762512e+00
-3.28850279230034126e-01,7.19750770319915967e-01,3.89369822494970652e-01,-1.00000000000000000e+00,-3.48470028525995068e-01,4.17432114208454386e-01,-2.64354684393114714e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.64354684393114714e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24401462229606952e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24401462229606952e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.24401462229606952e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.24401462229606952e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.64354684393114714e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.64354684393114714e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.86550837690102544e-01,5.35841023511278158e-01,-1.94497045056703222e+01,-5.31209986757839592e-01,-3.81882573765434419e+00,7.18891932164523784e+00,-2.17501786220609228e+00,1.64380787544825280e+00,0.00000000000000000e+00,-5.31209986757839037e-01,-1.85009620240763950e+00,2.84892820457599738e+00,1.75576752909098421e+00,-2.96703286327583626e+01,1.00000000121284716e+00,2.68196796113593505e+00,2.68196795788311837e+00,2.68196795788311793e+00,1.00000000121284716e+00,1.00000000121284716e+00,0.00000000000000000e+00,-5.31209981481910454e-01,-3.81882572839104073e+00,7.18891937560680994e+00,5.79967582421500594e-01,-1.18298140433119037e+00
-3.24935394953486056e-01,7.22574034063240944e-01,3.83941233504770718e-01,-1.00000000000000000e+00,-3.41407544552455755e-01,4.07638682553254694e-01,-3.46087091361012844e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.46087091361012844e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.60865245638745502e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.60865245638745502e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.60865245638745502e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.60865245638745502e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.46087091361012844e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.46087091361012844e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.74806184860458447e-01,5.72572843995575509e-01,-1.65665413847824077e+01,-4.80939784141578230e-01,-3.73016948622706135e+00,7.75600108210008354e+00,-2.10555463518431996e+00,1.62461485104274184e+00,0.00000000000000000e+00,-4.80939784141578786e-01,-1.46699695111717054e+00,2.46598989977509442e+00,1.77158522694925114e+00,-2.90620791779002410e+01,1.00000000126655264e+00,2.65065342778826807e+00,2.65065342443107665e+00,2.65065342443107577e+00,1.00000000126655264e+00,1.00000000126655264e+00,0.00000000000000000e+00,-4.80939778807987106e-01,-3.73016947677814859e+00,7.75600114846686672e+00,5.64147981157010925e-01,-1.24303480836151503e+00
-3.21020510676938042e-01,7.25408372220784137e-01,3.78533855266343089e-01,-1.00000000000000000e+00,-3.34764449953857679e-01,3.98462833558192620e-01,-4.08323575798164362e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.08323575798164362e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.88568636143015922e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.88568636143015922e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.88568636143015922e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.88568636143015922e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.08323575798164362e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.08323575798164362e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.63061532030814349e-01,6.05850894019850594e-01,-1.43892947849411499e+01,-4.32279593834296205e-01,-3.64357144067733429e+00,8.42873800347376090e+00,-2.03792551725581506e+00,1.60564592342151879e+00,0.00000000000000000e+00,-4.32279593834296205e-01,-1.17769607746226224e+00,2.17681059340011318e+00,1.78788253536548014e+00,-2.84609316129787828e+01,1.00000000127215838e+00,2.61970452135152820e+00,2.61970451801884963e+00,2.61970451801884918e+00,1.00000000127215838e+00,1.00000000127215838e+00,0.00000000000000000e+00,-4.32279588649167767e-01,-3.64357143140693474e+00,8.42873808312982220e+00,5.49294506125326487e-01,-1.30097372318363624e+00
-3.17105626400390084e-01,7.28253828232571343e-01,3.73147604904378483e-01,-1.00000000000000000e+00,-3.28461777692668322e-01,3.89791232974348034e-01,-4.52864543172631584e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.52864543172631584e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.11928539497726276e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.11928539497726276e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.11928539497726276e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.11928539497726276e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.52864543172631584e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.52864543172631584e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.51316879201170473e-01,6.36249778521269183e-01,-1.26870899593847177e+01,-3.85186866639176673e-01,-3.55898381884120418e+00,9.23962919580816866e+00,-1.97208534274019076e+00,1.58689847610101409e+00,0.00000000000000000e+00,-3.85186866639177727e-01,-9.51516190983462518e-01,1.95072577426796157e+00,1.80468042721520128e+00,-2.78668030185606810e+01,1.00000000126638255e+00,2.58911697288089604e+00,2.58911696960208415e+00,2.58911696960208326e+00,1.00000000126638255e+00,1.00000000126638255e+00,0.00000000000000000e+00,-3.85186861644348566e-01,-3.55898380982713336e+00,9.23962929221926998e+00,5.35240897971450580e-01,-1.35725354678493870e+00
-3.13190742123842014e-01,7.31110445709024726e-01,3.67782399867380594e-01,-1.00000000000000000e+00,-3.22441768686049346e-01,3.81540916189260948e-01,-4.81658100679651091e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.81658100679651091e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.34184478850578826e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.34184478850578826e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.34184478850578826e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.34184478850578826e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.81658100679651091e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.81658100679651091e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.39572226371526265e-01,6.64195226843724673e-01,-1.13198340335007135e+01,-3.39620101432397015e-01,-3.47635994763867107e+00,1.02360252911315293e+01,-1.90799002453553412e+00,1.56836992310313716e+00,0.00000000000000000e+00,-3.39620101432397015e-01,-7.69842506535831417e-01,1.76912847227067482e+00,1.82200111265515052e+00,-2.72796114419672620e+01,1.00000000125892141e+00,2.55888656320302355e+00,2.55888655998158709e+00,2.55888655998158665e+00,1.00000000125892141e+00,1.00000000125892141e+00,0.00000000000000000e+00,-3.39620096628378498e-01,-3.47635993888574335e+00,1.02360254101501855e+01,5.21864949992946414e-01,-1.41220935339103382e+00
-3.09275857847293945e-01,7.33978268431630498e-01,3.62438157926400883e-01,-1.00000000000000000e+00,-3.16660680385918658e-01,3.73649005044610460e-01,-4.96659201832950314e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96659201832950314e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.77030116014114747e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.77030116014114747e-02,0.00000000000000000e+00,0.00000000000000000e+00,5.77030116014114747e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.77030116014114747e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96659201832950314e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.96659201832950314e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.27827573541882056e-01,6.90013816392657464e-01,-1.01975894443507098e+01,-2.95538820217069120e-01,-3.39565423748263484e+00,1.14897062761114572e+01,-1.84559652884985215e+00,1.55005770863278292e+00,0.00000000000000000e+00,-2.95538820217069120e-01,-6.20724606127344147e-01,1.62007328655428973e+00,1.83986813174099084e+00,-2.66992758870539255e+01,1.00000000125286359e+00,2.52900912238984654e+00,2.52900911922134375e+00,2.52900911922134330e+00,1.00000000125286359e+00,1.00000000125286359e+00,0.00000000000000000e+00,-2.95538815592508608e-01,-3.39565422897405256e+00,1.14897064271111162e+01,5.09073662144011507e-01,-1.46609685699960557e+00
-3.05360973570745986e-01,7.36857340353610279e-01,3.57114797173778920e-01,-1.00000000000000000e+00,-3.11084453133961769e-01,3.66066507693231735e-01,-4.99749997089982079e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.99749997089982079e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.58095136036758774e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.58095136036758774e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.58095136036758774e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.58095136036758774e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.99749997089982079e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.99749997089982079e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.16082920712238180e-01,7.13963097187924389e-01,-9.25997242447918012e+00,-2.52903543686833931e-01,-3.31682215714658746e+00,1.31149690858177568e+01,-1.78486285041671100e+00,1.53195930672987712e+00,0.00000000000000000e+00,-2.52903543686834487e-01,-4.96139020620291415e-01,1.49554011646958895e+00,1.85830645551965579e+00,-2.61257163031832143e+01,1.00000000124728761e+00,2.49948052919088815e+00,2.49948052607331750e+00,2.49948052607331705e+00,1.00000000124728761e+00,1.00000000124728761e+00,0.00000000000000000e+00,-2.52903539234359598e-01,-3.31682214887252558e+00,1.31149692839960874e+01,4.96794274340213782e-01,-1.51911709069501955e+00
