m,node,k,t,a,H,K,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,E,eps,p1,norm_hilbert,norm_krein,beta2,beta2_adiabatic
1.00000000000000000e+00,2.00000000000000000e+01,1.19822951464081725e-02,-9.72264248968907729e+00,5.99114757320408272e-05,1.00000000000000000e+00,2.00000000000000114e+02,4.99999999990235144e-01,0.00000000000000000e+00,-4.99993750107420365e-01,0.00000000000000000e+00,2.49996875053710033e-03,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.56242187789376937e-08,0.00000000000000000e+00,-3.12484375579814912e-06,0.00000000000000000e+00,-3.12488281610097169e-06,0.00000000000000000e+00,0.00000000000000000e+00,1.56242187789198101e-08,0.00000000000000000e+00,3.12484375579814912e-06,0.00000000000000000e+00,-3.12488281610097169e-06,0.00000000000000000e+00,0.00000000000000000e+00,-4.99999999990235144e-01,0.00000000000000000e+00,-4.99993750107420365e-01,0.00000000000000000e+00,2.49996875053710033e-03,0.00000000000000000e+00,0.00000000000000000e+00,2.00002499984375305e+02,-2.00002499968751351e+02,-1.99997500031250553e+02,1.00000000000000022e+00,1.00000000000000022e+00,3.90595704574525366e-11,6.16298782669799592e-33
1.00000000000000000e+00,2.00000000000000000e+01,1.19822951464081725e-02,0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.19822951464081725e-02,-3.47926494120968544e-01,0.00000000000000000e+00,3.46132791077262747e-01,0.00000000000000000e+00,-3.59610419521130542e-01,0.00000000000000000e+00,3.57875282152864904e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.95191594915475142e-02,0.00000000000000000e+00,2.95136515895392214e-02,0.00000000000000000e+00,-1.17537784176680146e-03,0.00000000000000000e+00,-1.02779673642333495e-03,2.95191594915475142e-02,0.00000000000000000e+00,-2.95136515895513263e-02,0.00000000000000000e+00,1.17537784174718218e-03,0.00000000000000000e+00,-1.02779673642333495e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.47926494121056973e-01,0.00000000000000000e+00,3.46132791077262747e-01,0.00000000000000000e+00,-3.59610419521130542e-01,0.00000000000000000e+00,-3.57875282152775032e-01,1.00007178512193584e+00,-9.95867044495047482e-01,3.54527437949982529e-04,1.00000000012167578e+00,1.00000000012167600e+00,2.10221946595001881e-03,1.86662637223872154e-03
1.00000000000000000e+00,2.00000000000000000e+01,1.19822951464081725e-02,1.82079441680638965e+00,2.15443469003188381e+00,2.15443469003188365e-01,5.56168873526207645e-03,8.39844533371351676e-02,0.00000000000000000e+00,-8.36798410544197235e-02,0.00000000000000000e+00,6.11324163628632483e-02,0.00000000000000000e+00,-6.07132582466409082e-02,0.00000000000000000e+00,0.00000000000000000e+00,-3.58156404119941096e-01,0.00000000000000000e+00,-3.56486231241746498e-01,0.00000000000000000e+00,3.34929961090776829e-01,0.00000000000000000e+00,3.33143365668429059e-01,-3.58156404119941096e-01,0.00000000000000000e+00,3.56486231241661677e-01,0.00000000000000000e+00,-3.34929961090857098e-01,0.00000000000000000e+00,3.33143365668429059e-01,0.00000000000000000e+00,0.00000000000000000e+00,-8.39844533371758295e-02,0.00000000000000000e+00,-8.36798410544197235e-02,0.00000000000000000e+00,6.11324163628632483e-02,0.00000000000000000e+00,6.07132582466068382e-02,1.00001546607119418e+00,-9.96163834194589981e-01,-4.31907170502585449e-04,1.00000000012148504e+00,1.00000000012148504e+00,1.92578621446503977e-03,1.94081465119346516e-03
1.00000000000000000e+00,2.00000000000000000e+01,1.19822951464081725e-02,1.02721734501594213e+01,4.64158883361277930e+00,4.64158883361277808e-02,2.58150723296224349e-03,2.30857361170962810e-01,0.00000000000000000e+00,-2.29557353152493371e-01,0.00000000000000000e+00,2.60578743474591035e-01,0.00000000000000000e+00,-2.59427713882806998e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.51936987010631719e-01,0.00000000000000000e+00,2.50650013040118746e-01,0.00000000000000000e+00,-2.58024632660431463e-01,0.00000000000000000e+00,-2.56768173013069090e-01,2.51936987010631719e-01,0.00000000000000000e+00,-2.50650013040043140e-01,0.00000000000000000e+00,2.58024632660509956e-01,0.00000000000000000e+00,-2.56768173013069090e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.30857361171006525e-01,0.00000000000000000e+00,-2.29557353152493371e-01,0.00000000000000000e+00,2.60578743474591035e-01,0.00000000000000000e+00,2.59427713882756872e-01,1.00000333208424563e+00,-9.96116936758288607e-01,1.82882722257085941e-04,1.00000000013496093e+00,1.00000000013496093e+00,1.94319125532007599e-03,1.94464980979237065e-03
1.00000000000000000e+00,2.00000000000000000e+01,1.19822951464081725e-02,4.95000000000000213e+01,1.00000000000000018e+01,9.99999999999999500e-03,1.19822951464081703e-03,-2.48569134705409367e-01,0.00000000000000000e+00,2.47370830008117576e-01,0.00000000000000000e+00,-2.40282358400340873e-01,0.00000000000000000e+00,2.39042516237649688e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.71367291504781782e-01,0.00000000000000000e+00,2.70165667257636632e-01,0.00000000000000000e+00,-2.41003263445750071e-01,0.00000000000000000e+00,-2.39649439510113194e-01,2.71367291504781782e-01,0.00000000000000000e+00,-2.70165667257583064e-01,0.00000000000000000e+00,2.41003263445796256e-01,0.00000000000000000e+00,-2.39649439510113194e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.48569134705484945e-01,0.00000000000000000e+00,2.47370830008117576e-01,0.00000000000000000e+00,-2.40282358400340873e-01,0.00000000000000000e+00,-2.39042516237575664e-01,1.00000071787672717e+00,-9.96111492323521475e-01,-9.39837645662470626e-05,1.00000000021434765e+00,1.00000000021434765e+00,1.94461148736860203e-03,1.94448451143640734e-03
1.00000000000000000e+00,2.00000000000000000e+01,1.19822951464081725e-02,2.31579441680639093e+02,2.15443469003188426e+01,2.15443469003188254e-03,5.56168873526207536e-04,-2.14341451851512710e-01,0.00000000000000000e+00,2.13332542319416729e-01,0.00000000000000000e+00,-2.02317756690652023e-01,0.00000000000000000e+00,2.01248578387655364e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.00761006526584995e-01,0.00000000000000000e+00,2.99405417385959827e-01,0.00000000000000000e+00,-2.71869725973469811e-01,0.00000000000000000e+00,-2.70369319291083043e-01,3.00761006526584995e-01,0.00000000000000000e+00,-2.99405417385896155e-01,0.00000000000000000e+00,2.71869725973521992e-01,0.00000000000000000e+00,-2.70369319291083043e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.14341451851580045e-01,0.00000000000000000e+00,2.13332542319416729e-01,0.00000000000000000e+00,-2.02317756690652023e-01,0.00000000000000000e+00,-2.01248578387590138e-01,1.00000015466189596e+00,-9.96111166405551307e-01,-4.79508510967543454e-05,1.00000000058285021e+00,1.00000000058285021e+00,1.94449411772493696e-03,1.94448794364606922e-03
1.00000000000000000e+00,2.00000000000000000e+01,1.19822951464081725e-02,1.07671734501594369e+03,4.64158883361278285e+01,4.64158883361277081e-04,2.58150723296224143e-04,2.27516165536605530e-01,0.00000000000000000e+00,-2.26434070445322988e-01,0.00000000000000000e+00,2.16987805104426834e-01,0.00000000000000000e+00,-2.15852936607470375e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.90329867557350796e-01,0.00000000000000000e+00,-2.89028636974523523e-01,0.00000000000000000e+00,2.60971936727936560e-01,0.00000000000000000e+00,2.59523549518881735e-01,-2.90329867557350796e-01,0.00000000000000000e+00,2.89028636974460351e-01,0.00000000000000000e+00,-2.60971936727982412e-01,0.00000000000000000e+00,2.59523549518881735e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.27516165536669285e-01,0.00000000000000000e+00,-2.26434070445322988e-01,0.00000000000000000e+00,2.16987805104426834e-01,0.00000000000000000e+00,2.15852936607399348e-01,1.00000003332089737e+00,-9.96111057689449297e-01,-2.15455062238709049e-05,1.00000000229329022e+00,1.00000000229329022e+00,1.94448889311778748e-03,1.94448802494118309e-03
1.00000000000000000e+00,2.00000000000000000e+01,1.19822951464081725e-02,4.99950000000000000e+03,1.00000000000000000e+02,1.00000000000000005e-04,1.19822951464081722e-04,1.18610563239875899e-01,0.00000000000000000e+00,-1.17865567877565025e-01,0.00000000000000000e+00,1.49295597006725705e-01,0.00000000000000000e+00,-1.48704410373904916e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.30287585551304164e-01,0.00000000000000000e+00,3.28665386981042529e-01,0.00000000000000000e+00,-3.25265427892473147e-01,0.00000000000000000e+00,-3.23618055757061651e-01,3.30287585551304164e-01,0.00000000000000000e+00,-3.28665386980975027e-01,0.00000000000000000e+00,3.25265427892548531e-01,0.00000000000000000e+00,-3.23618055757061651e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.18610563239887556e-01,0.00000000000000000e+00,-1.17865567877565025e-01,0.00000000000000000e+00,1.49295597006725705e-01,0.00000000000000000e+00,1.48704410373903306e-01,1.00000000717876980e+00,-9.96111041804382813e-01,2.36218036262625607e-06,1.00000001023238649e+00,1.00000001023238649e+00,1.94448776953085349e-03,1.94448802668770225e-03
1.00000000000000000e+00,3.60000000000000000e+01,6.32890128287980525e-01,-5.75577581145630468e+00,3.16445064143990344e-03,1.00000000000000000e+00,1.99999999999999943e+02,4.99999999990235144e-01,0.00000000000000000e+00,-4.99993750107420309e-01,0.00000000000000000e+00,2.49996875053710207e-03,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.56242187790265329e-08,0.00000000000000000e+00,-3.12484375579815378e-06,0.00000000000000000e+00,-3.12488281610097634e-06,0.00000000000000000e+00,0.00000000000000000e+00,1.56242187790086526e-08,0.00000000000000000e+00,3.12484375579815378e-06,0.00000000000000000e+00,-3.12488281610097634e-06,0.00000000000000000e+00,0.00000000000000000e+00,-4.99999999990235144e-01,0.00000000000000000e+00,-4.99993750107420309e-01,0.00000000000000000e+00,2.49996875053710207e-03,0.00000000000000000e+00,0.00000000000000000e+00,2.00002499984375135e+02,-2.00002499968751124e+02,-1.99997500031250382e+02,1.00000000000000022e+00,1.00000000000000022e+00,3.90595704574526594e-11,1.54079036433662234e-33
1.00000000000000000e+00,3.60000000000000000e+01,6.32890128287980525e-01,0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,6.32890128287980525e-01,2.20600372032021097e-01,0.00000000000000000e+00,-2.19751700791717935e-01,0.00000000000000000e+00,1.70285745542893108e-01,0.00000000000000000e+00,-1.69184872241255613e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.81111609616604341e-01,0.00000000000000000e+00,-3.80278214268771675e-01,0.00000000000000000e+00,1.67631842639987566e-01,0.00000000000000000e+00,1.65728379976840923e-01,-3.81111609616604341e-01,0.00000000000000000e+00,3.80278214268756187e-01,0.00000000000000000e+00,-1.67631842639996725e-01,0.00000000000000000e+00,1.65728379976840923e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.20600372032022263e-01,0.00000000000000000e+00,-2.19751700791717935e-01,0.00000000000000000e+00,1.70285745542893108e-01,0.00000000000000000e+00,1.69184872241251699e-01,1.18344831508789450e+00,-1.15296688242659595e+00,-3.46354498408474432e-01,1.00000000020106716e+00,1.00000000020106716e+00,1.28782273397628436e-02,5.52633569731241425e-04
