m,a,n_a3,rho_a3,p_a3,w,n_a3_tail_corrected,rho_a3_tail_corrected,p_a3_tail_corrected,w_tail_corrected,rho_a3_instantaneous,p_a3_instantaneous,w_instantaneous
0.00000000000000000e+00,1.00000000000000000e+00,1.78135110896364887e-24,4.24194993698532087e-24,1.41398331232843956e-24,3.33333333333333148e-01,1.78135110896364887e-24,4.24194993698532087e-24,1.41398331232843956e-24,3.33333333333333148e-01,4.24194993997520104e-24,1.41398331332506609e-24,3.33333333333333093e-01
0.00000000000000000e+00,1.10069417125220959e+00,1.78135110896364887e-24,3.85388607278572682e-24,1.28462869092857585e-24,3.33333333333333370e-01,1.78135110896364887e-24,3.85388607278572682e-24,1.28462869092857585e-24,3.33333333333333370e-01,3.85388607550208634e-24,1.28462869183402884e-24,3.33333333333333370e-01
0.00000000000000000e+00,1.21152765862858836e+00,1.78135110896364887e-24,3.50132323168508903e-24,1.16710774389502992e-24,3.33333333333333426e-01,1.78135110896364887e-24,3.50132323168508903e-24,1.16710774389502992e-24,3.33333333333333426e-01,3.50132323415294832e-24,1.16710774471764950e-24,3.33333333333333370e-01
0.00000000000000000e+00,1.33352143216332397e+00,1.78135110896364887e-24,3.18101369402346730e-24,1.06033789800782237e-24,3.33333333333333315e-01,1.78135110896364887e-24,3.18101369402346730e-24,1.06033789800782237e-24,3.33333333333333315e-01,3.18101369626556114e-24,1.06033789875518680e-24,3.33333333333333259e-01
0.00000000000000000e+00,1.46779926762206947e+00,1.78135110896364887e-24,2.89000684940901671e-24,9.63335616469672359e-25,3.33333333333333370e-01,1.78135110896364887e-24,2.89000684940901671e-24,9.63335616469672359e-25,3.33333333333333370e-01,2.89000685144599744e-24,9.63335617148665998e-25,3.33333333333333370e-01
0.00000000000000000e+00,1.61559809843987412e+00,1.78135110896364887e-24,2.62562201644184912e-24,8.75207338813949767e-25,3.33333333333333370e-01,1.78135110896364887e-24,2.62562201644184912e-24,8.75207338813949767e-25,3.33333333333333370e-01,2.62562201829248204e-24,8.75207339430827530e-25,3.33333333333333426e-01
0.00000000000000000e+00,1.77827941003892276e+00,1.78135110896364887e-24,2.38542374895544218e-24,7.95141249651814243e-25,3.33333333333333426e-01,1.78135110896364887e-24,2.38542374895544218e-24,7.95141249651814243e-25,3.33333333333333426e-01,2.38542375063677489e-24,7.95141250212258634e-25,3.33333333333333481e-01
0.00000000000000000e+00,1.95734178148766036e+00,1.78135110896364887e-24,2.16719940130295670e-24,7.22399800434318992e-25,3.33333333333333370e-01,1.78135110896364887e-24,2.16719940130295670e-24,7.22399800434318992e-25,3.33333333333333370e-01,2.16719940283047671e-24,7.22399800943492267e-25,3.33333333333333370e-01
0.00000000000000000e+00,2.15443469003188381e+00,1.78135110896364887e-24,1.96893874602554912e-24,6.56312915341849524e-25,3.33333333333333259e-01,1.78135110896364887e-24,1.96893874602554912e-24,6.56312915341849524e-25,3.33333333333333259e-01,1.96893874741332857e-24,6.56312915804442458e-25,3.33333333333333148e-01
0.00000000000000000e+00,2.37137370566165506e+00,1.78135110896364887e-24,1.78881545614580508e-24,5.96271818715267991e-25,3.33333333333333148e-01,1.78135110896364887e-24,1.78881545614580508e-24,5.96271818715267991e-25,3.33333333333333148e-01,1.78881545740662599e-24,5.96271819135541936e-25,3.33333333333333315e-01
0.00000000000000000e+00,2.61015721568253722e+00,1.78135110896364887e-24,1.62517028150585164e-24,5.41723427168617307e-25,3.33333333333333370e-01,1.78135110896364887e-24,1.62517028150585164e-24,5.41723427168617307e-25,3.33333333333333370e-01,1.62517028265133085e-24,5.41723427550443494e-25,3.33333333333333259e-01
0.00000000000000000e+00,2.87298483335366450e+00,1.78135110896364887e-24,1.47649576417486657e-24,4.92165254724955463e-25,3.33333333333333315e-01,1.78135110896364887e-24,1.47649576417486657e-24,4.92165254724955463e-25,3.33333333333333315e-01,1.47649576521555394e-24,4.92165255071851284e-25,3.33333333333333315e-01
0.00000000000000000e+00,3.16227766016837908e+00,1.78135110896364887e-24,1.34142235212813433e-24,4.47140784042711413e-25,3.33333333333333315e-01,1.78135110896364887e-24,1.34142235212813433e-24,4.47140784042711413e-25,3.33333333333333315e-01,1.34142235307361713e-24,4.47140784357872285e-25,3.33333333333333259e-01
0.00000000000000000e+00,3.48070058842841057e+00,1.78135110896364887e-24,1.21870578328043553e-24,4.06235261093478479e-25,3.33333333333333315e-01,1.78135110896364887e-24,1.21870578328043553e-24,4.06235261093478479e-25,3.33333333333333315e-01,1.21870578413942362e-24,4.06235261379807781e-25,3.33333333333333259e-01
0.00000000000000000e+00,3.83118684955728828e+00,1.78135110896364887e-24,1.10721562365863103e-24,3.69071874552877119e-25,3.33333333333333426e-01,1.78135110896364887e-24,1.10721562365863103e-24,3.69071874552877119e-25,3.33333333333333426e-01,1.10721562443903659e-24,3.69071874813012228e-25,3.33333333333333370e-01
0.00000000000000000e+00,4.21696503428582226e+00,1.78135110896364887e-24,1.00592485413001000e-24,3.35308284710003485e-25,3.33333333333333481e-01,1.78135110896364887e-24,1.00592485413001000e-24,3.35308284710003485e-25,3.33333333333333481e-01,1.00592485483902227e-24,3.35308284946340803e-25,3.33333333333333370e-01
0.00000000000000000e+00,4.64158883361277841e+00,1.78135110896364887e-24,9.13900409761973857e-25,3.04633469920657860e-25,3.33333333333333259e-01,1.78135110896364887e-24,9.13900409761973857e-25,3.04633469920657860e-25,3.33333333333333259e-01,9.13900410406123639e-25,3.04633470135374531e-25,3.33333333333333315e-01
0.00000000000000000e+00,5.10896977450692802e+00,1.78135110896364887e-24,8.30294584664031359e-25,2.76764861554677166e-25,3.33333333333333370e-01,1.78135110896364887e-24,8.30294584664031359e-25,2.76764861554677166e-25,3.33333333333333370e-01,8.30294585249253058e-25,2.76764861749751004e-25,3.33333333333333315e-01
0.00000000000000000e+00,5.62341325190349028e+00,1.78135110896364887e-24,7.54337223135690068e-25,2.51445741045229916e-25,3.33333333333333204e-01,1.78135110896364887e-24,7.54337223135690068e-25,2.51445741045229916e-25,3.33333333333333204e-01,7.54337223667374245e-25,2.51445741222458051e-25,3.33333333333333315e-01
0.00000000000000000e+00,6.18965818891260611e+00,1.78135110896364887e-24,6.85328625187062412e-25,2.28442875062354229e-25,3.33333333333333481e-01,1.78135110896364887e-24,6.85328625187062412e-25,2.28442875062354229e-25,3.33333333333333481e-01,6.85328625670106745e-25,2.28442875223368991e-25,3.33333333333333426e-01
0.00000000000000000e+00,6.81292069057961402e+00,1.78135110896364887e-24,6.22633101079653463e-25,2.07544367026551139e-25,3.33333333333333315e-01,1.78135110896364887e-24,6.22633101079653463e-25,2.07544367026551139e-25,3.33333333333333315e-01,6.22633101518507840e-25,2.07544367172835947e-25,3.33333333333333315e-01
