node,x,gl_weight,k,ln_k_weight,t0
0.00000000000000000e+00,-9.99305041735772170e-01,1.78328072169626779e-03,1.00368889673331171e-03,9.44838721719365102e-03,-1.22023905360897889e+01
1.00000000000000000e+00,-9.96340116771955220e-01,4.14703326056252083e-03,1.01958045378942029e-03,2.19722983440907328e-02,-1.21866814226634865e+01
2.00000000000000000e+00,-9.91013371476744287e-01,6.50445796897836798e-03,1.04876576406032380e-03,3.44626826170198533e-02,-1.21584586355586914e+01
3.00000000000000000e+00,-9.83336253884625977e-01,8.84675982636393479e-03,1.09230464290471915e-03,4.68729412257035266e-02,-1.21177828300953401e+01
4.00000000000000000e+00,-9.73326827789910975e-01,1.11681394601310761e-02,1.15179653936589815e-03,5.91723472536428916e-02,-1.20647497139885331e+01
5.00000000000000000e+00,-9.61008799652053769e-01,1.34630478967185333e-02,1.22947562082058835e-03,7.13315004778518197e-02,-1.19994848915840961e+01
6.00000000000000000e+00,-9.46411374858402765e-01,1.57260304760247875e-02,1.32833933696603667e-03,8.33215003779858160e-02,-1.19221431022930169e+01
7.00000000000000000e+00,-9.29569172131939570e-01,1.79517157756973363e-02,1.45232377696279460e-03,9.51138874537115486e-02,-1.18329077670964740e+01
8.00000000000000000e+00,-9.10522137078502825e-01,2.01348231535302194e-02,1.60653890261521783e-03,1.06680683186722663e-01,-1.17319905304916006e+01
9.00000000000000000e+00,-8.89315445995114140e-01,2.22701738083832118e-02,1.79758104045996776e-03,1.17994448644999986e-01,-1.16196307508374623e+01
1.00000000000000000e+01,-8.65999398154092881e-01,2.43527025687109329e-02,2.03394593346287308e-03,1.29028346942180100e-01,-1.14960949296421155e+01
1.10000000000000000e+01,-8.40629296252580427e-01,2.63774697150546446e-02,2.32657346058656126e-03,1.39756205876868905e-01,-1.13616760781462389e+01
1.20000000000000000e+01,-8.13265315122797539e-01,2.83396726142594590e-02,2.68956541236860637e-03,1.50152579574416689e-01,-1.12166930217084175e+01
1.30000000000000000e+01,-7.83972358943341385e-01,3.02346570724024259e-02,3.14113123908773325e-03,1.60192808638334183e-01,-1.10614896432652738e+01
1.40000000000000000e+01,-7.52819907260531940e-01,3.20579283548516059e-02,3.70483446162478977e-03,1.69853078538062974e-01,-1.08964340675036961e+01
1.50000000000000000e+01,-7.19881850171610882e-01,3.38051618371416132e-02,4.41123571601500716e-03,1.79110476040694327e-01,-1.07219177876091152e+01
1.60000000000000000e+01,-6.85236313054233270e-01,3.54722132568823581e-02,5.30005876855628097e-03,1.87943043528835285e-01,-1.05383547366267276e+01
1.70000000000000000e+01,-6.48965471254657311e-01,3.70551285402400676e-02,6.42304522857314094e-03,1.96329831064423727e-01,-1.03461803056207184e+01
1.80000000000000000e+01,-6.11155355172393278e-01,3.85501531786155982e-02,7.84771443465348897e-03,2.04250946069346018e-01,-1.01458503109508626e+01
1.90000000000000000e+01,-5.71895646202634000e-01,3.99537411327203634e-02,9.66230982943438316e-03,2.11687600502056900e-01,-9.93783991311076420e+00
2.00000000000000000e+01,-5.31279464019894565e-01,4.12625632426235484e-02,1.19822951464081725e-02,2.18622155416679009e-01,-9.72264248968907729e+00
2.10000000000000000e+01,-4.89403145707052956e-01,4.24735151236536254e-02,1.49588661925348504e-02,2.25038162797994656e-01,-9.50076846512505568e+00
2.20000000000000000e+01,-4.46366017253464087e-01,4.35837245293234712e-02,1.87900701257591105e-02,2.30920404572560189e-01,-9.27274410003304617e+00
2.30000000000000000e+01,-4.02270157963991626e-01,4.45905581637565801e-02,2.37352765276552212e-02,2.36254928703101802e-01,-9.03911024296677468e+00
2.40000000000000000e+01,-3.57220158337668126e-01,4.54916279274181212e-02,3.01339245315235399e-02,2.41029082280381085e-01,-8.80042104758364374e+00
2.50000000000000000e+01,-3.11322871990210970e-01,4.62847965813143955e-02,3.84296765245968619e-02,2.45231541533921238e-01,-8.55724265825148400e+00
2.60000000000000000e+01,-2.64687162208767424e-01,4.69681828162099926e-02,4.92013360351236523e-02,2.48852338690328467e-01,-8.31015186721516663e+00
2.70000000000000000e+01,-2.17423643740007083e-01,4.75401657148303153e-02,6.32021234210165678e-02,2.51882885615457019e-01,-8.05973474650797073e+00
2.80000000000000000e+01,-1.69644420423992803e-01,4.79993885964583311e-02,8.14091266456725832e-02,2.54315994184302951e-01,-7.80658525785255453e+00
2.90000000000000000e+01,-1.21462819296120558e-01,4.83447622348028988e-02,1.05084921732945966e-01,2.56145893330291863e-01,-7.55130384384865838e+00
3.00000000000000000e+01,-7.29931217877990424e-02,4.85754674415033935e-02,1.35853437845778968e-01,2.57368242733506114e-01,-7.29449600378898921e+00
3.10000000000000000e+01,-2.43502926634244291e-02,4.86909570091397445e-02,1.75792054511413470e-01,2.57980143115368932e-01,-7.03677085748128572e+00
3.20000000000000000e+01,2.43502926634244291e-02,4.86909570091397445e-02,2.27541569561683199e-01,2.57980143115368932e-01,-6.77873970048298791e+00
3.30000000000000000e+01,7.29931217877990424e-02,4.85754674415033935e-02,2.94434948679090813e-01,2.57368242733506114e-01,-6.52101455417528619e+00
3.40000000000000000e+01,1.21462819296120558e-01,4.83447622348028988e-02,3.80644523879958785e-01,2.56145893330291863e-01,-6.26420671411561614e+00
3.50000000000000000e+01,1.69644420423992803e-01,4.79993885964583311e-02,4.91345401285253169e-01,2.54315994184302951e-01,-6.00892530011171910e+00
3.60000000000000000e+01,2.17423643740007083e-01,4.75401657148303153e-02,6.32890128287980525e-01,2.51882885615457019e-01,-5.75577581145630468e+00
3.70000000000000000e+01,2.64687162208767424e-01,4.69681828162099926e-02,8.12986053294263544e-01,2.48852338690328467e-01,-5.50535869074910700e+00
3.80000000000000000e+01,3.11322871990210970e-01,4.62847965813143955e-02,1.04086226108091351e+00,2.45231541533921238e-01,-5.25826789971279052e+00
3.90000000000000000e+01,3.57220158337668126e-01,4.54916279274181212e-02,1.32740758536630099e+00,2.41029082280381085e-01,-5.01508951038062989e+00
4.00000000000000000e+01,4.02270157963991626e-01,4.45905581637565801e-02,1.68525527618748816e+00,2.36254928703101802e-01,-4.77640031499749806e+00
4.10000000000000000e+01,4.46366017253464087e-01,4.35837245293234712e-02,2.12878396580140450e+00,2.30920404572560189e-01,-4.54276645793122835e+00
4.20000000000000000e+01,4.89403145707052956e-01,4.24735151236536254e-02,2.67399945190777633e+00,2.25038162797994656e-01,-4.31474209283921972e+00
4.30000000000000000e+01,5.31279464019894565e-01,4.12625632426235484e-02,3.33825861500252241e+00,2.18622155416679009e-01,-4.09286806827519722e+00
4.40000000000000000e+01,5.71895646202634000e-01,3.99537411327203634e-02,4.13979687115265715e+00,2.11687600502056900e-01,-3.87767064485350899e+00
4.50000000000000000e+01,6.11155355172393278e-01,3.85501531786155982e-02,5.09702542480015275e+00,2.04250946069346018e-01,-3.66966024701341231e+00
4.60000000000000000e+01,6.48965471254657311e-01,3.70551285402400676e-02,6.22757563998749220e+00,1.96329831064423727e-01,-3.46933025234355652e+00
4.70000000000000000e+01,6.85236313054233270e-01,3.54722132568823581e-02,7.54708612615929475e+00,1.87943043528835285e-01,-3.27715582133754557e+00
4.80000000000000000e+01,7.19881850171610882e-01,3.38051618371416132e-02,9.06775392998833496e+00,1.79110476040694327e-01,-3.09359277035515978e+00
4.90000000000000000e+01,7.52819907260531940e-01,3.20579283548516059e-02,1.07967037162728214e+01,1.69853078538062974e-01,-2.91907649046057882e+00
5.00000000000000000e+01,7.83972358943341385e-01,3.02346570724024259e-02,1.27342657645902868e+01,1.60192808638334183e-01,-2.75402091469900112e+00
5.10000000000000000e+01,8.13265315122797539e-01,2.83396726142594590e-02,1.48722911947225658e+01,1.50152579574416689e-01,-2.59881753625585743e+00
5.20000000000000000e+01,8.40629296252580427e-01,2.63774697150546446e-02,1.71926658141778326e+01,1.39756205876868905e-01,-2.45383447981803604e+00
5.30000000000000000e+01,8.65999398154092881e-01,2.43527025687109329e-02,1.96662061374947257e+01,1.29028346942180100e-01,-2.31941562832215942e+00
5.40000000000000000e+01,8.89315445995114140e-01,2.22701738083832118e-02,2.22521261070736998e+01,1.17994448644999986e-01,-2.19587980712681263e+00
5.50000000000000000e+01,9.10522137078502825e-01,2.01348231535302194e-02,2.48982454983727131e+01,1.06680683186722663e-01,-2.08352002747267440e+00
5.60000000000000000e+01,9.29569172131939570e-01,1.79517157756973363e-02,2.75420678463661233e+01,9.51138874537115486e-02,-1.98260279086780078e+00
5.70000000000000000e+01,9.46411374858402765e-01,1.57260304760247875e-02,3.01127873630250846e+01,8.33215003779858160e-02,-1.89336745567125808e+00
5.80000000000000000e+01,9.61008799652053769e-01,1.34630478967185333e-02,3.25341953289832375e+01,7.13315004778518197e-02,-1.81602566638017882e+00
5.90000000000000000e+01,9.73326827789910975e-01,1.11681394601310761e-02,3.47283557754230685e+01,5.91723472536428916e-02,-1.75076084397574161e+00
6.00000000000000000e+01,9.83336253884625977e-01,8.84675982636393479e-03,3.66198205416665630e+01,4.68729412257035266e-02,-1.69772772786893467e+00
6.10000000000000000e+01,9.91013371476744287e-01,6.50445796897836798e-03,3.81400703290875143e+01,3.44626826170198533e-02,-1.65705192240558352e+00
6.20000000000000000e+01,9.96340116771955220e-01,4.14703326056252083e-03,3.92318231007019804e+01,2.19722983440907328e-02,-1.62882913530078843e+00
6.30000000000000000e+01,9.99305041735772170e-01,1.78328072169626779e-03,3.98529864484775231e+01,9.44838721719365102e-03,-1.61312002187448433e+00
