m,sample,t,a,n_a3,n_a3_adiabatic
0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.25188802861984348e-25,1.25188621082057824e-25
0.00000000000000000e+00,2.00000000000000000e+00,2.90646034528980612e+00,2.61015721568253678e+00,1.53285129228714184e-25,1.53284694097069313e-25
0.00000000000000000e+00,3.00000000000000000e+00,2.27079441680638929e+01,6.81292069057961225e+00,1.52845711617272099e-25,1.52844827979551396e-25
0.00000000000000000e+00,4.00000000000000000e+00,1.57613883008418981e+02,1.77827941003892285e+01,1.60684474918792660e-25,1.60684475655798827e-25
0.00000000000000000e+00,5.00000000000000000e+00,1.07671734501594165e+03,4.64158883361277859e+01,1.59927178781932932e-25,1.59927160518634995e-25
0.00000000000000000e+00,6.00000000000000000e+00,7.33849633811035073e+03,1.21152765862858871e+02,4.93614714565649516e-25,4.93614699561230219e-25
0.00000000000000000e+00,7.00000000000000000e+00,4.99995000000000000e+04,3.16227766016837961e+02,1.78135110907423497e-24,1.78135110896364887e-24
1.00000000000000006e-01,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,8.53827406357251487e-04,1.71388239077014878e-03
1.00000000000000006e-01,2.00000000000000000e+00,2.90646034528980612e+00,2.61015721568253678e+00,3.14014850028158802e-03,1.00320329062638693e-03
1.00000000000000006e-01,3.00000000000000000e+00,2.27079441680638929e+01,6.81292069057961225e+00,1.85753148439126901e-03,1.43281491320143453e-03
1.00000000000000006e-01,4.00000000000000000e+00,1.57613883008418981e+02,1.77827941003892285e+01,1.55190692728993736e-03,1.45439114743040835e-03
1.00000000000000006e-01,5.00000000000000000e+00,1.07671734501594165e+03,4.64158883361277859e+01,1.49425964397357212e-03,1.45362099154582622e-03
1.00000000000000006e-01,6.00000000000000000e+00,7.33849633811035073e+03,1.21152765862858871e+02,1.46676601329626751e-03,1.45363758867502737e-03
1.00000000000000006e-01,7.00000000000000000e+00,4.99994999999999927e+04,3.16227766016837904e+02,1.45492081302892257e-03,1.45363729276271666e-03
5.00000000000000000e-01,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.17645963801326376e-02,2.36017175000082348e-03
5.00000000000000000e-01,2.00000000000000000e+00,2.10500365479345586e+00,2.28254404329618854e+00,1.10033968369394417e-02,5.72602311313180450e-03
5.00000000000000000e-01,3.00000000000000000e+00,1.30720880829745276e+01,5.21000730958691260e+00,7.73098129429680442e-03,4.99685248711849266e-03
5.00000000000000000e-01,4.00000000000000000e+00,7.02106781186547266e+01,1.18920711500272080e+01,5.74404545988247209e-03,4.99015850846313246e-03
5.00000000000000000e-01,5.00000000000000000e+00,3.67903149864038369e+02,2.71441761659490552e+01,5.28749005990535037e-03,4.98961750844623651e-03
5.00000000000000000e-01,6.00000000000000000e+00,1.91888310366648193e+03,6.19577776177693735e+01,5.02412455745105107e-03,4.98966549177232675e-03
5.00000000000000000e-01,7.00000000000000000e+00,9.99950000000000000e+03,1.41421356237309510e+02,4.99071845329153441e-03,4.98966594788631968e-03
1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2.73581118587207864e-02,1.58839836057648467e-03
1.00000000000000000e+00,2.00000000000000000e+00,1.82079441680638965e+00,2.15443469003188381e+00,1.50011752842149348e-02,4.33893095277039075e-03
1.00000000000000000e+00,3.00000000000000000e+00,1.02721734501594213e+01,4.64158883361277930e+00,9.30494667933329765e-03,4.40250926069586136e-03
1.00000000000000000e+00,4.00000000000000000e+00,4.95000000000000213e+01,1.00000000000000018e+01,6.42029577104699916e-03,4.41144536784112383e-03
1.00000000000000000e+00,5.00000000000000000e+00,2.31579441680639093e+02,2.15443469003188426e+01,4.83562143975330063e-03,4.41206164775888483e-03
1.00000000000000000e+00,6.00000000000000000e+00,1.07671734501594369e+03,4.64158883361278285e+01,4.44256292740830092e-03,4.41220133090875540e-03
1.00000000000000000e+00,7.00000000000000000e+00,4.99950000000000000e+03,1.00000000000000000e+02,4.41369185267734710e-03,4.41220180472606457e-03
2.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,5.42951616016604036e-02,7.82528694960063780e-04
2.00000000000000000e+00,2.00000000000000000e+00,1.56759277100006900e+00,2.03351556227144181e+00,2.78109079430785694e-02,2.53712748839410307e-03
2.00000000000000000e+00,3.00000000000000000e+00,8.04987973338348617e+00,4.13518554200013799e+00,1.24003821625507851e-02,2.42330214093442430e-03
2.00000000000000000e+00,4.00000000000000000e+00,3.48553390593273917e+01,8.40896415253714657e+00,5.30595694221464454e-03,2.42172613718277373e-03
2.00000000000000000e+00,5.00000000000000000e+00,1.45700886910643334e+02,1.70997594667669723e+01,2.77529307149778585e-03,2.42131485409162635e-03
2.00000000000000000e+00,6.00000000000000000e+00,6.04067793780489865e+02,3.47726269867690547e+01,2.45360648841855874e-03,2.42122897015015388e-03
2.00000000000000000e+00,7.00000000000000000e+00,2.49950000000000000e+03,7.07106781186547551e+01,2.42153197651161179e-03,2.42122903395375084e-03
