m,node,k,t,a,H,K,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,E,eps,p1,norm_hilbert,norm_krein,beta2,beta2_adiabatic
0.00000000000000000e+00,0.00000000000000000e+00,1.00368889673331171e-03,-1.22023905360897889e+01,5.01844448366656050e-06,1.00000000000000000e+00,1.99999999999999915e+02,5.00000000000000000e-01,0.00000000000000000e+00,4.99999999999999944e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-8.88178419700125997e-20,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,8.88178419700125997e-20,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,0.00000000000000000e+00,4.99999999999999944e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.99999999999999915e+02,1.99999999999999886e+02,1.99999999999999886e+02,1.00000000000000000e+00,1.00000000000000000e+00,6.16298371064820826e-33,6.16298371064820826e-33
0.00000000000000000e+00,0.00000000000000000e+00,1.00368889673331171e-03,0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00368889673331171e-03,2.43155455642762197e-01,0.00000000000000000e+00,2.43155455642826424e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.36892920976501065e-01,0.00000000000000000e+00,-4.36892920976158838e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.36892920976501065e-01,0.00000000000000000e+00,4.36892920976158838e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.43155455642762197e-01,0.00000000000000000e+00,2.43155455642826424e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00368889673331171e-03,1.00368889676576947e-03,1.00368889676576926e-03,1.00000000003233858e+00,1.00000000003233858e+00,1.21243835075578655e-25,1.21289081482996956e-25
0.00000000000000000e+00,0.00000000000000000e+00,1.00368889673331171e-03,2.90646034528980612e+00,2.61015721568253678e+00,1.46779926762206969e-01,3.84531970221132623e-04,2.43861199106138321e-01,0.00000000000000000e+00,2.43861199106203103e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.36499387833172603e-01,0.00000000000000000e+00,-4.36499387832830432e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.36499387833172603e-01,0.00000000000000000e+00,4.36499387832830432e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.43861199106138321e-01,0.00000000000000000e+00,2.43861199106203103e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.84531970221132623e-04,3.84531970233567663e-04,3.84531970233567663e-04,1.00000000003233813e+00,1.00000000003233813e+00,1.21258464439435807e-25,1.21654012785235252e-25
0.00000000000000000e+00,0.00000000000000000e+00,1.00368889673331171e-03,2.27079441680638929e+01,6.81292069057961225e+00,2.15443469003188393e-02,1.47321382754555814e-04,2.45700295021585191e-01,0.00000000000000000e+00,2.45700295021651471e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.35466835745872916e-01,0.00000000000000000e+00,-4.35466835745530911e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.35466835745872916e-01,0.00000000000000000e+00,4.35466835745530911e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.45700295021585191e-01,0.00000000000000000e+00,2.45700295021651471e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.47321382754555814e-04,1.47321382759319825e-04,1.47321382759319853e-04,1.00000000003233769e+00,1.00000000003233769e+00,1.21359954784525955e-25,1.21359954784525955e-25
0.00000000000000000e+00,0.00000000000000000e+00,1.00368889673331171e-03,1.57613883008418981e+02,1.77827941003892285e+01,3.16227766016837896e-03,5.64415744267849915e-05,2.50479943452808385e-01,0.00000000000000000e+00,2.50479943452878495e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.32735251552369193e-01,0.00000000000000000e+00,-4.32735251552027966e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.32735251552369193e-01,0.00000000000000000e+00,4.32735251552027966e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.50479943452808385e-01,0.00000000000000000e+00,2.50479943452878495e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.64415744267849915e-05,5.64415744286101375e-05,5.64415744286101307e-05,1.00000000003233680e+00,1.00000000003233680e+00,1.21351391329621622e-25,1.21351391329621622e-25
0.00000000000000000e+00,0.00000000000000000e+00,1.00368889673331171e-03,1.07671734501594165e+03,4.64158883361277859e+01,4.64158883361278003e-04,2.16238217712207595e-05,2.62811058015745225e-01,0.00000000000000000e+00,2.62811058015824273e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.25359081004334449e-01,0.00000000000000000e+00,-4.25359081003995165e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.25359081004334449e-01,0.00000000000000000e+00,4.25359081003995165e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.62811058015745225e-01,0.00000000000000000e+00,2.62811058015824273e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.16238217712207595e-05,2.16238217719199716e-05,2.16238217719199716e-05,1.00000000003233502e+00,1.00000000003233502e+00,1.21362305959802316e-25,1.21362305959802316e-25
0.00000000000000000e+00,0.00000000000000000e+00,1.00368889673331171e-03,7.33849633811035073e+03,1.21152765862858871e+02,6.81292069057960964e-05,8.28449016070715216e-06,2.93949365610341129e-01,0.00000000000000000e+00,2.93949365610444324e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.04467267483374138e-01,0.00000000000000000e+00,-4.04467267483041515e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.04467267483374138e-01,0.00000000000000000e+00,4.04467267483041515e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.93949365610341129e-01,0.00000000000000000e+00,2.93949365610444324e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,8.28449016070715216e-06,8.28449016097507546e-06,8.28449016097507715e-06,1.00000000003234035e+00,1.00000000003234035e+00,1.21268731957154704e-25,1.21268735596110158e-25
0.00000000000000000e+00,0.00000000000000000e+00,1.00368889673331171e-03,4.99995000000000000e+04,3.16227766016837961e+02,1.00000000000000008e-05,3.17394297589879889e-06,3.67020489319407006e-01,0.00000000000000000e+00,3.67020489319570542e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.39552588604287275e-01,0.00000000000000000e+00,-3.39552588603981464e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.39552588604287275e-01,0.00000000000000000e+00,3.39552588603981464e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.67020489319407006e-01,0.00000000000000000e+00,3.67020489319570542e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.17394297589879889e-06,3.17394297600145039e-06,3.17394297600145081e-06,1.00000000003234213e+00,1.00000000003234213e+00,1.20281281482051854e-25,1.20281286922629505e-25
0.00000000000000000e+00,1.00000000000000000e+00,1.01958045378942029e-03,-1.21866814226634865e+01,5.09790226894709899e-06,1.00000000000000000e+00,2.00000000000000085e+02,5.00000000000000000e-01,0.00000000000000000e+00,4.99999999999999944e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-8.88178419700124432e-20,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,8.88178419700124432e-20,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,0.00000000000000000e+00,4.99999999999999944e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.00000000000000085e+02,2.00000000000000057e+02,2.00000000000000057e+02,1.00000000000000000e+00,1.00000000000000000e+00,6.16298371064820826e-33,6.16298371064820826e-33
0.00000000000000000e+00,1.00000000000000000e+00,1.01958045378942029e-03,0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.01958045378942029e-03,2.43148512513042592e-01,0.00000000000000000e+00,2.43148512512929210e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.36896785251888686e-01,0.00000000000000000e+00,-4.36896785251908670e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.36896785251888686e-01,0.00000000000000000e+00,4.36896785251908670e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.43148512513042592e-01,0.00000000000000000e+00,2.43148512512929210e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.01958045378942029e-03,1.01958045420019435e-03,1.01958045420019435e-03,1.00000000040288528e+00,1.00000000040288528e+00,1.32578787091327666e-26,1.39489045140724674e-26
