m,node,k,t0,a_end,beta2_initial,beta2_kink,beta2_adiabatic_kink,beta2_end,beta2_adiabatic_end,beta2_kink_tail_theory
0.00000000000000000e+00,0.00000000000000000e+00,1.00368889673331171e-03,-1.22023905360897889e+01,3.16227766016837961e+02,6.16298371064820826e-33,1.21243835075578655e-25,1.21289081482996956e-25,1.20281281482051854e-25,1.20281286922629505e-25,0.00000000000000000e+00
0.00000000000000000e+00,1.00000000000000000e+00,1.01958045378942029e-03,-1.21866814226634865e+01,3.16227766016837961e+02,6.16298371064820826e-33,1.32578787091327666e-26,1.39489045140724674e-26,1.32185724049135488e-26,1.32185754240641708e-26,0.00000000000000000e+00
0.00000000000000000e+00,2.00000000000000000e+00,1.04876576406032380e-03,-1.21584586355586914e+01,3.16227766016837961e+02,6.16298371064820826e-33,2.25211018875723413e-25,2.13692768210974670e-25,2.24323754891252764e-25,2.24323756239677717e-25,0.00000000000000000e+00
0.00000000000000000e+00,3.00000000000000000e+00,1.09230464290471915e-03,-1.21177828300953401e+01,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0.00000000000000000e+00,4.00000000000000000e+00,1.15179653936589815e-03,-1.20647497139885331e+01,3.16227766016837961e+02,0.00000000000000000e+00,7.70371977649104005e-34,7.70371977649104005e-34,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0.00000000000000000e+00,5.00000000000000000e+00,1.22947562082058835e-03,-1.19994848915840961e+01,3.16227766016837961e+02,6.16298371064820826e-33,5.01203704363593583e-26,5.02007528210200337e-26,4.98029028406709050e-26,4.98028997634756720e-26,0.00000000000000000e+00
0.00000000000000000e+00,6.00000000000000000e+00,1.32833933696603667e-03,-1.19221431022930169e+01,3.16227766016837961e+02,6.16298371064820826e-33,7.50498290096511280e-25,7.30771580733605090e-25,7.45855880261949150e-25,7.45821369183112957e-25,0.00000000000000000e+00
0.00000000000000000e+00,7.00000000000000000e+00,1.45232377696279460e-03,-1.18329077670964740e+01,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.66679811099074452e-34,0.00000000000000000e+00
0.00000000000000000e+00,8.00000000000000000e+00,1.60653890261521783e-03,-1.17319905304916006e+01,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0.00000000000000000e+00,9.00000000000000000e+00,1.79758104045996776e-03,-1.16196307508374623e+01,3.16227766016837961e+02,6.16298371064820826e-33,1.59595320990440996e-25,1.53439150492463552e-25,1.60228546341157348e-25,1.60234542166770479e-25,0.00000000000000000e+00
0.00000000000000000e+00,1.00000000000000000e+01,2.03394593346287308e-03,-1.14960949296421155e+01,3.16227766016837961e+02,0.00000000000000000e+00,7.70371977717969477e-34,7.70371977717969477e-34,3.08148791087189638e-33,4.26073916770742418e-33,0.00000000000000000e+00
0.00000000000000000e+00,1.10000000000000000e+01,2.32657346058656126e-03,-1.13616760781462389e+01,3.16227766016837961e+02,0.00000000000000000e+00,3.08148791028229732e-33,3.08148791028229732e-33,3.85185988785289764e-33,3.85185988785289764e-33,0.00000000000000000e+00
0.00000000000000000e+00,1.20000000000000000e+01,2.68956541236860637e-03,-1.12166930217084175e+01,3.16227766016837961e+02,0.00000000000000000e+00,3.85185988886592285e-33,1.36280110355925823e-29,3.08148791109274800e-33,3.08148791109274800e-33,0.00000000000000000e+00
0.00000000000000000e+00,1.30000000000000000e+01,3.14113123908773325e-03,-1.10614896432652738e+01,3.16227766016837961e+02,6.16298371064820826e-33,4.95748268607265932e-25,4.95755662796525994e-25,4.68503475101422842e-25,4.68503475101422842e-25,0.00000000000000000e+00
0.00000000000000000e+00,1.40000000000000000e+01,3.70483446162478977e-03,-1.08964340675036961e+01,3.16227766016837961e+02,6.16298371064820826e-33,1.09343945718532422e-25,1.10403712749169091e-25,1.07671518807214839e-25,1.07671518727705732e-25,0.00000000000000000e+00
0.00000000000000000e+00,1.50000000000000000e+01,4.41123571601500716e-03,-1.07219177876091152e+01,3.16227766016837961e+02,6.16298371064820826e-33,5.41148180917883740e-27,5.41924284154571328e-27,5.59072887946109243e-27,5.59072887946109243e-27,0.00000000000000000e+00
0.00000000000000000e+00,1.60000000000000000e+01,5.30005876855628097e-03,-1.05383547366267276e+01,3.16227766016837961e+02,6.16298371064820826e-33,2.09729070511299497e-25,2.08024761085195519e-25,2.05771911173339045e-25,2.05771911173339045e-25,0.00000000000000000e+00
0.00000000000000000e+00,1.70000000000000000e+01,6.42304522857314094e-03,-1.03461803056207184e+01,3.16227766016837961e+02,6.16298371064820826e-33,1.62988654673020584e-26,1.62988654673020584e-26,7.24538850698354018e-27,7.24656424527294441e-27,0.00000000000000000e+00
0.00000000000000000e+00,1.80000000000000000e+01,7.84771443465348897e-03,-1.01458503109508626e+01,3.16227766016837961e+02,0.00000000000000000e+00,7.70371977554437843e-34,7.70371977554437843e-34,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0.00000000000000000e+00,1.90000000000000000e+01,9.66230982943438316e-03,-9.93783991311076420e+00,3.16227766016837961e+02,6.16298371064820826e-33,8.49426971165307991e-25,8.48411601855880105e-25,7.74134962124964496e-25,7.74134962124964496e-25,0.00000000000000000e+00
0.00000000000000000e+00,2.00000000000000000e+01,1.19822951464081725e-02,-9.72264248968907729e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.08148791013484897e-33,3.08148791013484897e-33,0.00000000000000000e+00
0.00000000000000000e+00,2.10000000000000000e+01,1.49588661925348504e-02,-9.50076846512505568e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,2.34760938279472846e-31,0.00000000000000000e+00,1.04254799583943629e-35,0.00000000000000000e+00
0.00000000000000000e+00,2.20000000000000000e+01,1.87900701257591105e-02,-9.27274410003304617e+00,3.16227766016837961e+02,0.00000000000000000e+00,3.08148791056838937e-33,3.08148791056838937e-33,3.08148791058306195e-33,3.09488860000744107e-33,0.00000000000000000e+00
0.00000000000000000e+00,2.30000000000000000e+01,2.37352765276552212e-02,-9.03911024296677468e+00,3.16227766016837961e+02,0.00000000000000000e+00,3.85185988744746943e-33,1.09269584486978646e-31,3.08148790995957582e-33,3.08148790995957582e-33,0.00000000000000000e+00
0.00000000000000000e+00,2.40000000000000000e+01,3.01339245315235399e-02,-8.80042104758364374e+00,3.16227766016837961e+02,0.00000000000000000e+00,7.70371977411595205e-34,3.12402214144380191e-31,3.08148790964539485e-33,3.08148790964539485e-33,0.00000000000000000e+00
0.00000000000000000e+00,2.50000000000000000e+01,3.84296765245968619e-02,-8.55724265825148400e+00,3.16227766016837961e+02,6.16298371064820826e-33,7.20166311933796818e-26,7.20170623584969699e-26,6.13476362895643511e-26,6.13476362895643511e-26,0.00000000000000000e+00
0.00000000000000000e+00,2.60000000000000000e+01,4.92013360351236523e-02,-8.31015186721516663e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,1.28378689012114318e-31,3.08148791033344608e-33,3.08148791033344608e-33,0.00000000000000000e+00
0.00000000000000000e+00,2.70000000000000000e+01,6.32021234210165678e-02,-8.05973474650797073e+00,3.16227766016837961e+02,0.00000000000000000e+00,3.85185988714062338e-33,6.30546175774904172e-32,0.00000000000000000e+00,1.63581464888706027e-39,0.00000000000000000e+00
0.00000000000000000e+00,2.80000000000000000e+01,8.14091266456725832e-02,-7.80658525785255453e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,6.85122339944913177e-32,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0.00000000000000000e+00,2.90000000000000000e+01,1.05084921732945966e-01,-7.55130384384865838e+00,3.16227766016837961e+02,6.16298371064820826e-33,1.17453452773914126e-25,1.17453481811417607e-25,1.13254241020403431e-25,1.13254411491683562e-25,0.00000000000000000e+00
0.00000000000000000e+00,3.00000000000000000e+01,1.35853437845778968e-01,-7.29449600378898921e+00,3.16227766016837961e+02,0.00000000000000000e+00,3.08148791053708047e-33,3.84191628187805820e-32,3.08148791055268497e-33,3.05046716802327400e-33,0.00000000000000000e+00
0.00000000000000000e+00,3.10000000000000000e+01,1.75792054511413470e-01,-7.03677085748128572e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0.00000000000000000e+00,3.20000000000000000e+01,2.27541569561683199e-01,-6.77873970048298791e+00,3.16227766016837961e+02,0.00000000000000000e+00,3.08148790985401795e-33,7.57181011239714810e-33,3.08148790987142265e-33,3.08148790987142265e-33,0.00000000000000000e+00
0.00000000000000000e+00,3.30000000000000000e+01,2.94434948679090813e-01,-6.52101455417528619e+00,3.16227766016837961e+02,6.16298371064820826e-33,8.79850128635716962e-26,8.79602153401532982e-26,9.34031926711969748e-26,9.34031926711969748e-26,0.00000000000000000e+00
0.00000000000000000e+00,3.40000000000000000e+01,3.80644523879958785e-01,-6.26420671411561614e+00,3.16227766016837961e+02,6.16298371064820826e-33,1.26990558863446979e-26,1.26990558863446979e-26,1.22186326617259933e-26,1.22186326617463635e-26,0.00000000000000000e+00
0.00000000000000000e+00,3.50000000000000000e+01,4.91345401285253169e-01,-6.00892530011171910e+00,3.16227766016837961e+02,6.16298371064820826e-33,1.11917829192675980e-25,1.11917829192675980e-25,1.12048635069169959e-25,1.12048635069177305e-25,0.00000000000000000e+00
0.00000000000000000e+00,3.60000000000000000e+01,6.32890128287980525e-01,-5.75577581145630468e+00,3.16227766016837961e+02,0.00000000000000000e+00,4.81482485960226089e-35,4.81482485960226089e-35,4.81482485956927149e-35,4.81484151851224771e-35,0.00000000000000000e+00
0.00000000000000000e+00,3.70000000000000000e+01,8.12986053294263544e-01,-5.50535869074910700e+00,3.16227766016837961e+02,6.16298371064820826e-33,2.77556526280196388e-26,2.77556526280196388e-26,1.15388674867705558e-25,1.15388674867705558e-25,0.00000000000000000e+00
0.00000000000000000e+00,3.80000000000000000e+01,1.04086226108091351e+00,-5.25826789971279052e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0.00000000000000000e+00,3.90000000000000000e+01,1.32740758536630099e+00,-5.01508951038062989e+00,3.16227766016837961e+02,6.16298371064820826e-33,1.35488162349733731e-25,1.35488162911011712e-25,2.11506931616581487e-25,2.11506931616581487e-25,0.00000000000000000e+00
0.00000000000000000e+00,4.00000000000000000e+01,1.68525527618748816e+00,-4.77640031499749806e+00,3.16227766016837961e+02,6.16298371064820826e-33,6.20003706836660561e-26,6.20003706836660561e-26,3.98394985458879951e-25,3.98394985458879951e-25,0.00000000000000000e+00
0.00000000000000000e+00,4.10000000000000000e+01,2.12878396580140450e+00,-4.54276645793122835e+00,3.16227766016837961e+02,0.00000000000000000e+00,3.08148791000656242e-33,3.08148791000656242e-33,0.00000000000000000e+00,8.32941192812082773e-41,0.00000000000000000e+00
