a,t,H,rho,p,w,KE_H,PE_H,KE_L,PE_L,n_a3,rho_kinetic,p_kinetic,w_kinetic,rel_dev_rho,rel_dev_p,beta2_weighted,beta2_max,beta2_adiabatic_max,norm_dev_max
1.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000028e-02,4.59132677774268959e+04,1.52824302047556030e+04,3.32854334804484508e-01,4.58472906142668071e+04,6.59771631600779642e+01,2.29566338887134480e+04,2.29566338887134480e+04,1.45788110147951693e+03,4.59132677774268959e+04,1.52824302047556066e+04,3.32854334804484620e-01,0.00000000000000000e+00,-2.38049757685766623e-16,2.67828449964144710e-33,1.38666955995880954e-32,2.04321057336141895e-05,4.44089209850062616e-16
1.07977516232770965e+00,1.16591440117983165e+01,4.28847949295447090e-02,3.37797639944426410e+04,1.12410712274023499e+04,3.32775303855044724e-01,3.37232136822070461e+04,5.65503122356020498e+01,1.68898819972213205e+04,1.68898819972213205e+04,1.45788110150609145e+03,3.37797642201725466e+04,1.12410770111473266e+04,3.32775472850529774e-01,-6.68240027312416663e-09,-5.14518757498889034e-07,2.87639437489662490e-08,4.85964032421552772e-05,2.13667629495712317e-05,2.10583328552615967e-10
1.16591440117983169e+00,1.35935639087852582e+01,3.67821127229820619e-02,2.48532698477830345e+04,8.26828031632917737e+03,3.32683802452123867e-01,2.48048409489875339e+04,4.84288987954808974e+01,1.24266349238915172e+04,1.24266349238915172e+04,1.45788110151397245e+03,2.48532700424773866e+04,8.26827832118758852e+03,3.32683719569137337e-01,-7.83375192763929837e-09,2.41300729286938308e-07,3.31653786300110170e-08,6.36936741837701729e-05,2.05234411082540425e-05,3.00628189009444213e-10
1.25892541179416728e+00,1.58489319246111364e+01,3.15478672240096583e-02,1.82860694416633632e+04,6.08152909903197087e+03,3.32577163093107808e-01,1.82445872970959135e+04,4.14821445674384321e+01,9.14303472083168162e+03,9.14303472083168162e+03,1.45788110152962804e+03,1.82860696084168194e+04,6.08152610188356266e+03,3.32576996156917271e-01,-9.11915243203920924e-09,4.92828339137482510e-07,3.73497923269909748e-08,5.47952374981078633e-05,2.01498810500337581e-05,3.33803651386688216e-10
1.35935639087852578e+00,1.84784979742229112e+01,2.70584763273231804e-02,1.34545357095668587e+04,4.47300057891270899e+03,3.32452986522023097e-01,1.34190017367381279e+04,3.55339728287372338e+01,6.72726785478342936e+03,6.72726785478342936e+03,1.45788110154611331e+03,1.34545357875010213e+04,4.47299940366168903e+03,3.32452897246518941e-01,-5.79240814022548059e-09,2.62743388473613169e-07,2.07689499619927610e-08,5.03440790696446284e-05,2.03114014837348439e-05,5.58259660721205364e-10
1.46779926762206969e+00,2.15443469003188426e+01,2.32079441680638904e-02,9.89989199231761449e+03,3.28982071686610288e+03,3.32308748359984807e-01,9.86946215059830865e+03,3.04298417193067117e+01,4.94994599615880725e+03,4.94994599615880725e+03,1.45788110154611263e+03,9.89989208587192661e+03,3.28981969695342332e+03,3.32308642197050252e-01,-9.45003352606187964e-09,3.10020844154899043e-07,3.48459229701734074e-08,3.71192692122641635e-05,2.07354410880684247e-05,6.03543215405011324e-10
1.58489319246111360e+00,2.51188643150958022e+01,1.99053585276748601e-02,7.28463447354016353e+03,2.41952835424336809e+03,3.32141353561633601e-01,7.25858506273010516e+03,2.60494108100559778e+01,3.64231723677008176e+03,3.64231723677008176e+03,1.45788110154591277e+03,7.28463453025244598e+03,2.41952594237965786e+03,3.32141019886664113e-01,-7.78519254771355622e-09,9.96833168008865858e-07,2.56962248107055430e-08,8.02883592161605412e-06,2.04236290028343939e-05,1.08581699187482172e-09
1.71132830416178083e+00,2.92864456462523677e+01,1.70727443691680060e-02,5.36047352293176937e+03,1.77938928990187992e+03,3.31946288381010424e-01,5.33816786970563953e+03,2.23056532261293796e+01,2.68023676146588468e+03,2.68023676146588468e+03,1.45788110155042500e+03,5.36047356139758449e+03,1.77938950630740101e+03,3.31946326369619849e-01,-7.17582405411890801e-09,-1.21617847199746832e-07,2.53420941430362996e-08,3.70588568105879231e-05,2.04377429593513566e-05,1.04558783853292425e-09
1.84784979742229094e+00,3.41454887383360202e+01,1.46432228231261809e-02,3.94475052567010334e+03,1.30855293409053183e+03,3.31720073443236341e-01,3.92565880227159505e+03,1.90917233985081367e+01,1.97237526283505167e+03,1.97237526283505167e+03,1.45788110156134621e+03,3.94475056219573162e+03,1.30855381928687484e+03,3.31720294770300017e-01,-9.25929984645203626e-09,-6.76469190612662579e-07,3.01730293881691477e-08,2.43169298901709023e-05,2.02208773392094466e-05,1.36335320810587746e-09
1.99526231496887996e+00,3.98107170553497340e+01,1.25594321575478972e-02,2.90308869331930282e+03,9.62252246299555054e+02,3.31458094447450446e-01,2.88675673889866493e+03,1.63319544206364320e+01,1.45154434665965141e+03,1.45154434665965141e+03,1.45788110158184259e+03,2.90308870988705576e+03,9.62252026450189533e+02,3.31458016826370327e-01,-5.70693994994210907e-09,2.28473788028775863e-07,2.25867968382125419e-08,2.42050106230377341e-05,2.02692334517219077e-05,1.91805304972092472e-09
