node,x,gl_weight,k,weight,E_i,f,mode_weight,beta2_sudden_start
0.00000000000000000e+00,-9.98771007252426068e-01,3.15334605230596253e-03,7.37395648544358906e-02,1.89200763138357764e-01,1.00271507589390585e+00,4.74953105493143124e-01,3.96063661394030248e-04,8.35903029264119263e-07
1.00000000000000000e+00,-9.93530172266350764e-01,7.32755390127620785e-03,3.88189664018954161e-01,4.39653234076572474e-01,1.07270276183626412e+00,4.73208117015369412e-01,2.54121046169404133e-02,1.54536676720828428e-05
2.00000000000000000e+00,-9.84124583722826851e-01,1.14772345792345902e-02,9.52524976630388931e-01,6.88634074754075454e-01,1.38105171195894139e+00,4.65528479511401749e-01,2.35764140310388504e-01,2.04321057336141929e-05
3.00000000000000000e+00,-9.70591592546247273e-01,1.55793157229438557e-02,1.76450444722516364e+00,9.34758943376631346e-01,2.02817059052668958e+00,4.49468832219224790e-01,1.06031515000504051e+00,6.98938003238726255e-06
4.00000000000000000e+00,-9.52987703160430799e-01,1.96161604573555706e-02,2.82073781037415205e+00,1.17696962744133415e+00,2.99275154245626718e+00,4.25734687311750681e-01,3.23161766719750077e+00,1.73030031263592782e-06
5.00000000000000000e+00,-9.31386690706554332e-01,2.35707608393243423e-02,4.11679855760674052e+00,1.41424565035946048e+00,4.23651157957970614e+00,3.95643391058770333e-01,7.68667010063449840e+00,4.58024672294976499e-07
6.00000000000000000e+00,-9.05879136715569633e-01,2.74265097083568818e-02,5.64725179706582203e+00,1.64559058250141299e+00,5.73510704864897480e+00,3.60427143298458763e-01,1.53321771730395078e+01,1.40037761117176956e-07
7.00000000000000000e+00,-8.76572020274247854e-01,3.11672278327981001e-02,7.40567878354512921e+00,1.87003366996788589e+00,7.47288955124123699e+00,3.21412310658762357e-01,2.67197208401005497e+01,4.92060367917679738e-08
8.00000000000000000e+00,-8.43588261624393487e-01,3.47772225647704492e-02,9.38470430253639165e+00,2.08663335388622695e+00,9.43783210520536109e+00,2.80136785511042985e-01,4.17299355630802751e+01,1.94727697834655375e-08
9.00000000000000000e+00,-8.07066204029442624e-01,3.82413510658307226e-02,1.15760277582334421e+01,2.29448106394984341e+00,1.16191401858911743e+01,2.38319671984017434e-01,5.93955257543597028e+01,8.50932665886050332e-09
1.00000000000000000e+01,-7.67159032515740358e-01,4.15450829434647756e-02,1.39704580490555781e+01,2.49270497660788637e+00,1.40062021297859971e+01,1.97717711453603256e-01,7.79700815376260721e+01,4.03941970566505851e-09
1.10000000000000000e+01,-7.24034130923814634e-01,4.46745608566942939e-02,1.65579521445711215e+01,2.68047365140165761e+00,1.65881216303084607e+01,1.59921514372812795e-01,9.52624888837179924e+01,2.05612732869683682e-09
1.20000000000000000e+01,-6.77872379632663891e-01,4.76166584924905475e-02,1.93276572220401661e+01,2.85699950954943294e+00,1.93535095962639652e+01,1.26159491805642815e-01,1.09138697848937014e+02,1.11075956726558858e-09
1.30000000000000000e+01,-6.28867396776513599e-01,5.03590355538544726e-02,2.22679561934091836e+01,3.02154213323126841e+00,2.22903986736798956e+01,9.71728411188643032e-02,1.18011549690961942e+02,6.31645964681617977e-10
1.40000000000000000e+01,-5.77224726083972683e-01,5.28901894851936602e-02,2.53665164349616390e+01,3.17341136911161970e+00,2.53862198061306259e+01,7.31945993673292078e-02,1.21148296805056461e+02,3.75624118006937774e-10
1.50000000000000000e+01,-5.23160974722232996e-01,5.51995036999841718e-02,2.86103415166660184e+01,3.31197022199905033e+00,2.86278123806249489e+01,5.40243867882969769e-02,1.18716912946119379e+02,2.32347035709152956e-10
1.60000000000000000e+01,-4.66902904750958414e-01,5.72772921004031516e-02,3.19858257149424965e+01,3.43663752602418926e+00,3.20014538211418866e+01,3.91602521771581488e-02,1.11605239170511638e+02,1.48839055993594415e-10
1.70000000000000000e+01,-4.08686481990716721e-01,5.91148396983955660e-02,3.54788110805569943e+01,3.54689038190373385e+00,3.54929012013649512e+01,2.79418484432972444e-02,1.01118648573115379e+02,9.83805261257106899e-11
1.80000000000000000e+01,-3.48755886292160755e-01,6.07044391658938601e-02,3.90746468224703563e+01,3.64226634995363163e+00,3.90874407489258999e+01,1.96709746370279069e-02,8.86702522965050406e+01,6.68939333497279854e-11
1.90000000000000000e+01,-2.87362487355455554e-01,6.20394231598926787e-02,4.27582507586726663e+01,3.72236538959356089e+00,4.27699428096593479e+01,1.36941970557052876e-02,7.55415124617773870e+01,4.66689326730178401e-11
2.00000000000000000e+01,-2.24763790394689050e-01,6.31141922862540478e-02,4.65141725763186571e+01,3.78685153717524292e+00,4.65249207464080996e+01,9.44769313165696664e-03,6.27429449118838889e+01,3.33331820123477688e-11
2.10000000000000000e+01,-1.61222356068891737e-01,6.39242385846481714e-02,5.03266586358665009e+01,3.83545431507889045e+00,5.03365927477321051e+01,6.47275744871401298e-03,5.09674121398411728e+01,2.43283877763168447e-11
2.20000000000000000e+01,-9.70046992094626970e-02,6.44661644359501018e-02,5.41797180474322388e+01,3.86796986615700611e+00,5.41889458072331820e+01,4.41248687447573767e-03,4.06097420963293558e+01,1.81146227234591804e-11
2.30000000000000000e+01,-3.23801709628693674e-02,6.47376968126838620e-02,5.80571897422278340e+01,3.88426180876103189e+00,5.80658013013257630e+01,2.99867931823342591e-03,3.18229752224341347e+01,1.37407204521225970e-11
2.40000000000000000e+01,3.23801709628693674e-02,6.47376968126838620e-02,6.19428102577721589e+01,3.88426180876103189e+00,6.19508816937286539e+01,2.03527259457728094e-03,2.45868635310331030e+01,1.06051517053717550e-11
2.50000000000000000e+01,9.70046992094626970e-02,6.44661644359501018e-02,6.58202819525677540e+01,3.86796986615700611e+00,6.58278779569531309e+01,1.38207287357086672e-03,1.87725704699068530e+01,8.31917712252258524e-12
2.60000000000000000e+01,1.61222356068891737e-01,6.39242385846481714e-02,6.96733413641335062e+01,3.83545431507889045e+00,6.96805173405240765e+01,9.40599823107216579e-04,1.41953212696423616e+01,6.62651377351479838e-12
2.70000000000000000e+01,2.24763790394689050e-01,6.31141922862540478e-02,7.34858274236813429e+01,3.78685153717524292e+00,7.34926311417891611e+01,6.42652783872985360e-04,1.06525134415804796e+01,5.35506105745140553e-12
2.80000000000000000e+01,2.87362487355455554e-01,6.20394231598926787e-02,7.72417492413273266e+01,3.72236538959356089e+00,7.72482221533938684e+01,4.41530329772926071e-04,7.94829514669048720e+00,4.38725894928278173e-12
2.90000000000000000e+01,3.48755886292160755e-01,6.07044391658938601e-02,8.09253531775296437e+01,3.64226634995363163e+00,8.09315314751173389e+01,3.05531179081119453e-04,5.90726815975028252e+00,3.64151984379300787e-12
3.00000000000000000e+01,4.08686481990716721e-01,5.91148396983955660e-02,8.45211889194430057e+01,3.54689038190373385e+00,8.45271043888064071e+01,2.13275940033451030e-04,4.38037274347972794e+00,3.06037940168962665e-12
3.10000000000000000e+01,4.66902904750958414e-01,5.72772921004031516e-02,8.80141742850574929e+01,3.43663752602418926e+00,8.80198550048821460e+01,1.50411464403640957e-04,3.24571323983708115e+00,2.60280343386178435e-12
3.20000000000000000e+01,5.23160974722232996e-01,5.51995036999841718e-02,9.13896584833339745e+01,3.31197022199905033e+00,9.13951293981272102e+01,1.07328077073731091e-04,2.40649033752383001e+00,2.23911202581989360e-12
3.30000000000000000e+01,5.77224726083972683e-01,5.28901894851936602e-02,9.46334835650383610e+01,3.17341136911161970e+00,9.46387669597104662e+01,7.75991334192288173e-05,1.78757034284332228e+00,1.94757970777009876e-12
3.40000000000000000e+01,6.28867396776513599e-01,5.03590355538544726e-02,9.77320438065908093e+01,3.02154213323126841e+00,9.77371597019955516e+01,5.69251735657878895e-05,1.33167185680928357e+00,1.71212592661161780e-12
3.50000000000000000e+01,6.77872379632663891e-01,4.76166584924905475e-02,1.00672342777959827e+02,2.85699950954943294e+00,1.00677309262827634e+02,4.24249743196010453e-05,9.95731729135045263e-01,1.52072532053241574e-12
3.60000000000000000e+01,7.24034130923814634e-01,4.46745608566942939e-02,1.03442047855428868e+02,2.68047365140165761e+00,1.03446881366838880e+02,3.21621488197885048e-05,7.47723552686455184e-01,1.36429984836412580e-12
3.70000000000000000e+01,7.67159032515740358e-01,4.15450829434647756e-02,1.06029541950944420e+02,2.49270497660788637e+00,1.06034257512971166e+02,2.48301831630352331e-05,5.64020404970549061e-01,1.23593775352791824e-12
3.80000000000000000e+01,8.07066204029442624e-01,3.82413510658307226e-02,1.08423972241766549e+02,2.29448106394984341e+00,1.08428583670005409e+02,1.95433025557772990e-05,4.27290564992759636e-01,1.13033700247829642e-12
3.90000000000000000e+01,8.43588261624393487e-01,3.47772225647704492e-02,1.10615295697463608e+02,2.08663335388622695e+00,1.10619815775643517e+02,1.56976855233353215e-05,3.24864593217267461e-01,1.04340475145385908e-12
4.00000000000000000e+01,8.76572020274247854e-01,3.11672278327981001e-02,1.12594321216454873e+02,1.87003366996788589e+00,1.12598761850182967e+02,1.28793015736991149e-05,2.47494159306818146e-01,9.71966530356972261e-13
4.10000000000000000e+01,9.05879136715569633e-01,2.74265097083568818e-02,1.14352748202934180e+02,1.64559058250141299e+00,1.14357120554706455e+02,1.08026092246524146e-05,1.88422999780089584e-01,9.13553465501054943e-13
4.20000000000000000e+01,9.31386690706554332e-01,2.35707608393243423e-02,1.15883201442393272e+02,1.41424565035946048e+00,1.15887516051291300e+02,9.26968763895599675e-06,1.42699076556673299e-01,8.66245656543772999e-13
4.30000000000000000e+01,9.52987703160430799e-01,1.96161604573555706e-02,1.17179262189625845e+02,1.17696962744133415e+00,1.17183529078557271e+02,8.14292544844795971e-06,1.06668815950160964e-01,8.28556457367112193e-13
4.40000000000000000e+01,9.70591592546247273e-01,1.55793157229438557e-02,1.18235495552774836e+02,9.34758943376631346e-01,1.18239724325669158e+02,7.32674094715056526e-06,7.76062071840962348e-02,7.99346958644613336e-13
4.50000000000000000e+01,9.84124583722826851e-01,1.14772345792345902e-02,1.19047475023369614e+02,6.88634074754075454e-01,1.19051674954365140e+02,6.75536029248110466e-06,5.34401469801950926e-02,7.77763115640919987e-13
