node,k,t,a,H,K,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,E,eps,p1,s,norm_hilbert,norm_krein,beta2,beta2_adiabatic
2.00000000000000000e+00,9.52524976630388931e-01,1.00000000000000000e+01,1.00000000000000000e+00,5.00000000000000028e-02,9.52524976630388931e-01,5.00000000000000000e-01,0.00000000000000000e+00,3.44854927727249183e-01,0.00000000000000000e+00,3.62042924005198274e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.00000000000000000e-01,0.00000000000000000e+00,-3.44854927727249183e-01,0.00000000000000000e+00,-3.62042924005198274e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.38105171195894139e+00,1.38105171195894161e+00,6.56965863948544948e-01,7.24085848010396549e-01,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,2.04321057336141895e-05
2.00000000000000000e+00,9.52524976630388931e-01,1.16591440117983165e+01,1.07977516232770965e+00,4.28847949295447090e-02,8.82151219867844505e-01,-3.14044205810565358e-01,0.00000000000000000e+00,-2.09863444539276356e-01,0.00000000000000000e+00,-2.33811115460120456e-01,0.00000000000000000e+00,-9.30268044205004654e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.88883703425025928e-01,0.00000000000000000e+00,-2.62647476701281968e-01,0.00000000000000000e+00,-2.86890222761146008e-01,0.00000000000000000e+00,7.69169317686025419e-03,-3.88883703425025928e-01,0.00000000000000000e+00,-2.62647476701281968e-01,0.00000000000000000e+00,-2.86890222761146008e-01,0.00000000000000000e+00,-7.69169317686025419e-03,0.00000000000000000e+00,0.00000000000000000e+00,-3.14044205810565358e-01,0.00000000000000000e+00,2.09863444539276356e-01,0.00000000000000000e+00,2.33811115460120456e-01,0.00000000000000000e+00,-9.30268044205004654e-03,1.33348819819086750e+00,1.33337133927573137e+00,5.77505520341248690e-01,7.55865818934482570e-01,1.00000000000034461e+00,-1.00000000000034461e+00,4.38170040626937416e-05,2.13667629495712317e-05
2.00000000000000000e+00,9.52524976630388931e-01,1.35935639087852582e+01,1.16591440117983169e+00,3.67821127229820619e-02,8.16976765761271873e-01,3.71531571572860098e-02,0.00000000000000000e+00,2.17115028944606867e-02,0.00000000000000000e+00,3.06296825095923944e-02,0.00000000000000000e+00,5.40460191139243828e-03,0.00000000000000000e+00,0.00000000000000000e+00,-4.98222123436145303e-01,0.00000000000000000e+00,3.29792246441537706e-01,0.00000000000000000e+00,3.73935164672698328e-01,0.00000000000000000e+00,-1.91088699438863030e-02,4.98222123436145303e-01,0.00000000000000000e+00,3.29792246441537706e-01,0.00000000000000000e+00,3.73935164672698328e-01,0.00000000000000000e+00,1.91088699438863030e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.71531571572860098e-02,0.00000000000000000e+00,-2.17115028944606867e-02,0.00000000000000000e+00,-3.06296825095923944e-02,0.00000000000000000e+00,5.40460191139243828e-03,1.29129819785894084e+00,1.29113370280726092e+00,5.15693461389544083e-01,7.75440241417716614e-01,1.00000000000131428e+00,-1.00000000000131428e+00,6.36936741837701729e-05,2.05234411082540425e-05
2.00000000000000000e+00,9.52524976630388931e-01,1.58489319246111364e+01,1.25892541179416728e+00,3.15478672240096583e-02,7.56617483217604248e-01,9.86378168449580511e-02,0.00000000000000000e+00,6.66627869748476765e-02,0.00000000000000000e+00,7.27259562122883618e-02,0.00000000000000000e+00,1.89022810954825120e-03,0.00000000000000000e+00,0.00000000000000000e+00,4.89385901893639896e-01,0.00000000000000000e+00,-3.17461983198558173e-01,0.00000000000000000e+00,-3.73476769491537353e-01,0.00000000000000000e+00,2.77208793862309053e-02,-4.89385901893639896e-01,0.00000000000000000e+00,-3.17461983198558173e-01,0.00000000000000000e+00,-3.73476769491537353e-01,0.00000000000000000e+00,-2.77208793862309053e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.86378168449580511e-02,0.00000000000000000e+00,-6.66627869748476765e-02,0.00000000000000000e+00,-7.27259562122883618e-02,0.00000000000000000e+00,1.89022810954825120e-03,1.25398166490205987e+00,1.25384424045798593e+00,4.58347726688214996e-01,7.95496513769771152e-01,1.00000000000176992e+00,-1.00000000000176992e+00,5.47952374981078633e-05,2.01498810500337581e-05
2.00000000000000000e+00,9.52524976630388931e-01,1.84784979742229112e+01,1.35935639087852578e+00,2.70584763273231804e-02,7.00717621237496369e-01,-4.40277526810435166e-02,0.00000000000000000e+00,-3.05488469893669436e-02,0.00000000000000000e+00,-3.17060634492270302e-02,0.00000000000000000e+00,2.52003339438312628e-04,0.00000000000000000e+00,0.00000000000000000e+00,-4.96659147340401064e-01,0.00000000000000000e+00,3.15543327205447477e-01,0.00000000000000000e+00,3.85349065322284801e-01,0.00000000000000000e+00,-3.72985904793802295e-02,4.96659147340401064e-01,0.00000000000000000e+00,3.15543327205447477e-01,0.00000000000000000e+00,3.85349065322284801e-01,0.00000000000000000e+00,3.72985904793802295e-02,0.00000000000000000e+00,0.00000000000000000e+00,-4.40277526810435166e-02,0.00000000000000000e+00,3.05488469893669436e-02,0.00000000000000000e+00,3.17060634492270302e-02,0.00000000000000000e+00,2.52003339438312628e-04,1.22106723185610688e+00,1.22094428484785689e+00,4.02765453408263752e-01,8.18178831439593024e-01,1.00000000000187539e+00,-1.00000000000187539e+00,5.03440790696446284e-05,2.03114014837348439e-05
2.00000000000000000e+00,9.52524976630388931e-01,2.15443469003188426e+01,1.46779926762206969e+00,2.32079441680638904e-02,6.48947712157903811e-01,-2.24170280456496507e-01,0.00000000000000000e+00,-1.37345279379275181e-01,0.00000000000000000e+00,-1.78765940563724052e-01,0.00000000000000000e+00,-2.38468579368252831e-02,0.00000000000000000e+00,0.00000000000000000e+00,4.44321993815271099e-01,0.00000000000000000e+00,-2.76102238344311190e-01,0.00000000000000000e+00,-3.50637372093081767e-01,0.00000000000000000e+00,4.19163278341540685e-02,-4.44321993815271099e-01,0.00000000000000000e+00,-2.76102238344311190e-01,0.00000000000000000e+00,-3.50637372093081767e-01,0.00000000000000000e+00,-4.19163278341540685e-02,0.00000000000000000e+00,0.00000000000000000e+00,-2.24170280456496507e-01,0.00000000000000000e+00,1.37345279379275181e-01,0.00000000000000000e+00,1.78765940563724052e-01,0.00000000000000000e+00,-2.38468579368252831e-02,1.19211288606196075e+00,1.19202438534596711e+00,3.49150974903488565e-01,8.42873410442478432e-01,1.00000000000193334e+00,-1.00000000000193334e+00,3.71192692122641635e-05,2.07354410880684247e-05
2.00000000000000000e+00,9.52524976630388931e-01,2.51188643150958022e+01,1.58489319246111360e+00,1.99053585276748601e-02,6.01002629805768240e-01,4.96733720264107725e-01,0.00000000000000000e+00,3.02851315895480144e-01,0.00000000000000000e+00,3.97541512162648991e-01,0.00000000000000000e+00,5.48979469996190711e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.52565177334227763e-02,0.00000000000000000e+00,8.34245468870654233e-03,0.00000000000000000e+00,1.31236434768787977e-02,0.00000000000000000e+00,-3.01085286771510729e-03,1.52565177334227763e-02,0.00000000000000000e+00,8.34245468870654233e-03,0.00000000000000000e+00,1.31236434768787977e-02,0.00000000000000000e+00,3.01085286771510729e-03,0.00000000000000000e+00,0.00000000000000000e+00,4.96733720264107725e-01,0.00000000000000000e+00,-3.02851315895480144e-01,0.00000000000000000e+00,-3.97541512162648991e-01,0.00000000000000000e+00,5.48979469996190711e-02,1.16670654452327871e+00,1.16669029641729449e+00,3.09396181266006265e-01,8.57294115151288172e-01,1.00000000000213185e+00,-1.00000000000213185e+00,6.96323704871403799e-06,2.04236290028343939e-05
2.00000000000000000e+00,9.52524976630388931e-01,2.92864456462523677e+01,1.71132830416178083e+00,1.70727443691680060e-02,5.56599791117778242e-01,3.45176923729729954e-02,0.00000000000000000e+00,1.84082330925356835e-02,0.00000000000000000e+00,3.01364163483057480e-02,0.00000000000000000e+00,7.45624229432256119e-03,0.00000000000000000e+00,0.00000000000000000e+00,-4.94737226164560173e-01,0.00000000000000000e+00,2.95498615443752777e-01,0.00000000000000000e+00,4.01787881394517543e-01,0.00000000000000000e+00,-6.31506960504886194e-02,4.94737226164560173e-01,0.00000000000000000e+00,2.95498615443752777e-01,0.00000000000000000e+00,4.01787881394517543e-01,0.00000000000000000e+00,6.31506960504886194e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.45176923729729954e-02,0.00000000000000000e+00,-1.84082330925356835e-02,0.00000000000000000e+00,-3.01364163483057480e-02,0.00000000000000000e+00,7.45624229432256119e-03,1.14446639420839014e+00,1.14438156897856391e+00,2.69910125019481806e-01,8.74471443959081940e-01,1.00000000000229705e+00,-1.00000000000229705e+00,3.70588568105879231e-05,2.04377429593513566e-05
2.00000000000000000e+00,9.52524976630388931e-01,3.41454887383360202e+01,1.84784979742229094e+00,1.46432228231261809e-02,5.15477490626748969e-01,-3.19615046142275927e-01,0.00000000000000000e+00,-1.88879478307879795e-01,0.00000000000000000e+00,-2.61492485981434097e-01,0.00000000000000000e+00,-4.35889874863708421e-02,0.00000000000000000e+00,0.00000000000000000e+00,-3.78290093754349410e-01,0.00000000000000000e+00,2.22303472422760023e-01,0.00000000000000000e+00,3.10688571722213036e-01,0.00000000000000000e+00,-5.33181715489961933e-02,3.78290093754349410e-01,0.00000000000000000e+00,2.22303472422760023e-01,0.00000000000000000e+00,3.10688571722213036e-01,0.00000000000000000e+00,5.33181715489961933e-02,0.00000000000000000e+00,0.00000000000000000e+00,-3.19615046142275927e-01,0.00000000000000000e+00,1.88879478307879795e-01,0.00000000000000000e+00,2.61492485981434097e-01,0.00000000000000000e+00,-4.35889874863708421e-02,1.12504090740863738e+00,1.12498619232967068e+00,2.40213305157734286e-01,8.84772887171936251e-01,1.00000000000246336e+00,-1.00000000000246336e+00,2.43169298901709023e-05,2.02208773392094466e-05
2.00000000000000000e+00,9.52524976630388931e-01,3.98107170553497340e+01,1.99526231496887996e+00,1.25594321575478972e-02,4.77393357998266710e-01,-3.03507844408963112e-01,0.00000000000000000e+00,-1.76003273426159679e-01,0.00000000000000000e+00,-2.51512514206815474e-01,0.00000000000000000e+00,-4.60291803271956831e-02,0.00000000000000000e+00,0.00000000000000000e+00,-3.89918066629544369e-01,0.00000000000000000e+00,2.24718359119469802e-01,0.00000000000000000e+00,3.24447163673765526e-01,0.00000000000000000e+00,-6.10590227335201935e-02,3.89918066629544369e-01,0.00000000000000000e+00,2.24718359119469802e-01,0.00000000000000000e+00,3.24447163673765526e-01,0.00000000000000000e+00,6.10590227335201935e-02,0.00000000000000000e+00,0.00000000000000000e+00,-3.03507844408963112e-01,0.00000000000000000e+00,1.76003273426159679e-01,0.00000000000000000e+00,2.51512514206815474e-01,0.00000000000000000e+00,-4.60291803271956831e-02,1.10810848668389017e+00,1.10805484313142877e+00,2.09390036648517658e-01,8.98664806482911027e-01,1.00000000000263700e+00,-1.00000000000263700e+00,2.42050106230377341e-05,2.02692334517219077e-05
