t,Q,E2,kappa,wkb_W,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,norm_hilbert,norm_krein,ln_norm_hilbert,krein_drift,krein_drift_normalized
0.00000000000000000e+00,1.00000000000000006e-01,9.89999999999999991e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.97493718553309983e-01,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000028e-02,-4.97493718553309983e-01,0.00000000000000000e+00,0.00000000000000000e+00,5.00000000000000028e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,9.94987437106619965e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
8.83764182165674289e-03,1.00887680907516791e-01,9.89821675841103032e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.97474486586795106e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.99980613359795253e-02,-4.97474486586795106e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.99980613359795253e-02,0.00000000000000000e+00,-4.39661463811628905e-03,-1.95833688382277140e-06,0.00000000000000000e+00,0.00000000000000000e+00,-4.39661463811628905e-03,-1.95833688382277140e-06,0.00000000000000000e+00,-4.37438049703639444e-03,0.00000000000000000e+00,0.00000000000000000e+00,4.41609984408654994e-04,4.37438049703639444e-03,0.00000000000000000e+00,0.00000000000000000e+00,-4.41609984408654994e-04,0.00000000000000000e+00,-4.99980670568524910e-01,5.74969366989371291e-09,0.00000000000000000e+00,0.00000000000000000e+00,-4.99980670568524910e-01,5.74969366989371291e-09,0.00000000000000000e+00,1.00000000466505190e+00,9.94987437129507324e-01,4.66505188945081833e-09,2.28873586749500646e-11,2.28873585681793489e-11
1.76752836433134858e-02,1.01783241588969259e-01,9.89640171731641538e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.97416799131770115e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.99922228817812966e-02,-4.97416799131770115e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.99922228817812966e-02,0.00000000000000000e+00,-8.79288939109836888e-03,-7.85620636123366754e-06,0.00000000000000000e+00,0.00000000000000000e+00,-8.79288939109836888e-03,-7.85620636123366754e-06,0.00000000000000000e+00,-8.74802885937483489e-03,0.00000000000000000e+00,0.00000000000000000e+00,8.87105765742581443e-04,8.74802885937483489e-03,0.00000000000000000e+00,0.00000000000000000e+00,-8.87105765742581443e-04,0.00000000000000000e+00,-4.99922688430076534e-01,4.61927705368312525e-08,0.00000000000000000e+00,0.00000000000000000e+00,-4.99922688430076534e-01,4.61927705368312525e-08,0.00000000000000000e+00,1.00000003749088617e+00,9.94987437129527197e-01,3.74908854705470394e-08,2.29072316670908549e-11,2.29072308082784712e-11
2.65129254649702287e-02,1.02686751991606220e-01,9.89455430965414329e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.97320671277716453e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.99824507216910102e-02,-4.97320671277716453e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.99824507216910102e-02,0.00000000000000000e+00,-1.31884845154245436e-02,-1.77276624316619718e-05,0.00000000000000000e+00,0.00000000000000000e+00,-1.31884845154245436e-02,-1.77276624316619718e-05,0.00000000000000000e+00,-1.31206036410794515e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.33648725295122521e-03,1.31206036410794515e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.33648725295122521e-03,0.00000000000000000e+00,-4.99826065206928127e-01,1.56583888396771367e-07,0.00000000000000000e+00,0.00000000000000000e+00,-4.99826065206928127e-01,1.56583888396771367e-07,0.00000000000000000e+00,1.00000012759339385e+00,9.94987437129656760e-01,1.27593385710452792e-07,2.30367946940646107e-11,2.30367917547221672e-11
3.53505672866269716e-02,1.03598282683584800e-01,9.89267395825012108e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.97186121297462091e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.99687106456179406e-02,-4.97186121297462091e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.99687106456179406e-02,0.00000000000000000e+00,-1.75830604482519089e-02,-3.16064451346176513e-05,0.00000000000000000e+00,0.00000000000000000e+00,-1.75830604482519089e-02,-3.16064451346176513e-05,0.00000000000000000e+00,-1.74917636073834912e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.78975406066573519e-03,1.74917636073834912e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.78975406066573519e-03,0.00000000000000000e+00,-4.99690815659304788e-01,3.72788940559133077e-07,0.00000000000000000e+00,0.00000000000000000e+00,-4.99690815659304788e-01,3.72788940559133077e-07,0.00000000000000000e+00,1.00000030507237803e+00,9.94987437129956853e-01,3.05072331491670336e-07,2.33368879776207905e-11,2.33368808581830501e-11
4.41882091082837145e-02,1.04517904859482258e-01,9.89076007563784221e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.97013170653607617e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.99509681459889207e-02,-4.97013170653607617e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.99509681459889207e-02,0.00000000000000000e+00,-2.19762778375882650e-02,-4.95259720691601621e-05,0.00000000000000000e+00,0.00000000000000000e+00,-2.19762778375882650e-02,-4.95259720691601621e-05,0.00000000000000000e+00,-2.18611677655580622e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.24690550377813509e-03,2.18611677655580622e-02,0.00000000000000000e+00,0.00000000000000000e+00,-2.24690550377813509e-03,0.00000000000000000e+00,-4.99516957691467200e-01,7.31288788846728839e-07,0.00000000000000000e+00,0.00000000000000000e+00,-4.99516957691467200e-01,7.31288788846728839e-07,0.00000000000000000e+00,1.00000060104916222e+00,9.94987437130215646e-01,6.01048981588838731e-07,2.35956809646609145e-11,2.35956667825051631e-11
5.30258509299404573e-02,1.05445690345856435e-01,9.88881206387485778e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.96801843999072401e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.99291884152624280e-02,-4.96801843999072401e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.99291884152624280e-02,0.00000000000000000e+00,-2.63677975718529072e-02,-7.15193305286433186e-05,0.00000000000000000e+00,0.00000000000000000e+00,-2.63677975718529072e-02,-7.15193305286433186e-05,0.00000000000000000e+00,-2.62284753951112365e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.70794059257156760e-03,2.62284753951112365e-02,0.00000000000000000e+00,0.00000000000000000e+00,-2.70794059257156760e-03,0.00000000000000000e+00,-4.99304512352006236e-01,1.26918179175665641e-06,0.00000000000000000e+00,0.00000000000000000e+00,-4.99304512352006236e-01,1.26918179175665641e-06,0.00000000000000000e+00,1.00000104768196141e+00,9.94987437129957741e-01,1.04768141258966840e-06,2.33377761560404906e-11,2.33377517054990076e-11
6.18634927515972072e-02,1.06381711606855861e-01,9.88682931435595713e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.96552169177627345e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.99033363433101160e-02,-4.96552169177627345e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.99033363433101160e-02,0.00000000000000000e+00,-3.07572808118519621e-02,-9.76192689408682208e-05,0.00000000000000000e+00,0.00000000000000000e+00,-3.07572808118519621e-02,-9.76192689408682208e-05,0.00000000000000000e+00,-3.05933460804591363e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.17285802740089337e-03,3.05933460804591363e-02,0.00000000000000000e+00,0.00000000000000000e+00,-3.17285802740089337e-03,0.00000000000000000e+00,-4.99053503834111289e-01,2.02418646297325976e-06,0.00000000000000000e+00,0.00000000000000000e+00,-4.99053503834111289e-01,2.02418646297325976e-06,0.00000000000000000e+00,1.00000167818264551e+00,9.94987437129883801e-01,1.67818123736786037e-06,2.32638353026004552e-11,2.32637962617013015e-11
7.07011345732539431e-02,1.07326041749879475e-01,9.88481120762303100e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.96264177223497083e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.98733765149825745e-02,-4.96264177223497083e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.98733765149825745e-02,0.00000000000000000e+00,-3.51443890188860991e-02,-1.27858189323540875e-04,0.00000000000000000e+00,0.00000000000000000e+00,-3.51443890188860991e-02,-1.27858189323540875e-04,0.00000000000000000e+00,-3.49554397396471817e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.64165619399673280e-03,3.49554397396471817e-02,0.00000000000000000e+00,0.00000000000000000e+00,-3.64165619399673280e-03,0.00000000000000000e+00,-4.98763959474931129e-01,3.03464385372206580e-06,0.00000000000000000e+00,0.00000000000000000e+00,-4.98763959474931129e-01,3.03464385372206580e-06,0.00000000000000000e+00,1.00000252683018864e+00,9.94987437129860486e-01,2.52682699621272490e-06,2.32405206190833269e-11,2.32404618943826136e-11
7.95387763949106791e-02,1.08278754531286645e-01,9.88275711317153416e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.95937902361272664e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.98392732076149217e-02,-4.95937902361272664e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.98392732076149217e-02,0.00000000000000000e+00,-3.95287839855361298e-02,-1.62268138958306693e-04,0.00000000000000000e+00,0.00000000000000000e+00,-3.95287839855361298e-02,-1.62268138958306693e-04,0.00000000000000000e+00,-3.93144166558139843e-02,0.00000000000000000e+00,0.00000000000000000e+00,4.11433315825979889e-03,3.93144166558139843e-02,0.00000000000000000e+00,0.00000000000000000e+00,-4.11433315825979889e-03,0.00000000000000000e+00,-4.98435909755237383e-01,4.33952002588204995e-06,0.00000000000000000e+00,0.00000000000000000e+00,-4.98435909755237383e-01,4.33952002588204995e-06,0.00000000000000000e+00,1.00000362898674644e+00,9.94987437129558283e-01,3.62898016168360496e-06,2.29383179117803593e-11,2.29382346692307577e-11
